source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Rich Gonzales*,NA,QB,"94 Cmp, 181 Att, 986 Yds, 3 TD",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Erik Wilhelm,NA,QB,"86 Cmp, 145 Att, 890 Yds, 9 TD",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Don Lema,NA,QB,"29 Cmp, 79 Att, 405 Yds, 1 TD",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Darvin Malone*,NA,RB,"134 Att, 554 Yds, 4.1 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Carl Lane*,NA,RB,"39 Att, 163 Yds, 4.2 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Jerry Jordan,NA,RB,"27 Att, 63 Yds, 2.3 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Erick Montgomery,NA,RB,"24 Att, 94 Yds, 3.9 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Eric Hochevar,NA,RB,"9 Att, 33 Yds, 3.7 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Brian Swanson,NA,RB,"3 Att, 5 Yds, 1.7 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Reggie Bynum*,NA,WR,"61 Rec, 703 Yds, 11.5 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Robert Adams*,NA,WR,"15 Rec, 171 Yds, 11.4 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Dave Montagne,NA,WR,"29 Rec, 358 Yds, 12.3 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Eric Ory,NA,WR,"4 Rec, 36 Yds, 9.0 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Phil Ross,NA,TE,"27 Rec, 405 Yds, 15.0 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Ron Heller,NA,TE,"14 Rec, 176 Yds, 12.6 Avg",1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Roman Fortin,NA,TE,,1985,Oregon State,Dave Kragthorpe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Dave_Kragthorpe/1985_oregon-state_roster.csv,Darrick Brilz*,NA,OL,,1985,Oregon State,Dave Kragthorpe
