Player,Class,Pos,Summary,Year,School,Coach
Ben Olson*,JR,QB,"71 Cmp, 147 Att, 1040 Yds, 7 TD",2007,UCLA,DeWayne Walker
Patrick Cowan,JR,QB,"72 Cmp, 135 Att, 696 Yds, 4 TD",2007,UCLA,DeWayne Walker
McLeod Bethel-Thompson,FR,QB,"23 Cmp, 55 Att, 293 Yds, 1 TD",2007,UCLA,DeWayne Walker
Chris Markey*,SR,RB,"176 Att, 715 Yds, 4.1 Avg",2007,UCLA,DeWayne Walker
Trevor Theriot*,SO,RB,"3 Rec, 11 Yds, 3.7 Avg",2007,UCLA,DeWayne Walker
Kahlil Bell,JR,RB,"142 Att, 795 Yds, 5.6 Avg",2007,UCLA,DeWayne Walker
Fred Holmes,SR,RB,,2007,UCLA,DeWayne Walker
Kenneth Lombard,JR,RB,,2007,UCLA,DeWayne Walker
Chane Moline,SO,RB,"55 Att, 196 Yds, 3.6 Avg",2007,UCLA,DeWayne Walker
Craig Sheppard,,RB,"28 Att, 133 Yds, 4.8 Avg",2007,UCLA,DeWayne Walker
Christian Ramirez,SO,RB,"19 Att, 98 Yds, 5.2 Avg",2007,UCLA,DeWayne Walker
Brandon Breazell*,SR,WR,"51 Rec, 810 Yds, 15.9 Avg",2007,UCLA,DeWayne Walker
Joe Cowan*,SR,WR,"29 Rec, 405 Yds, 14.0 Avg",2007,UCLA,DeWayne Walker
Osaar Rasshan,SO,WR,,2007,UCLA,DeWayne Walker
Terrence Austin,SO,WR,"17 Rec, 248 Yds, 14.6 Avg",2007,UCLA,DeWayne Walker
Dominique Johnson,SO,WR,"25 Rec, 322 Yds, 12.9 Avg",2007,UCLA,DeWayne Walker
Marcus Everett,SR,WR,"10 Rec, 134 Yds, 13.4 Avg",2007,UCLA,DeWayne Walker
Gavin Ketchum,JR,WR,"5 Rec, 51 Yds, 10.2 Avg",2007,UCLA,DeWayne Walker
Ryan Graves,JR,WR,"3 Rec, 20 Yds, 6.7 Avg",2007,UCLA,DeWayne Walker
Jamil Turner,SO,WR,"1 Rec, 13 Yds, 13.0 Avg",2007,UCLA,DeWayne Walker
Logan Paulsen*,JR,TE,"12 Rec, 144 Yds, 12.0 Avg",2007,UCLA,DeWayne Walker
Micah Reed*,JR,OL,,2007,UCLA,DeWayne Walker
Shannon Tevaga*,SR,OL,,2007,UCLA,DeWayne Walker
Brian Abraham*,,OL,,2007,UCLA,DeWayne Walker
Chris Joseph*,,OL,,2007,UCLA,DeWayne Walker
Micah Kia*,,OL,,2007,UCLA,DeWayne Walker
P.J. Irvin,,OL,,2007,UCLA,DeWayne Walker
Aleksey Lanis,,OL,,2007,UCLA,DeWayne Walker
Noah Sutherland,,OL,,2007,UCLA,DeWayne Walker
Jimmy Rotstein,JR,K,,2007,UCLA,DeWayne Walker
Kai Forbath,FR,K,,2007,UCLA,DeWayne Walker
Tom Blake*,JR,DL,,2007,UCLA,DeWayne Walker
Kevin Brown*,SR,DL,,2007,UCLA,DeWayne Walker
Bruce Davis*,SR,DL,,2007,UCLA,DeWayne Walker
Brian Price*,FR,DL,,2007,UCLA,DeWayne Walker
Chinonso Anyanwu,SO,DL,,2007,UCLA,DeWayne Walker
David Carter,FR,DL,,2007,UCLA,DeWayne Walker
Nikola Dragovic,SR,DL,,2007,UCLA,DeWayne Walker
Brigham Harwell,SR,DL,,2007,UCLA,DeWayne Walker
Chase Moline,JR,DL,,2007,UCLA,DeWayne Walker
Jerzy Siewierski,SO,DL,,2007,UCLA,DeWayne Walker
Jess Ward,SO,DL,,2007,UCLA,DeWayne Walker
William Snead,SR,DL,,2007,UCLA,DeWayne Walker
Korey Bosworth,SO,DL,,2007,UCLA,DeWayne Walker
Kyle Bosworth*,JR,LB,,2007,UCLA,DeWayne Walker
Reggie Carter*,SO,LB,,2007,UCLA,DeWayne Walker
Christian Taylor*,SR,LB,,2007,UCLA,DeWayne Walker
Joshua Edwards,JR,LB,,2007,UCLA,DeWayne Walker
John Hale,JR,LB,,2007,UCLA,DeWayne Walker
Shawn Oatis,SO,LB,,2007,UCLA,DeWayne Walker
Aaron Whittington,SR,LB,,2007,UCLA,DeWayne Walker
Chad Moline,SR,LB,,2007,UCLA,DeWayne Walker
Chris Horton*,SR,DB,,2007,UCLA,DeWayne Walker
Trey Brown*,SR,DB,,2007,UCLA,DeWayne Walker
Dennis Keyes*,SR,DB,,2007,UCLA,DeWayne Walker
Alterraun Verner*,SO,DB,,2007,UCLA,DeWayne Walker
Bret Lockett,JR,DB,,2007,UCLA,DeWayne Walker
Garrett Rubio,FR,DB,,2007,UCLA,DeWayne Walker
Aaron Ware,SO,DB,,2007,UCLA,DeWayne Walker
Matt Slater,SR,DB,,2007,UCLA,DeWayne Walker
Chris Meadows,JR,DB,,2007,UCLA,DeWayne Walker
Michael Norris,JR,DB,,2007,UCLA,DeWayne Walker
Rodney Van,SR,DB,,2007,UCLA,DeWayne Walker
Aaron Perez,JR,P,,2007,UCLA,DeWayne Walker
