player,class,pos,summary,year,school,coach,Player,Class,Pos,Summary,Year,School,Coach
Jeff Fleming,SO,QB,"87 Cmp, 172 Att, 789 Yds, 4 TD",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Trevor Walls,SO,QB,"46 Cmp, 94 Att, 352 Yds, 2 TD",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Victor Johnson,FR,RB,,2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Donavan Roberts,SO,RB,,2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Seth Smith,JR,RB,"246 Att, 1016 Yds, 4.1 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Tonny Glynn,SR,RB,"66 Att, 295 Yds, 4.5 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Marquell Colston,SR,RB,"60 Att, 249 Yds, 4.2 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Robert Clay,FR,RB,"10 Att, 16 Yds, 1.6 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Ronald Opetaia,SO,RB,"4 Rec, 29 Yds, 7.3 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
William Bullock,JR,WR,"4 Rec, 48 Yds, 12.0 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Darrius Preston,SO,WR,"1 Rec, 3 Yds, 3.0 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Todd Lee,SO,WR,"28 Rec, 280 Yds, 10.0 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Marcus Allen,JR,WR,"26 Rec, 308 Yds, 11.8 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Marcus Anderson,SR,WR,"22 Rec, 208 Yds, 9.5 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Julius Fleming,SO,WR,"4 Rec, 27 Yds, 6.8 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Donyae Coleman,JR,WR,"1 Rec, 8 Yds, 8.0 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Stephon Hatchett,JR,WR,,2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kyle Nelson,JR,TE,"12 Rec, 112 Yds, 9.3 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kyle Hipp,JR,TE,"4 Rec, 23 Yds, 5.8 Avg",2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Ronny Torres,JR,TE,,2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Dwayne Barton,JR,OL,,2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
