Player,Class,Pos,Summary,Year,School,Coach
Alan Hood,,QB,"54 Cmp, 103 Att, 559 Yds, 3 TD",1984,Iowa State,Jim Criner
Derek DeGennaro,,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",1984,Iowa State,Jim Criner
Alex Espinoza,,QB,"143 Cmp, 262 Att, 1580 Yds, 10 TD",1984,Iowa State,Jim Criner
Richard Hanson*,,RB,"155 Att, 507 Yds, 3.3 Avg",1984,Iowa State,Jim Criner
Tommy Davis*,,RB,"71 Att, 304 Yds, 4.3 Avg",1984,Iowa State,Jim Criner
Don Poprilo,,RB,"37 Att, 130 Yds, 3.5 Avg",1984,Iowa State,Jim Criner
Al Watson,,RB,"36 Att, 109 Yds, 3.0 Avg",1984,Iowa State,Jim Criner
Derrick Sperling,,RB,"19 Att, 53 Yds, 2.8 Avg",1984,Iowa State,Jim Criner
Michael Posey,,RB,"11 Att, 21 Yds, 1.9 Avg",1984,Iowa State,Jim Criner
Chris Hentges,,RB,"6 Att, 20 Yds, 3.3 Avg",1984,Iowa State,Jim Criner
Kirk Thomas,,RB,"5 Att, 14 Yds, 2.8 Avg",1984,Iowa State,Jim Criner
Tracy Henderson*,,WR,"64 Rec, 941 Yds, 14.7 Avg",1984,Iowa State,Jim Criner
Robbie Minor*,,WR,"17 Rec, 197 Yds, 11.6 Avg",1984,Iowa State,Jim Criner
Danny Gantt,,WR,"11 Rec, 134 Yds, 12.2 Avg",1984,Iowa State,Jim Criner
David Smoldt*,,TE,"26 Rec, 251 Yds, 9.7 Avg",1984,Iowa State,Jim Criner
Jeff Wodka,,TE,"6 Rec, 56 Yds, 9.3 Avg",1984,Iowa State,Jim Criner
Brett Blaney,,TE,"3 Rec, 32 Yds, 10.7 Avg",1984,Iowa State,Jim Criner
Kevin Eggleston*,,OL,,1984,Iowa State,Jim Criner
Eric Huhndorf*,,OL,,1984,Iowa State,Jim Criner
Vince Jasper*,,OL,,1984,Iowa State,Jim Criner
Channon Mawdsley*,,OL,,1984,Iowa State,Jim Criner
Bruce Westemeyer*,,OL,,1984,Iowa State,Jim Criner
Marc Bachrodt,,K,,1984,Iowa State,Jim Criner
Steve Little*,,DL,,1984,Iowa State,Jim Criner
Jim Luebbers*,,DL,,1984,Iowa State,Jim Criner
Barry Moore*,,DL,,1984,Iowa State,Jim Criner
Lester Williams*,,DL,,1984,Iowa State,Jim Criner
Jeff Braswell*,,LB,,1984,Iowa State,Jim Criner
Dennis Gibson*,,LB,,1984,Iowa State,Jim Criner
Tim Iversen*,,LB,,1984,Iowa State,Jim Criner
Jim Thompson,,LB,,1984,Iowa State,Jim Criner
Terrence Anthony*,,DB,,1984,Iowa State,Jim Criner
Anthony Davis*,,DB,,1984,Iowa State,Jim Criner
Anthony Mayze*,,DB,,1984,Iowa State,Jim Criner
Kevin Williams*,,DB,,1984,Iowa State,Jim Criner
Joe Jackson,,DB,,1984,Iowa State,Jim Criner
Billy McCue,,DB,,1984,Iowa State,Jim Criner
Tony Tucker,,DB,,1984,Iowa State,Jim Criner
Kent Anderson,,KR,,1984,Iowa State,Jim Criner
Michael Taylor,,,,1984,Iowa State,Jim Criner
