source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,David Archer*,NA,QB,"234 Cmp, 403 Att, 2639 Yds, 18 TD",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Alan Hood,NA,QB,"2 Cmp, 7 Att, 78 Yds, 1 TD",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Tommy Davis*,NA,RB,"156 Att, 396 Yds, 2.5 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Jason Jacobs*,NA,RB,"99 Att, 490 Yds, 4.9 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Al Watson,NA,RB,"12 Att, 59 Yds, 4.9 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Richard Hanson,NA,RB,"6 Att, -2 Yds, -0.3 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Kirk Thomas,NA,RB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Tracy Henderson*,NA,WR,"81 Rec, 1051 Yds, 13.0 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Robbie Minor*,NA,WR,"20 Rec, 322 Yds, 16.1 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Danny Gantt,NA,WR,"10 Rec, 140 Yds, 14.0 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Curtis Levingston,NA,WR,"8 Rec, 148 Yds, 18.5 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Michael Posey,NA,WR,"1 Rec, 65 Yds, 65.0 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Michael Wade,NA,WR,"1 Rec, 17 Yds, 17.0 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,David Smoldt*,NA,TE,"12 Rec, 113 Yds, 9.4 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Jeff Wodka,NA,TE,"9 Rec, 69 Yds, 7.7 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Brett Blaney,NA,TE,"4 Rec, 39 Yds, 9.8 Avg",1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Dan Martin*,NA,OL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Chuck Meyers*,NA,OL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Benn Musgrave*,NA,OL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Scott Nelson*,NA,OL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Bruce Reimers*,NA,OL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Marc Bachrodt,NA,K,,1983,Iowa State,Jim Criner
