Player,Class,Pos,Summary,Year,School,Coach
Jaren Hall,SR,QB,"248 Cmp, 376 Att, 3171 Yds, 31 TD",2022,Brigham Young,Kalani Sitake
Sol-Jay Maiava-Peters,SO,QB,"7 Cmp, 12 Att, 47 Yds, 0 TD",2022,Brigham Young,Kalani Sitake
Jacob Conover,JR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",2022,Brigham Young,Kalani Sitake
Nick Billoups,JR,QB,,2022,Brigham Young,Kalani Sitake
Cade Fennegan,JR,QB,,2022,Brigham Young,Kalani Sitake
Christopher Brooks,SR,RB,"130 Att, 817 Yds, 6.3 Avg",2022,Brigham Young,Kalani Sitake
Lopini Katoa,SR,RB,"75 Att, 332 Yds, 4.4 Avg",2022,Brigham Young,Kalani Sitake
Miles Davis,JR,RB,"40 Att, 225 Yds, 5.6 Avg",2022,Brigham Young,Kalani Sitake
Hinckley Ropati,SR,RB,"36 Att, 189 Yds, 5.3 Avg",2022,Brigham Young,Kalani Sitake
Mason Fakahua,JR,RB,"7 Att, 14 Yds, 2.0 Avg",2022,Brigham Young,Kalani Sitake
Jackson McChesney,SR,RB,"3 Att, 33 Yds, 11.0 Avg",2022,Brigham Young,Kalani Sitake
Enoch Nawahine,JR,RB,,2022,Brigham Young,Kalani Sitake
Beau Robinson,JR,RB,,2022,Brigham Young,Kalani Sitake
Chase Roberts,JR,WR,"22 Rec, 357 Yds, 16.2 Avg",2022,Brigham Young,Kalani Sitake
Keanu Hill,JR,WR,"36 Rec, 572 Yds, 15.9 Avg",2022,Brigham Young,Kalani Sitake
Puka Nacua,SR,WR,"48 Rec, 625 Yds, 13.0 Avg",2022,Brigham Young,Kalani Sitake
Kody Epps,JR,WR,"39 Rec, 459 Yds, 11.8 Avg",2022,Brigham Young,Kalani Sitake
Gunner Romney,SR,WR,"5 Rec, 59 Yds, 11.8 Avg",2022,Brigham Young,Kalani Sitake
Terence Fall,JR,WR,"1 Rec, 19 Yds, 19.0 Avg",2022,Brigham Young,Kalani Sitake
Parker Kingston,SO,WR,,2022,Brigham Young,Kalani Sitake
Brayden Cosper,SR,WR,"30 Rec, 363 Yds, 12.1 Avg",2022,Brigham Young,Kalani Sitake
Talmage Gunther,JR,WR,,2022,Brigham Young,Kalani Sitake
Kade Moore,JR,WR,,2022,Brigham Young,Kalani Sitake
Hobbs Nyberg,JR,WR,,2022,Brigham Young,Kalani Sitake
Tanner Wall,JR,WR,,2022,Brigham Young,Kalani Sitake
Kyson Hall,SO,WR,,2022,Brigham Young,Kalani Sitake
Dom Henry,SO,WR,,2022,Brigham Young,Kalani Sitake
Isaac Rex,JR,TE,"22 Rec, 320 Yds, 14.5 Avg",2022,Brigham Young,Kalani Sitake
Dallin Holker,SR,TE,"9 Rec, 86 Yds, 9.6 Avg",2022,Brigham Young,Kalani Sitake
Ethan Erickson,JR,TE,"1 Rec, 14 Yds, 14.0 Avg",2022,Brigham Young,Kalani Sitake
Lane Lunt,SR,TE,,2022,Brigham Young,Kalani Sitake
Carter Wheat,SR,TE,,2022,Brigham Young,Kalani Sitake
Anthony Olsen,SO,TE,,2022,Brigham Young,Kalani Sitake
Campbell Barrington,JR,OL,,2022,Brigham Young,Kalani Sitake
Clark Barrington,SR,OL,,2022,Brigham Young,Kalani Sitake
Sam Dawe,SO,OL,,2022,Brigham Young,Kalani Sitake
Blake Freeland,SR,OL,,2022,Brigham Young,Kalani Sitake
Brayden Keim,SR,OL,,2022,Brigham Young,Kalani Sitake
Harris LaChance,SR,OL,,2022,Brigham Young,Kalani Sitake
Tyler Little,JR,OL,,2022,Brigham Young,Kalani Sitake
Sonny Makasini,SO,OL,,2022,Brigham Young,Kalani Sitake
Connor Pay,JR,OL,,2022,Brigham Young,Kalani Sitake
Kingsley Suamataia,SO,OL,,2022,Brigham Young,Kalani Sitake
Lisala Tai,SR,OL,,2022,Brigham Young,Kalani Sitake
Joe Tukuafu,SR,OL,,2022,Brigham Young,Kalani Sitake
Ben Ward,JR,OL,,2022,Brigham Young,Kalani Sitake
Peter Falaniko,SO,OL,,2022,Brigham Young,Kalani Sitake
Donovan Hanna,JR,OL,,2022,Brigham Young,Kalani Sitake
Vae Soifua,SO,OL,,2022,Brigham Young,Kalani Sitake
Sione Veikoso,FR,OL,,2022,Brigham Young,Kalani Sitake
Jake Oldroyd,SR,K,,2022,Brigham Young,Kalani Sitake
Cash Peterman,JR,K,,2022,Brigham Young,Kalani Sitake
Justen Smith,JR,K,,2022,Brigham Young,Kalani Sitake
Tyler Batty,JR,DL,,2022,Brigham Young,Kalani Sitake
Lorenzo Fauatea,SR,DL,,2022,Brigham Young,Kalani Sitake
Hunter Greer,JR,DL,,2022,Brigham Young,Kalani Sitake
Caden Haws,SR,DL,,2022,Brigham Young,Kalani Sitake
Fisher Jackson,JR,DL,,2022,Brigham Young,Kalani Sitake
Josh Larsen,JR,DL,,2022,Brigham Young,Kalani Sitake
Logan Lutui,SO,DL,,2022,Brigham Young,Kalani Sitake
Atunaisa Mahe,SR,DL,,2022,Brigham Young,Kalani Sitake
Blake Mangelson,JR,DL,,2022,Brigham Young,Kalani Sitake
Bruce Mitchell,SO,DL,,2022,Brigham Young,Kalani Sitake
Aisea Moa,SO,DL,,2022,Brigham Young,Kalani Sitake
John Nelson,JR,DL,,2022,Brigham Young,Kalani Sitake
Alema Pilimai,SR,DL,,2022,Brigham Young,Kalani Sitake
Joshua Singh,JR,DL,,2022,Brigham Young,Kalani Sitake
Gabe Summers,SR,DL,,2022,Brigham Young,Kalani Sitake
Alden Tofa,SR,DL,,2022,Brigham Young,Kalani Sitake
Earl Tuioti-Mariner,SR,DL,,2022,Brigham Young,Kalani Sitake
Ben Bywater,JR,LB,,2022,Brigham Young,Kalani Sitake
Matthew Criddle,SR,LB,,2022,Brigham Young,Kalani Sitake
Jackson Kaufusi,SR,LB,,2022,Brigham Young,Kalani Sitake
Keenan Pili,SR,LB,,2022,Brigham Young,Kalani Sitake
Logan Pili,SO,LB,,2022,Brigham Young,Kalani Sitake
Morgan Pyper,SR,LB,,2022,Brigham Young,Kalani Sitake
Tate Romney,SO,LB,,2022,Brigham Young,Kalani Sitake
Bodie Schoonover,SO,LB,,2022,Brigham Young,Kalani Sitake
Pepe Tanuvasa,SR,LB,,2022,Brigham Young,Kalani Sitake
Max Tooley,SR,LB,,2022,Brigham Young,Kalani Sitake
Payton Wilgar,SR,LB,,2022,Brigham Young,Kalani Sitake
Josh Wilson,JR,LB,,2022,Brigham Young,Kalani Sitake
Michael Daley,JR,LB,,2022,Brigham Young,Kalani Sitake
Micah Wilson,SO,LB,,2022,Brigham Young,Kalani Sitake
Chris Jackson,SR,DB,,2022,Brigham Young,Kalani Sitake
Chaz Ah You,SR,DB,,2022,Brigham Young,Kalani Sitake
Talan Alfrey,JR,DB,,2022,Brigham Young,Kalani Sitake
Jacob Boren,SR,DB,,2022,Brigham Young,Kalani Sitake
Caleb Christensen,JR,DB,,2022,Brigham Young,Kalani Sitake
Chika Ebunoha,SO,DB,,2022,Brigham Young,Kalani Sitake
Tavita Gagnier,JR,DB,,2022,Brigham Young,Kalani Sitake
Korbyn Green,SO,DB,,2022,Brigham Young,Kalani Sitake
Ammon Hannemann,JR,DB,,2022,Brigham Young,Kalani Sitake
Micah Harper,SR,DB,,2022,Brigham Young,Kalani Sitake
Kaleb Hayes,SR,DB,,2022,Brigham Young,Kalani Sitake
Gabe Jeudy-Lally,SR,DB,,2022,Brigham Young,Kalani Sitake
Evan Johnson,SO,DB,,2022,Brigham Young,Kalani Sitake
Dean Jones,JR,DB,,2022,Brigham Young,Kalani Sitake
Carter Krupp,JR,DB,,2022,Brigham Young,Kalani Sitake
Hayden Livingston,SR,DB,,2022,Brigham Young,Kalani Sitake
D'Angelo Mandell,SR,DB,,2022,Brigham Young,Kalani Sitake
Malik Moore,SR,DB,,2022,Brigham Young,Kalani Sitake
Preston Rex,SO,DB,,2022,Brigham Young,Kalani Sitake
Ethan Slade,JR,DB,,2022,Brigham Young,Kalani Sitake
George Udo,SR,DB,,2022,Brigham Young,Kalani Sitake
Nathan Gillis,SO,DB,,2022,Brigham Young,Kalani Sitake
Quenton Rice,JR,DB,,2022,Brigham Young,Kalani Sitake
Ryan Rehkow,JR,P,,2022,Brigham Young,Kalani Sitake
Masen Wake,SR,FB,,2022,Brigham Young,Kalani Sitake
Zion Allen,SO,CB,,2022,Brigham Young,Kalani Sitake
Mory Bamba,SO,CB,,2022,Brigham Young,Kalani Sitake
Houston Heimuli,SR,FB,,2022,Brigham Young,Kalani Sitake
Britton Hogan,SR,LS,,2022,Brigham Young,Kalani Sitake
Austin Riggs,JR,LS,,2022,Brigham Young,Kalani Sitake
Dalton Riggs,SO,LS,,2022,Brigham Young,Kalani Sitake
Jakob Robinson,JR,CB,,2022,Brigham Young,Kalani Sitake
