Year,School,G,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Bowl,Notes,Coach
2016,Brigham Young,13,9,4,0,.692,6.50,-1.19,,,,Poinsettia Bowl-W,,Kalani Sitake
2017,Brigham Young,13,4,9,0,.308,-8.06,-1.37,,,,,,Kalani Sitake
2018,Brigham Young,13,7,6,0,.538,3.07,-0.94,,20,,Famous Idaho Potato Bowl-W,,Kalani Sitake
2019,Brigham Young,13,7,6,0,.538,0.85,-1.23,,,,Hawaii Bowl-L,,Kalani Sitake
2020,Brigham Young,12,11,1,0,.917,14.70,-3.89,,8,11,Boca Raton Bowl-W,,Kalani Sitake
2021,Brigham Young,13,10,3,0,.769,7.29,0.29,,10,19,Independence Bowl-L,,Kalani Sitake
2022,Brigham Young,13,8,5,0,.615,1.98,-0.10,25,12,,New Mexico Bowl-W,,Kalani Sitake
2023,Brigham Young,12,5,7,0,.417,-0.92,3.67,,,,,,Kalani Sitake
2024,Brigham Young,13,11,2,0,.846,13.09,1.47,,7,13,Alamo Bowl-W,,Kalani Sitake
2025,Brigham Young,3,3,0,0,1.000,19.07,-3.93,,25,,,,Kalani Sitake
