source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Taysom Hill,SR,QB,"222 Cmp, 372 Att, 2323 Yds, 12 TD",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Tanner Mangum,SO,QB,"22 Cmp, 33 Att, 241 Yds, 3 TD",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Jamaal Williams,SR,RB,"234 Att, 1375 Yds, 5.9 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Squally Canada,SO,RB,"74 Att, 315 Yds, 4.3 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,KJ Hall,FR,RB,"35 Att, 184 Yds, 5.3 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Algernon Brown,SR,RB,"16 Att, 43 Yds, 2.7 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Colby Hansen,JR,RB,"4 Att, 10 Yds, 2.5 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Brayden El-Bakri,SO,RB,"5 Rec, 88 Yds, 17.6 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Mitchell Juergens,SR,WR,"34 Rec, 333 Yds, 9.8 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Aleva Hifo,FR,WR,"11 Rec, 58 Yds, 5.3 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Colby Pearson,SR,WR,"38 Rec, 384 Yds, 10.1 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Nick Kurtz,SR,WR,"49 Rec, 541 Yds, 11.0 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Jonah Trinnaman,JR,WR,"28 Rec, 321 Yds, 11.5 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Moroni Laulu-Pututau,SO,WR,"27 Rec, 277 Yds, 10.3 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Garrett Juergens,SR,WR,"4 Rec, 36 Yds, 9.0 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Talon Shumway,FR,WR,"3 Rec, 49 Yds, 16.3 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Beau Tanner,SO,WR,"1 Rec, 5 Yds, 5.0 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Tanner Balderree,JR,TE,"13 Rec, 156 Yds, 12.0 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Hunter Marshall,SO,TE,"7 Rec, 66 Yds, 9.4 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Nate Sampson,SO,TE,"1 Rec, 12 Yds, 12.0 Avg",2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Solomone Wolfgramm,SO,TE,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Quin Ficklin,SO,OL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Corbin Kaufusi,SO,OL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Corbin Kaufusi,SO,OL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Ului Lapuaho,JR,OL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Tuni Kanuch,JR,OL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,JJ Nwigwe,SO,OL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Brad Wilcox,SR,OL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Moses Kaumatule,SO,DL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Tomasi Laulile,JR,DL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Tevita Mo'unga,SO,DL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Logan Taele,SR,DL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Merrill Taliauli,SO,DL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Handsome Tanielu,JR,DL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Kesni Tausinga,JR,DL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Travis Tuiloma,SR,DL,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Harvey Langi,SR,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Phillip Amone,SO,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Francis Bernard,SO,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Francis Bernard,SO,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Austin Heder,SR,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Va'A Niumatalolo,JR,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Butch Pau'u,SO,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Trajan Pili,FR,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Adam Pulsipher,SO,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Rhett Sandlin,SO,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Johnny Tapusoa,FR,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Sae Tautu,SR,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Morgan Unga,SO,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Fred Warner,JR,LB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Micah Hannemann,JR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Cody Stewart,JR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Zayne Anderson,SO,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Isaiah Armstrong,SO,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Sam Baldwin,FR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Michael Davis,SR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Michael Davis,SR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Kavika Fonua,SO,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Kamel Greene,JR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Matt Hadley,JR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Tanner Jacobson,SO,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Grant Jones,JR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Dayan Lake,FR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Hiva Lee,FR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Austin McChesney,FR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Kai Nacua,SR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Sawyer Powell,JR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Michael Shelton,SO,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Eric Takenaka,SR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Troy Warner,FR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Chris Wilcox,FR,DB,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Jonny Linehan,SR,P,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Rhett Almond,SO,P,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Corey Edwards,JR,PK,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Matt Foley,SO,LS,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Andrew Mikkelsen,SO,PK,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2016_brigham-young_roster.csv,Jake Oldroyd,FR,PK,,2016,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2017_brigham-young_roster.csv,Tanner Mangum,JR,QB,"147 Cmp, 257 Att, 1540 Yds, 8 TD",2017,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2017_brigham-young_roster.csv,Joe Critchlow,FR,QB,"55 Cmp, 101 Att, 642 Yds, 3 TD",2017,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2017_brigham-young_roster.csv,Beau Hoge,SO,QB,"19 Cmp, 39 Att, 257 Yds, 2 TD",2017,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2017_brigham-young_roster.csv,Austin Kafentzis,SO,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",2017,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2017_brigham-young_roster.csv,Kody Wilstead,FR,QB,,2017,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2017_brigham-young_roster.csv,Koy Detmer Jr.,SO,QB,"7 Cmp, 20 Att, 91 Yds, 0 TD",2017,Brigham Young,Kalani Sitake
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kalani_Sitake/2017_brigham-young_roster.csv,Squally Canada,JR,RB,"120 Att, 710 Yds, 5.9 Avg",2017,Brigham Young,Kalani Sitake
