Player,Class,Pos,Summary,Year,School,Coach
Cameron Rising,SO,QB,"204 Cmp, 320 Att, 2493 Yds, 20 TD",2021,Utah,Kyle Whittingham
Charlie Brewer,SR,QB,"48 Cmp, 79 Att, 484 Yds, 3 TD",2021,Utah,Kyle Whittingham
Bryson Barnes,FR,QB,"2 Cmp, 2 Att, 23 Yds, 1 TD",2021,Utah,Kyle Whittingham
Ja'Quinden Jackson,FR,QB,,2021,Utah,Kyle Whittingham
Peter Costelli,FR,QB,,2021,Utah,Kyle Whittingham
Tavion Thomas,SO,RB,"204 Att, 1108 Yds, 5.4 Avg",2021,Utah,Kyle Whittingham
T.J. Pledger,JR,RB,"104 Att, 694 Yds, 6.7 Avg",2021,Utah,Kyle Whittingham
Micah Bernard,FR,RB,"87 Att, 523 Yds, 6.0 Avg",2021,Utah,Kyle Whittingham
Chris Curry,SO,RB,"14 Att, 55 Yds, 3.9 Avg",2021,Utah,Kyle Whittingham
Faysal Aden,FR,RB,,2021,Utah,Kyle Whittingham
Ricky Parks,FR,RB,,2021,Utah,Kyle Whittingham
Elvis Vakapuna,FR,RB,,2021,Utah,Kyle Whittingham
Charlie Vincent,FR,RB,,2021,Utah,Kyle Whittingham
Braedon Wissler,FR,RB,,2021,Utah,Kyle Whittingham
Britain Covey,JR,WR,"52 Rec, 514 Yds, 9.9 Avg",2021,Utah,Kyle Whittingham
Jaylen Dixon,JR,WR,"5 Rec, 76 Yds, 15.2 Avg",2021,Utah,Kyle Whittingham
Devaughn Vele,FR,WR,"23 Rec, 389 Yds, 16.9 Avg",2021,Utah,Kyle Whittingham
Solomon Enis,JR,WR,"22 Rec, 248 Yds, 11.3 Avg",2021,Utah,Kyle Whittingham
Theo Howard,SR,WR,"10 Rec, 140 Yds, 14.0 Avg",2021,Utah,Kyle Whittingham
Connor O'Toole,FR,WR,"1 Rec, 5 Yds, 5.0 Avg",2021,Utah,Kyle Whittingham
Money Parks,FR,WR,"1 Rec, 12 Yds, 12.0 Avg",2021,Utah,Kyle Whittingham
Bryson Reeves,FR,WR,,2021,Utah,Kyle Whittingham
Kyrese Rowan,FR,WR,,2021,Utah,Kyle Whittingham
Zach Vaughn,FR,WR,,2021,Utah,Kyle Whittingham
Noah Bennee,FR,WR,,2021,Utah,Kyle Whittingham
Makai Cope,FR,WR,,2021,Utah,Kyle Whittingham
Maxwell Cotton,FR,WR,,2021,Utah,Kyle Whittingham
