Year,School,G,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Bowl,Notes,Coach
2004,Utah,1,1,0,0,1.000,21.76,0.43,20,4,4,Fiesta Bowl-W,Co-coach with Urban Meyer for Fiesta Bowl,Kyle Whittingham
2005,Utah,12,7,5,0,.583,2.83,-2.08,,,,Emerald Bowl-W,,Kyle Whittingham
2006,Utah,13,8,5,0,.615,3.32,-1.61,,,,Armed Forces Bowl-W,,Kyle Whittingham
2007,Utah,13,9,4,0,.692,7.37,0.53,,,,Poinsettia Bowl-W,,Kyle Whittingham
2008,Utah,13,13,0,0,1.000,13.79,-2.06,,2,2,Sugar Bowl-W,,Kyle Whittingham
2009,Utah,13,10,3,0,.769,7.28,-1.18,19,16,18,Poinsettia Bowl-W,,Kyle Whittingham
2010,Utah,13,10,3,0,.769,8.30,0.53,,6,,Maaco Bowl-L,,Kyle Whittingham
2011,Utah,13,8,5,0,.615,3.16,-0.30,,,,Sun Bowl-W,,Kyle Whittingham
2012,Utah,12,5,7,0,.417,2.51,3.09,,,,,,Kyle Whittingham
2013,Utah,12,5,7,0,.417,6.96,9.55,,,,,,Kyle Whittingham
2014,Utah,13,9,4,0,.692,9.84,5.14,,18,21,Las Vegas Bowl-W,,Kyle Whittingham
2015,Utah,13,10,3,0,.769,11.39,4.32,,3,17,Las Vegas Bowl-W,,Kyle Whittingham
2016,Utah,13,9,4,0,.692,8.65,2.19,,11,23,Foster Farms Bowl-W,,Kyle Whittingham
2017,Utah,13,7,6,0,.538,5.07,1.22,,20,,Heart of Dallas Bowl-W,,Kyle Whittingham
2018,Utah,14,9,5,0,.643,9.91,3.06,,16,,Holiday Bowl-L,,Kyle Whittingham
2019,Utah,14,11,3,0,.786,14.86,2.29,14,5,16,Alamo Bowl-L,,Kyle Whittingham
2020,Utah,5,3,2,0,.600,0.67,-2.93,22,22,,,,Kyle Whittingham
2021,Utah,14,10,4,0,.714,12.26,1.62,24,10,12,Rose Bowl-L,,Kyle Whittingham
2022,Utah,14,10,4,0,.714,14.80,3.09,7,7,10,Rose Bowl-L,,Kyle Whittingham
2023,Utah,13,8,5,0,.615,6.97,4.43,14,10,,Las Vegas Bowl-L,,Kyle Whittingham
2024,Utah,12,5,7,0,.417,1.63,1.63,12,10,,,,Kyle Whittingham
2025,Utah,4,3,1,0,.750,6.62,-5.38,,16,,,,Kyle Whittingham
