source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Alex Smith,JR,QB,"214 Cmp, 317 Att, 2952 Yds, 32 TD",2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Brian Johnson,FR,QB,"14 Cmp, 21 Att, 142 Yds, 1 TD",2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Fano Tagovailoa,JR,QB,"2 Cmp, 2 Att, 49 Yds, 0 TD",2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Brigham Au,JR,QB,,2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Adam Madsen,JR,QB,,2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Quinton Ganther,JR,RB,"109 Att, 654 Yds, 6.0 Avg",2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Marty Johnson,SR,RB,"165 Att, 802 Yds, 4.9 Avg",2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Joe Johnson,FR,RB,"11 Att, 41 Yds, 3.7 Avg",2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Darryl Poston,JR,RB,"1 Att, 3 Yds, 3.0 Avg",2004,Utah,Kyle Whittingham
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Kyle_Whittingham/2004_utah_roster.csv,Billy Kinsey,SO,RB,,2004,Utah,Kyle Whittingham
