Player,Class,Pos,Summary,Year,School,Coach
Marc Wilson*,,QB,"250 Cmp, 427 Att, 3720 Yds, 29 TD",1979,Brigham Young,LaVell Edwards
Royce Bybee,,QB,"26 Cmp, 37 Att, 331 Yds, 4 TD",1979,Brigham Young,LaVell Edwards
Eric Lane*,,RB,"94 Att, 595 Yds, 6.3 Avg",1979,Brigham Young,LaVell Edwards
Homer Jones*,,RB,"75 Att, 546 Yds, 7.3 Avg",1979,Brigham Young,LaVell Edwards
Scott Phillips,,RB,"46 Att, 321 Yds, 7.0 Avg",1979,Brigham Young,LaVell Edwards
Steve Carlsen,,RB,"36 Att, 201 Yds, 5.6 Avg",1979,Brigham Young,LaVell Edwards
Doug Williams,,RB,"22 Att, 50 Yds, 2.3 Avg",1979,Brigham Young,LaVell Edwards
Mike Lacey,,RB,"7 Att, 8 Yds, 1.1 Avg",1979,Brigham Young,LaVell Edwards
Clay Blackwell,,RB,"7 Att, 30 Yds, 4.3 Avg",1979,Brigham Young,LaVell Edwards
Scott Reber,,RB,"5 Att, 51 Yds, 10.2 Avg",1979,Brigham Young,LaVell Edwards
Vic Whitsett,,RB,"5 Att, 35 Yds, 7.0 Avg",1979,Brigham Young,LaVell Edwards
Lloyd Jones*,,WR,"33 Rec, 735 Yds, 22.3 Avg",1979,Brigham Young,LaVell Edwards
Bill Davis*,,WR,"21 Rec, 379 Yds, 18.0 Avg",1979,Brigham Young,LaVell Edwards
Matt Braga,,WR,"21 Rec, 369 Yds, 17.6 Avg",1979,Brigham Young,LaVell Edwards
Dan Plater,,WR,"24 Rec, 411 Yds, 17.1 Avg",1979,Brigham Young,LaVell Edwards
Kent Tingey,,WR,"6 Rec, 87 Yds, 14.5 Avg",1979,Brigham Young,LaVell Edwards
Scott Collie,,WR,"1 Rec, 10 Yds, 10.0 Avg",1979,Brigham Young,LaVell Edwards
Clay Brown*,,TE,"31 Rec, 498 Yds, 16.1 Avg",1979,Brigham Young,LaVell Edwards
Rob Anderson,,TE,"4 Rec, 76 Yds, 19.0 Avg",1979,Brigham Young,LaVell Edwards
Dave Smith,,TE,"1 Rec, 25 Yds, 25.0 Avg",1979,Brigham Young,LaVell Edwards
Tom Bell*,,OL,,1979,Brigham Young,LaVell Edwards
Nick Eyre*,,OL,,1979,Brigham Young,LaVell Edwards
Danny Hansen*,,OL,,1979,Brigham Young,LaVell Edwards
Scott Nielson*,,OL,,1979,Brigham Young,LaVell Edwards
Randy Tidwell*,,OL,,1979,Brigham Young,LaVell Edwards
Brent Johnson,,K,,1979,Brigham Young,LaVell Edwards
Pulusila Filiaga*,,DL,,1979,Brigham Young,LaVell Edwards
Mat Mendenhall*,,DL,,1979,Brigham Young,LaVell Edwards
Mike Morgan*,,DL,,1979,Brigham Young,LaVell Edwards
Glen Titensor*,,DL,,1979,Brigham Young,LaVell Edwards
Rob Buchanan,,DL,,1979,Brigham Young,LaVell Edwards
Jim Jaramillo,,DL,,1979,Brigham Young,LaVell Edwards
Gary Kama*,,LB,,1979,Brigham Young,LaVell Edwards
Glen Redd*,,LB,,1979,Brigham Young,LaVell Edwards
Ed St. Pierre*,,LB,,1979,Brigham Young,LaVell Edwards
Tim Halverson*,,DB,,1979,Brigham Young,LaVell Edwards
John Neal*,,DB,,1979,Brigham Young,LaVell Edwards
Bob Prested*,,DB,,1979,Brigham Young,LaVell Edwards
Bill Schoepflin*,,DB,,1979,Brigham Young,LaVell Edwards
Dave Francis,,DB,,1979,Brigham Young,LaVell Edwards
Rob Wilson,,DB,,1979,Brigham Young,LaVell Edwards
Mark Brady,,DB,,1979,Brigham Young,LaVell Edwards
Kevin Walker,,DB,,1979,Brigham Young,LaVell Edwards
Mike Mees,,P,,1979,Brigham Young,LaVell Edwards
