source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Bill August*,NA,QB,"69 Cmp, 144 Att, 891 Yds, 5 TD",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Dave Terry,NA,QB,"62 Cmp, 122 Att, 742 Yds, 2 TD",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Pete Van Valkenberg*,NA,RB,"232 Att, 1386 Yds, 6.0 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Steve Stratton*,NA,RB,"78 Att, 328 Yds, 4.2 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Wayne Bower,NA,RB,"43 Att, 271 Yds, 6.3 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Pete Van Valkenburg,NA,RB,"232 Att, 1386 Yds, 6.0 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Dan Taylor,NA,RB,"46 Att, 161 Yds, 3.5 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Gil Gillenwater,NA,RB,"3 Att, 56 Yds, 18.7 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Bryce Johnson,NA,RB,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Logan Hunter*,NA,WR,"49 Rec, 555 Yds, 11.3 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,John Betham*,NA,WR,"19 Rec, 345 Yds, 18.2 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Jay Miller,NA,WR,"6 Rec, 30 Yds, 5.0 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Lynn Zwahlen,NA,WR,"5 Rec, 95 Yds, 19.0 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Dave Affleck,NA,WR,"3 Rec, 15 Yds, 5.0 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Dennis Doman*,NA,TE,"7 Rec, 59 Yds, 8.4 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Mike Pistorius,NA,TE,"16 Rec, 314 Yds, 19.6 Avg",1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Joe Bailey*,NA,OL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Craig Denny*,NA,OL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Paul Howard*,NA,OL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,John Monahan*,NA,OL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Steve Price*,NA,OL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Dave Brooks,NA,OL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Paul Linford*,NA,DL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Orrin Olsen*,NA,DL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Ed Rozeski*,NA,DL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Grant Wells*,NA,DL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Wayne Baker,NA,DL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Bob Larsen,NA,DL,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Larry Carr*,NA,LB,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Phil Jensen*,NA,LB,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Ron Tree*,NA,LB,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Kahlili Hunt,NA,LB,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Mike Preston,NA,LB,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Dave Atkinson*,NA,DB,,1972,Brigham Young,LaVell Edwards
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/LaVell_Edwards/1972_brigham-young_roster.csv,Craig Crompton*,NA,DB,,1972,Brigham Young,LaVell Edwards
