Player,Class,Pos,Summary,Year,School,Coach
Jeff Graham,,QB,"245 Cmp, 426 Att, 2921 Yds, 20 TD",1986,Long Beach State,Mike Sheppard
Gary Ruhlen,,QB,"14 Cmp, 23 Att, 165 Yds, 1 TD",1986,Long Beach State,Mike Sheppard
Mark Templeton,,RB,"99 Rec, 685 Yds, 6.9 Avg",1986,Long Beach State,Mike Sheppard
Michael Roberts,,RB,"71 Att, 340 Yds, 4.8 Avg",1986,Long Beach State,Mike Sheppard
Ricco Wilson,,RB,"57 Att, 126 Yds, 2.2 Avg",1986,Long Beach State,Mike Sheppard
Brian Browning,,RB,"40 Att, 111 Yds, 2.8 Avg",1986,Long Beach State,Mike Sheppard
John Mattson,,RB,,1986,Long Beach State,Mike Sheppard
Tyrone McCullouch,,WR,"9 Rec, 159 Yds, 17.7 Avg",1986,Long Beach State,Mike Sheppard
Charles Lockett,,WR,"40 Rec, 742 Yds, 18.6 Avg",1986,Long Beach State,Mike Sheppard
Kwante Hampton,,WR,"21 Rec, 395 Yds, 18.8 Avg",1986,Long Beach State,Mike Sheppard
Derek Washington,,WR,"5 Rec, 58 Yds, 11.6 Avg",1986,Long Beach State,Mike Sheppard
Jamie Craft,,WR,"1 Rec, 17 Yds, 17.0 Avg",1986,Long Beach State,Mike Sheppard
Greg Locy,,TE,"41 Rec, 631 Yds, 15.4 Avg",1986,Long Beach State,Mike Sheppard
Brian Wiss,,TE,"6 Rec, 59 Yds, 9.8 Avg",1986,Long Beach State,Mike Sheppard
Mike Dorff,,LB,,1986,Long Beach State,Mike Sheppard
Mauricio Gutierrez,,LB,,1986,Long Beach State,Mike Sheppard
Ron Knight,,LB,,1986,Long Beach State,Mike Sheppard
Phillip Morrison,,LB,,1986,Long Beach State,Mike Sheppard
Steve Rahon,,LB,,1986,Long Beach State,Mike Sheppard
Stacey Alexander,,DB,,1986,Long Beach State,Mike Sheppard
Roger Beavers,,DB,,1986,Long Beach State,Mike Sheppard
Stan Davis,,DB,,1986,Long Beach State,Mike Sheppard
Val James,,DB,,1986,Long Beach State,Mike Sheppard
Lane McCarthy,,DB,,1986,Long Beach State,Mike Sheppard
Gene Lemmers,,P,,1986,Long Beach State,Mike Sheppard
Dana Ramsey,,P,,1986,Long Beach State,Mike Sheppard
Dave Verette,,KR,,1986,Long Beach State,Mike Sheppard
