Player,Class,Pos,Summary,Year,School,Coach
Jeremy Leach,,QB,"108 Cmp, 218 Att, 1395 Yds, 5 TD",1991,New Mexico,Mike Sheppard
Stoney Case,,QB,"103 Cmp, 216 Att, 1564 Yds, 10 TD",1991,New Mexico,Mike Sheppard
Marcus Goodloe,,QB,"33 Cmp, 82 Att, 543 Yds, 4 TD",1991,New Mexico,Mike Sheppard
Marc Wilson,,RB,"73 Att, 245 Yds, 3.4 Avg",1991,New Mexico,Mike Sheppard
Derek Coffman,,RB,"56 Att, 190 Yds, 3.4 Avg",1991,New Mexico,Mike Sheppard
Marcellus Davis,,RB,"46 Att, 206 Yds, 4.5 Avg",1991,New Mexico,Mike Sheppard
Greg Oliver,,RB,"39 Rec, 478 Yds, 12.3 Avg",1991,New Mexico,Mike Sheppard
Art Celestine,,RB,"13 Att, 42 Yds, 3.2 Avg",1991,New Mexico,Mike Sheppard
Trini Avila,,RB,"12 Att, 73 Yds, 6.1 Avg",1991,New Mexico,Mike Sheppard
Taihi Jones,,RB,"5 Att, 11 Yds, 2.2 Avg",1991,New Mexico,Mike Sheppard
Karnell Hollins,,WR,"16 Rec, 275 Yds, 17.2 Avg",1991,New Mexico,Mike Sheppard
Terrence Sharper,,WR,"5 Rec, 53 Yds, 10.6 Avg",1991,New Mexico,Mike Sheppard
Joey Kowalczyk,,WR,"2 Rec, 6 Yds, 3.0 Avg",1991,New Mexico,Mike Sheppard
Stacey Blakemore,,WR,"1 Rec, 12 Yds, 12.0 Avg",1991,New Mexico,Mike Sheppard
Carl Winston,,WR,"76 Rec, 1177 Yds, 15.5 Avg",1991,New Mexico,Mike Sheppard
Manley Woods,,WR,"39 Rec, 782 Yds, 20.1 Avg",1991,New Mexico,Mike Sheppard
Zack Wesley,,WR,"7 Rec, 95 Yds, 13.6 Avg",1991,New Mexico,Mike Sheppard
Albert Jones,,WR,"3 Rec, 25 Yds, 8.3 Avg",1991,New Mexico,Mike Sheppard
Mark Moores,,OL,,1991,New Mexico,Mike Sheppard
David Margolis,,K,,1991,New Mexico,Mike Sheppard
Hugo Ojeda,,K,,1991,New Mexico,Mike Sheppard
Mike Smith,,DL,,1991,New Mexico,Mike Sheppard
Jesse Becton,,LB,,1991,New Mexico,Mike Sheppard
Trent Coit,,LB,,1991,New Mexico,Mike Sheppard
Mike Good,,LB,,1991,New Mexico,Mike Sheppard
Kim McCall,,LB,,1991,New Mexico,Mike Sheppard
Eric Jack,,DB,,1991,New Mexico,Mike Sheppard
Herb McKinley,,DB,,1991,New Mexico,Mike Sheppard
Fred Easter,,DB,,1991,New Mexico,Mike Sheppard
Will Martin,,DB,,1991,New Mexico,Mike Sheppard
Bobby Sylvia,,DB,,1991,New Mexico,Mike Sheppard
Troy Rossean,,P,,1991,New Mexico,Mike Sheppard
