source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Doug Gaynor,NA,QB,"248 Cmp, 385 Att, 3230 Yds, 16 TD",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Gary Ruhlen,NA,QB,"23 Cmp, 45 Att, 193 Yds, 0 TD",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Martin Sartin,NA,RB,"90 Att, 290 Yds, 3.2 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Mark Templeton,NA,RB,"92 Att, 459 Yds, 5.0 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Matt Palmer,NA,RB,"19 Att, 52 Yds, 2.7 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Glenn Witherspoon,NA,RB,"15 Att, 52 Yds, 3.5 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,John Cook,NA,RB,"12 Att, 115 Yds, 9.6 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Sheldon Gaines,NA,RB,"14 Rec, 209 Yds, 14.9 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,John Hearn,NA,RB,"2 Rec, 1 Yds, 0.5 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Charles Lockett,NA,WR,"75 Rec, 1112 Yds, 14.8 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Troy Ory,NA,WR,"42 Rec, 669 Yds, 15.9 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Jamie Craft,NA,WR,"1 Rec, 6 Yds, 6.0 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Greg Locy,NA,TE,"31 Rec, 496 Yds, 16.0 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Rick Trigueiro,NA,TE,"17 Rec, 233 Yds, 13.7 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Larry Sheldon,NA,TE,"2 Rec, 22 Yds, 11.0 Avg",1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,David Caylor,NA,K,,1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Jose Oceguera,NA,K,,1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Tom Hensley,NA,DL,,1984,Long Beach State,Mike Sheppard
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Mike_Sheppard/1984_long-beach-state_roster.csv,Marc Bevilacqua,NA,LB,,1984,Long Beach State,Mike Sheppard
