Player,Class,Pos,Summary,Year,School,Coach
Ikaika Woolsey,JR,QB,"73 Cmp, 149 Att, 908 Yds, 5 TD",2015,Hawaii,Norm Chow
Eric Prater,SO,QB,,2015,Hawaii,Norm Chow
Beau Reilly,FR,QB,,2015,Hawaii,Norm Chow
Aaron Zwahlen,FR,QB,,2015,Hawaii,Norm Chow
Max Wittek,SR,QB,"128 Cmp, 271 Att, 1542 Yds, 7 TD",2015,Hawaii,Norm Chow
Paul Harris,JR,RB,"198 Att, 1143 Yds, 5.8 Avg",2015,Hawaii,Norm Chow
Melvin Davis,JR,RB,"58 Att, 218 Yds, 3.8 Avg",2015,Hawaii,Norm Chow
Steven Lakalaka,JR,RB,"47 Att, 176 Yds, 3.7 Avg",2015,Hawaii,Norm Chow
Ryan Tuiasoa,SO,RB,"18 Att, 79 Yds, 4.4 Avg",2015,Hawaii,Norm Chow
Pereese Joas,SR,RB,"2 Att, 2 Yds, 1.0 Avg",2015,Hawaii,Norm Chow
Jason Muraoka,SR,RB,,2015,Hawaii,Norm Chow
Casey Lambert,JR,RB,,2015,Hawaii,Norm Chow
Diocemy Saint Juste,JR,RB,,2015,Hawaii,Norm Chow
Dominique Small,SR,RB,,2015,Hawaii,Norm Chow
Makoa Camanse-Stevens,JR,WR,"13 Rec, 191 Yds, 14.7 Avg",2015,Hawaii,Norm Chow
Quinton Pedroza,SR,WR,"23 Rec, 294 Yds, 12.8 Avg",2015,Hawaii,Norm Chow
Dylan Collie,FR,WR,"29 Rec, 342 Yds, 11.8 Avg",2015,Hawaii,Norm Chow
Marcus Kemp,JR,WR,"36 Rec, 563 Yds, 15.6 Avg",2015,Hawaii,Norm Chow
Devan Stubblefield,FR,WR,"30 Rec, 351 Yds, 11.7 Avg",2015,Hawaii,Norm Chow
Isaiah Bernard,,WR,"21 Rec, 219 Yds, 10.4 Avg",2015,Hawaii,Norm Chow
Vasquez Haynes,JR,WR,"1 Rec, 2 Yds, 2.0 Avg",2015,Hawaii,Norm Chow
Ammon Barker,SO,WR,,2015,Hawaii,Norm Chow
Keelan Ewaliko,SO,WR,,2015,Hawaii,Norm Chow
Ryan Pasoquen,SR,WR,,2015,Hawaii,Norm Chow
Duke Bukoski,SR,WR,,2015,Hawaii,Norm Chow
Andrew Ho,SO,WR,,2015,Hawaii,Norm Chow
Kalei Letoto,JR,WR,,2015,Hawaii,Norm Chow
Dakota Torres,FR,TE,"11 Rec, 98 Yds, 8.9 Avg",2015,Hawaii,Norm Chow
Harold Moleni,SR,TE,"3 Rec, 31 Yds, 10.3 Avg",2015,Hawaii,Norm Chow
Davasyia Hagger,SO,TE,"1 Rec, 13 Yds, 13.0 Avg",2015,Hawaii,Norm Chow
Brennen Brooks,FR,TE,,2015,Hawaii,Norm Chow
Sione Kauhi,FR,TE,,2015,Hawaii,Norm Chow
Metuisela 'Unga,SO,TE,"11 Rec, 170 Yds, 15.5 Avg",2015,Hawaii,Norm Chow
Dejon Allen,SO,OL,,2015,Hawaii,Norm Chow
Arona Amosa,FR,OL,,2015,Hawaii,Norm Chow
Ben Clarke,SR,OL,,2015,Hawaii,Norm Chow
Asotui Eli,FR,OL,,2015,Hawaii,Norm Chow
RJ Hollis,JR,OL,,2015,Hawaii,Norm Chow
Leo Koloamatangi,JR,OL,,2015,Hawaii,Norm Chow
Elijah Tupai,SO,OL,,2015,Hawaii,Norm Chow
John Waa,SO,OL,,2015,Hawaii,Norm Chow
J.R. Hensley,FR,OL,,2015,Hawaii,Norm Chow
Matt Norman,JR,OL,,2015,Hawaii,Norm Chow
Brenden Urban,SR,OL,,2015,Hawaii,Norm Chow
Austin Webb,FR,OL,,2015,Hawaii,Norm Chow
Aaron Novoa,JR,K,,2015,Hawaii,Norm Chow
Rigoberto Sanchez,JR,K,,2015,Hawaii,Norm Chow
Penitito Faalologo,SO,DL,,2015,Hawaii,Norm Chow
Zeno Choi,FR,DL,,2015,Hawaii,Norm Chow
Ka'aumoana Gifford,FR,DL,,2015,Hawaii,Norm Chow
Meffy Koloamatangi,SO,DL,,2015,Hawaii,Norm Chow
David Manoa,SO,DL,,2015,Hawaii,Norm Chow
Eperone Moananu,FR,DL,,2015,Hawaii,Norm Chow
Kory Rasmussen,JR,DL,,2015,Hawaii,Norm Chow
Luke Shawley,SR,DL,,2015,Hawaii,Norm Chow
Jamie Tago,FR,DL,,2015,Hawaii,Norm Chow
Kennedy Tulimasealii,JR,DL,,2015,Hawaii,Norm Chow
Samiuela Akoteu,FR,DL,,2015,Hawaii,Norm Chow
Jeremy McClam,JR,DL,,2015,Hawaii,Norm Chow
Kennedy Tumilmasealii,JR,DL,,2015,Hawaii,Norm Chow
Simon Poti,SR,LB,,2015,Hawaii,Norm Chow
Noah Borden,FR,LB,,2015,Hawaii,Norm Chow
Jeremy Castro,SO,LB,,2015,Hawaii,Norm Chow
Benetton Fonua,SR,LB,,2015,Hawaii,Norm Chow
Jerrol Garcia-Williams,JR,LB,,2015,Hawaii,Norm Chow
Julian Gener,SR,LB,,2015,Hawaii,Norm Chow
Mekani Kema-Kaleiwahea,JR,LB,,2015,Hawaii,Norm Chow
Malachi Mageo,FR,LB,,2015,Hawaii,Norm Chow
Jahlani Tavai,FR,LB,,2015,Hawaii,Norm Chow
Lance Williams,SR,LB,,2015,Hawaii,Norm Chow
Russell Williams Jr.,SO,LB,,2015,Hawaii,Norm Chow
Max Broman,FR,LB,,2015,Hawaii,Norm Chow
Tevarua Eldridge,FR,LB,,2015,Hawaii,Norm Chow
Marquis Fairchild,FR,LB,,2015,Hawaii,Norm Chow
Rashaan Falemalu,FR,LB,,2015,Hawaii,Norm Chow
Dayton Furuta,FR,LB,,2015,Hawaii,Norm Chow
Dalton Gouveia,FR,LB,,2015,Hawaii,Norm Chow
Austin Slade-Matautia,JR,LB,,2015,Hawaii,Norm Chow
Tumua Tuinei,FR,LB,,2015,Hawaii,Norm Chow
Manly Williams,FR,LB,,2015,Hawaii,Norm Chow
Dejaun Butler,JR,DB,,2015,Hawaii,Norm Chow
Gaetano Demattei,SR,DB,,2015,Hawaii,Norm Chow
Joshua Donovan,SR,DB,,2015,Hawaii,Norm Chow
Trayvon Henderson,JR,DB,,2015,Hawaii,Norm Chow
Marrell Jackson,SR,DB,,2015,Hawaii,Norm Chow
Jamal Mayo,JR,DB,,2015,Hawaii,Norm Chow
Dany Mulanga,FR,DB,,2015,Hawaii,Norm Chow
Nick Nelson,SO,DB,,2015,Hawaii,Norm Chow
Damien Packer,JR,DB,,2015,Hawaii,Norm Chow
Ne'Quan Phillips,SR,DB,,2015,Hawaii,Norm Chow
Jalen Rogers,JR,DB,,2015,Hawaii,Norm Chow
Austin Borengasser,FR,DB,,2015,Hawaii,Norm Chow
Rojesterman Farris II,FR,DB,,2015,Hawaii,Norm Chow
Jerrell Jackson,SO,DB,,2015,Hawaii,Norm Chow
Preston Kalai,FR,DB,,2015,Hawaii,Norm Chow
Soni Mailei,SR,DB,,2015,Hawaii,Norm Chow
Solomon Matautia,FR,DB,,2015,Hawaii,Norm Chow
Daniel Lewis Jr.,SO,DB,,2015,Hawaii,Norm Chow
Alex Trifonovitch,FR,P,,2015,Hawaii,Norm Chow
Justin Vele,SR,FB,,2015,Hawaii,Norm Chow
Brian Hittner,SR,LS,,2015,Hawaii,Norm Chow
Kaiwi Chung,FR,FB,,2015,Hawaii,Norm Chow
Brodie Nakama,JR,LS,,2015,Hawaii,Norm Chow
