source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Sean Schroeder,JR,QB,"175 Cmp, 344 Att, 1878 Yds, 11 TD",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Jeremy Higgins,SO,QB,"29 Cmp, 48 Att, 335 Yds, 1 TD",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Cayman Shutter,JR,QB,"1 Cmp, 2 Att, 3 Yds, 0 TD",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Joey Iosefa,SO,RB,"125 Att, 463 Yds, 3.7 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Will Gregory,FR,RB,"137 Att, 691 Yds, 5.0 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Sterling Jackson,SR,RB,"52 Att, 175 Yds, 3.4 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,John Lister,SO,RB,"41 Att, 149 Yds, 3.6 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Jared Leaf,FR,RB,"1 Rec, 5 Yds, 5.0 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Scott Harding,SO,WR,"20 Rec, 321 Yds, 16.1 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Jeremiah Ostrowski,SR,WR,"27 Rec, 270 Yds, 10.0 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Trevor Davis,SO,WR,"17 Rec, 235 Yds, 13.8 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Billy Ray Stutzmann,JR,WR,"35 Rec, 447 Yds, 12.8 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Chris Gant,SR,WR,"22 Rec, 232 Yds, 10.5 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Justin Clapp,JR,WR,"2 Rec, 22 Yds, 11.0 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Corey Paclebar,JR,WR,"2 Rec, 13 Yds, 6.5 Avg",2012,Hawaii,Norm Chow
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Norm_Chow/2012_hawaii_roster.csv,Chinedu Amadi,FR,WR,,2012,Hawaii,Norm Chow
