Player,Class,Pos,Summary,Year,School,Coach
Jake Locker*,SR,QB,"184 Cmp, 332 Att, 2265 Yds, 17 TD",2010,Washington,Steve Sarkisian
Keith Price,FR,QB,"19 Cmp, 37 Att, 164 Yds, 2 TD",2010,Washington,Steve Sarkisian
Chris Polk*,SO,RB,"260 Att, 1415 Yds, 5.4 Avg",2010,Washington,Steve Sarkisian
Austin Sylvester*,SR,RB,"4 Rec, 24 Yds, 6.0 Avg",2010,Washington,Steve Sarkisian
Jesse Callier,FR,RB,"77 Att, 433 Yds, 5.6 Avg",2010,Washington,Steve Sarkisian
Zach Fogerson,FR,RB,"2 Att, 10 Yds, 5.0 Avg",2010,Washington,Steve Sarkisian
Johri Fogerson,JR,RB,"1 Att, 6 Yds, 6.0 Avg",2010,Washington,Steve Sarkisian
Jermaine Kearse*,JR,WR,"63 Rec, 1005 Yds, 16.0 Avg",2010,Washington,Steve Sarkisian
D'Andre Goodwin*,SR,WR,"44 Rec, 530 Yds, 12.0 Avg",2010,Washington,Steve Sarkisian
Devin Aguilar,JR,WR,"28 Rec, 352 Yds, 12.6 Avg",2010,Washington,Steve Sarkisian
Kevin Smith,FR,WR,"1 Rec, 18 Yds, 18.0 Avg",2010,Washington,Steve Sarkisian
William Chandler,FR,WR,,2010,Washington,Steve Sarkisian
Cody Bruns,JR,WR,"7 Rec, 102 Yds, 14.6 Avg",2010,Washington,Steve Sarkisian
Jordan Polk,JR,WR,"7 Rec, 94 Yds, 13.4 Avg",2010,Washington,Steve Sarkisian
James Johnson,SO,WR,"1 Rec, 3 Yds, 3.0 Avg",2010,Washington,Steve Sarkisian
Dan Kanczugowski*,,TE,,2010,Washington,Steve Sarkisian
Marlion Barnett,FR,TE,"4 Rec, 31 Yds, 7.8 Avg",2010,Washington,Steve Sarkisian
Chris Izbicki,JR,TE,"2 Rec, 16 Yds, 8.0 Avg",2010,Washington,Steve Sarkisian
Cody Habben*,SR,OL,,2010,Washington,Steve Sarkisian
Ryan Tolar*,SR,OL,,2010,Washington,Steve Sarkisian
Gregory Christine*,,OL,,2010,Washington,Steve Sarkisian
Senio Kelemete*,,OL,,2010,Washington,Steve Sarkisian
Drew Schaefer*,,OL,,2010,Washington,Steve Sarkisian
Erik Kohler,FR,OL,,2010,Washington,Steve Sarkisian
Brendan Lopez,JR,OL,,2010,Washington,Steve Sarkisian
Colin Porter,,OL,,2010,Washington,Steve Sarkisian
Habben Cody,,OL,,2010,Washington,Steve Sarkisian
Erik Folk,JR,K,,2010,Washington,Steve Sarkisian
Alameda Ta'Amu*,JR,DL,,2010,Washington,Steve Sarkisian
Everrette Thompson*,JR,DL,,2010,Washington,Steve Sarkisian
Cam Elisara*,,DL,,2010,Washington,Steve Sarkisian
Kalani Aldrich,JR,DL,,2010,Washington,Steve Sarkisian
Talia Crichton,SO,DL,,2010,Washington,Steve Sarkisian
Cameron Elisara,SR,DL,,2010,Washington,Steve Sarkisian
De'Shon Matthews,SR,DL,,2010,Washington,Steve Sarkisian
Sione Potoa'E,FR,DL,,2010,Washington,Steve Sarkisian
Chris Robinson,SO,DL,,2010,Washington,Steve Sarkisian
Sione Potoae,,DL,,2010,Washington,Steve Sarkisian
Hau'oli Kikaha,FR,DL,,2010,Washington,Steve Sarkisian
Mason Foster*,SR,LB,,2010,Washington,Steve Sarkisian
Cort Dennison*,JR,LB,,2010,Washington,Steve Sarkisian
Princeton Fuimaono,FR,LB,,2010,Washington,Steve Sarkisian
Garret Gilliland,FR,LB,,2010,Washington,Steve Sarkisian
Matt Houston,SR,LB,,2010,Washington,Steve Sarkisian
Brandon Huppert,SR,LB,,2010,Washington,Steve Sarkisian
Tim Tucker,FR,LB,,2010,Washington,Steve Sarkisian
Jordan Wallace,SO,LB,,2010,Washington,Steve Sarkisian
Victor Aiyewa*,SR,DB,,2010,Washington,Steve Sarkisian
Nate Williams*,SR,DB,,2010,Washington,Steve Sarkisian
Nate Fellner*,SO,DB,,2010,Washington,Steve Sarkisian
Quinton Richardson*,JR,DB,,2010,Washington,Steve Sarkisian
Desmond Trufant*,SO,DB,,2010,Washington,Steve Sarkisian
Justin Glenn,SO,DB,,2010,Washington,Steve Sarkisian
Adam Long,SO,DB,,2010,Washington,Steve Sarkisian
Vonzell McDowell,SR,DB,,2010,Washington,Steve Sarkisian
Will Shamburger,FR,DB,,2010,Washington,Steve Sarkisian
Taz Stevenson,FR,DB,,2010,Washington,Steve Sarkisian
Semisi Tokolahi,SO,DB,,2010,Washington,Steve Sarkisian
Greg Walker,SO,DB,,2010,Washington,Steve Sarkisian
Gregory Ducre,FR,DB,,2010,Washington,Steve Sarkisian
Sean Parker,FR,DB,,2010,Washington,Steve Sarkisian
Kiel Rasp,JR,P,,2010,Washington,Steve Sarkisian
Will Mahan,SR,P,,2010,Washington,Steve Sarkisian
