Player,Class,Pos,Summary,Year,School,Coach
Quinn Ewers,SO,QB,"272 Cmp, 394 Att, 3479 Yds, 22 TD",2023,Texas,Steve Sarkisian
Maalik Murphy,FR,QB,"40 Cmp, 71 Att, 477 Yds, 3 TD",2023,Texas,Steve Sarkisian
Arch Manning,FR,QB,"2 Cmp, 5 Att, 30 Yds, 0 TD",2023,Texas,Steve Sarkisian
Cole Lourd,JR,QB,,2023,Texas,Steve Sarkisian
Joe Tatum,SO,QB,,2023,Texas,Steve Sarkisian
Charles Wright,SO,QB,,2023,Texas,Steve Sarkisian
Savion Red,SO,RB,"30 Att, 131 Yds, 4.4 Avg",2023,Texas,Steve Sarkisian
Jonathon Brooks,SO,RB,"187 Att, 1139 Yds, 6.1 Avg",2023,Texas,Steve Sarkisian
CJ Baxter,FR,RB,"138 Att, 659 Yds, 4.8 Avg",2023,Texas,Steve Sarkisian
Jaydon Blue,SO,RB,"65 Att, 398 Yds, 6.1 Avg",2023,Texas,Steve Sarkisian
Keilan Robinson,SR,RB,"12 Att, 134 Yds, 11.2 Avg",2023,Texas,Steve Sarkisian
Tre Wisner,FR,RB,"12 Att, 73 Yds, 6.1 Avg",2023,Texas,Steve Sarkisian
Colin Page,SO,RB,,2023,Texas,Steve Sarkisian
Ky Woods,SO,RB,,2023,Texas,Steve Sarkisian
Xavier Worthy,JR,WR,"75 Rec, 1014 Yds, 13.5 Avg",2023,Texas,Steve Sarkisian
Jordan Whittington,SR,WR,"42 Rec, 505 Yds, 12.0 Avg",2023,Texas,Steve Sarkisian
Adonai Mitchell,JR,WR,"55 Rec, 845 Yds, 15.4 Avg",2023,Texas,Steve Sarkisian
Johntay Cook II,FR,WR,"8 Rec, 136 Yds, 17.0 Avg",2023,Texas,Steve Sarkisian
Casey Cain,SO,WR,"1 Rec, 13 Yds, 13.0 Avg",2023,Texas,Steve Sarkisian
Isaiah Neyor,SR,WR,"1 Rec, 14 Yds, 14.0 Avg",2023,Texas,Steve Sarkisian
Paxton Anderson,SR,WR,,2023,Texas,Steve Sarkisian
DeAndre Moore Jr.,FR,WR,,2023,Texas,Steve Sarkisian
Ryan Niblett,FR,WR,,2023,Texas,Steve Sarkisian
Rett Andersen,FR,WR,,2023,Texas,Steve Sarkisian
Reece Beauchamp,SO,WR,,2023,Texas,Steve Sarkisian
Ty Boatright,FR,WR,,2023,Texas,Steve Sarkisian
Bryce Chambers,FR,WR,,2023,Texas,Steve Sarkisian
Hamilton McMartin,SO,WR,,2023,Texas,Steve Sarkisian
Quinn Merritt,SO,WR,,2023,Texas,Steve Sarkisian
