Year,School,G,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Bowl,Notes,Coach
2009,Washington,12,5,7,0,.417,3.61,4.94,,24,,,,Steve Sarkisian
2010,Washington,13,7,6,0,.538,5.55,8.24,,,,Holiday Bowl-W,,Steve Sarkisian
2011,Washington,13,7,6,0,.538,1.80,2.80,,22,,Alamo Bowl-L,,Steve Sarkisian
2012,Washington,13,7,6,0,.538,4.90,4.75,,23,,Las Vegas Bowl-L,,Steve Sarkisian
2013,Washington,12,8,4,0,.667,15.12,6.58,,15,25,,,Steve Sarkisian
2014,USC,13,9,4,0,.692,14.39,5.93,15,9,20,Holiday Bowl-W,,Steve Sarkisian
2015,USC,5,3,2,0,.600,11.53,7.39,8,6,,,,Steve Sarkisian
2021,Texas,12,5,7,0,.417,5.11,4.86,21,15,,,,Steve Sarkisian
2022,Texas,13,8,5,0,.615,15.92,8.16,,18,25,Alamo Bowl-L,,Steve Sarkisian
2023,Texas,14,12,2,0,.857,20.32,6.61,11,3,3,Sugar Bowl-L,,Steve Sarkisian
2024,Texas,16,13,3,0,.813,19.30,7.37,4,1,4,"College Football Playoff - First Round-W,Peach Bowl-W,Cotton Bowl-L",,Steve Sarkisian
2025,Texas,4,3,1,0,.750,9.76,-4.74,1,1,,,,Steve Sarkisian
