Year,School,G,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Bowl,Notes,Coach
1983,USC,11,4,6,1,.409,2.05,4.68,8,8,,,,Ted Tollner
1984,USC,12,9,3,0,.750,9.39,4.97,,7,10,Rose Bowl-W,,Ted Tollner
1985,USC,12,6,6,0,.500,6.62,6.12,6,3,,Aloha Bowl-L,,Ted Tollner
1986,USC,12,7,5,0,.583,12.45,10.62,,9,,Citrus Bowl-L,,Ted Tollner
1994,San Diego State,11,4,7,0,.364,-1.18,1.64,,,,,,Ted Tollner
1995,San Diego State,12,8,4,0,.667,3.59,-4.49,,25,,,,Ted Tollner
1996,San Diego State,11,8,3,0,.727,3.76,-4.87,,,,,,Ted Tollner
1997,San Diego State,12,5,7,0,.417,-3.88,1.37,,,,,,Ted Tollner
1998,San Diego State,12,7,5,0,.583,0.42,-0.58,,,,Las Vegas Bowl-L,,Ted Tollner
1999,San Diego State,11,5,6,0,.455,1.35,0.16,,,,,,Ted Tollner
2000,San Diego State,11,3,8,0,.273,-5.61,2.12,,,,,,Ted Tollner
2001,San Diego State,11,3,8,0,.273,-9.77,-1.40,,,,,,Ted Tollner
