source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Tim Gutierrez,NA,QB,"139 Cmp, 219 Att, 1575 Yds, 11 TD",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Billy Blanton,NA,QB,"112 Cmp, 178 Att, 1586 Yds, 15 TD",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Kevin McKechnie,NA,QB,"6 Cmp, 13 Att, 83 Yds, 1 TD",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Wayne Pittman,NA,RB,"274 Att, 1136 Yds, 4.1 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Frank Brady,NA,RB,"27 Att, 119 Yds, 4.4 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Freddie Edwards,NA,RB,"18 Att, 78 Yds, 4.3 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Ken Overby,NA,RB,"12 Att, 38 Yds, 3.2 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Ray Peterson,NA,WR,"27 Rec, 337 Yds, 12.5 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Daryl Hawkins,NA,WR,"13 Rec, 169 Yds, 13.0 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,DeAndre Maxwell,NA,WR,"47 Rec, 591 Yds, 12.6 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Az-Zahir Hakim,NA,WR,"17 Rec, 370 Yds, 21.8 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Curtis Shearer,NA,WR,"55 Rec, 737 Yds, 13.4 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Will Blackwell,NA,WR,"51 Rec, 689 Yds, 13.5 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Marc Ziegler,NA,TE,"9 Rec, 81 Yds, 9.0 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Zach Smith,NA,TE,"8 Rec, 59 Yds, 7.4 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Curt Collins,NA,TE,"4 Rec, 71 Yds, 17.8 Avg",1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Mark Roe,NA,OL,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Matt George,NA,K,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Peter Holt,NA,K,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Avo Avetisyan,NA,DL,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Scott Blade,NA,LB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Dwight Chornomud,NA,LB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Craigus Thompson,NA,LB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Leonard Jones,NA,DB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,John McCartney,NA,DB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Jason Moore,NA,DB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Ricky Parker,NA,DB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Steve Robinson,NA,DB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Eric Sutton,NA,DB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Tyron Wright,NA,DB,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Hassan Halevy,NA,P,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1994_san-diego-state_roster.csv,Ed Kaszycki,NA,P,,1994,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1995_san-diego-state_roster.csv,Billy Blanton,NA,QB,"243 Cmp, 389 Att, 3300 Yds, 23 TD",1995,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1995_san-diego-state_roster.csv,Kevin McKechnie,NA,QB,"3 Cmp, 5 Att, 52 Yds, 1 TD",1995,San Diego State,Ted Tollner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Ted_Tollner/1995_san-diego-state_roster.csv,George Jones,NA,RB,"305 Att, 1842 Yds, 6.0 Avg",1995,San Diego State,Ted Tollner
