Player,Class,Pos,Summary,Year,School,Coach
Justin Vedder*,,QB,"221 Cmp, 390 Att, 2718 Yds, 20 TD",1997,California,Tom Holmoe
Tarik Smith*,,RB,"162 Att, 636 Yds, 3.9 Avg",1997,California,Tom Holmoe
Joshua White*,,RB,"51 Att, 180 Yds, 3.5 Avg",1997,California,Tom Holmoe
Marcus Fields,,RB,"95 Att, 419 Yds, 4.4 Avg",1997,California,Tom Holmoe
Deltha O'Neal,,RB,"36 Att, 172 Yds, 4.8 Avg",1997,California,Tom Holmoe
Marc Vera,,RB,"22 Rec, 198 Yds, 9.0 Avg",1997,California,Tom Holmoe
Mike Freeman,,RB,"10 Att, 32 Yds, 3.2 Avg",1997,California,Tom Holmoe
Brandon Willis,,RB,"6 Att, 37 Yds, 6.2 Avg",1997,California,Tom Holmoe
Bobby Shaw*,,WR,"75 Rec, 1093 Yds, 14.6 Avg",1997,California,Tom Holmoe
Dameane Douglas*,,WR,"53 Rec, 610 Yds, 11.5 Avg",1997,California,Tom Holmoe
Kofi Nartey,,WR,"16 Rec, 193 Yds, 12.1 Avg",1997,California,Tom Holmoe
Bruce Pierre,,WR,"3 Rec, 35 Yds, 11.7 Avg",1997,California,Tom Holmoe
Phillip Pipersburg,,WR,"3 Rec, 71 Yds, 23.7 Avg",1997,California,Tom Holmoe
Reed Diehl,,WR,"1 Rec, 2 Yds, 2.0 Avg",1997,California,Tom Holmoe
Brian Surgener*,,TE,"12 Rec, 168 Yds, 14.0 Avg",1997,California,Tom Holmoe
A.J. Kunkle,,TE,"4 Rec, 34 Yds, 8.5 Avg",1997,California,Tom Holmoe
Corey Smith,,TE,"1 Rec, 7 Yds, 7.0 Avg",1997,California,Tom Holmoe
Jeremy Newberry*,,OL,,1997,California,Tom Holmoe
Brian Shields*,,OL,,1997,California,Tom Holmoe
Kevin Swillis*,,OL,,1997,California,Tom Holmoe
Todd Welbourn*,,OL,,1997,California,Tom Holmoe
Yauger Williams*,,OL,,1997,California,Tom Holmoe
Drake Parker,,OL,,1997,California,Tom Holmoe
Kursten Sheridan,,OL,,1997,California,Tom Holmoe
Ignacio Brache,,K,,1997,California,Tom Holmoe
Tim Wolleck,,K,,1997,California,Tom Holmoe
Andre Carter*,,DL,,1997,California,Tom Holmoe
Jerry DeLoach*,,DL,,1997,California,Tom Holmoe
John McLaughlin*,,DL,,1997,California,Tom Holmoe
Brandon Whiting*,,DL,,1997,California,Tom Holmoe
James Gibson,,DL,,1997,California,Tom Holmoe
Jeremiah Parker,,DL,,1997,California,Tom Holmoe
Mawuko Tugbenyoh,,DL,,1997,California,Tom Holmoe
Matt Beck*,,LB,,1997,California,Tom Holmoe
Albert Dorsey*,,LB,,1997,California,Tom Holmoe
Sekou Sanyika*,,LB,,1997,California,Tom Holmoe
Josh Trowbridge,,LB,,1997,California,Tom Holmoe
Justin Flagg,,LB,,1997,California,Tom Holmoe
Pete DeStefano*,,DB,,1997,California,Tom Holmoe
Derrick Gardner*,,DB,,1997,California,Tom Holmoe
Kato Serwanga*,,DB,,1997,California,Tom Holmoe
Marquise Smith*,,DB,,1997,California,Tom Holmoe
David Burnside,,DB,,1997,California,Tom Holmoe
Chidi Iwuoma,,DB,,1997,California,Tom Holmoe
Nick Harris,,P,,1997,California,Tom Holmoe
