source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Justin Vedder*,NA,QB,"221 Cmp, 390 Att, 2718 Yds, 20 TD",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Tarik Smith*,NA,RB,"162 Att, 636 Yds, 3.9 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Joshua White*,NA,RB,"51 Att, 180 Yds, 3.5 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Marcus Fields,NA,RB,"95 Att, 419 Yds, 4.4 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Deltha O'Neal,NA,RB,"36 Att, 172 Yds, 4.8 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Marc Vera,NA,RB,"22 Rec, 198 Yds, 9.0 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Mike Freeman,NA,RB,"10 Att, 32 Yds, 3.2 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Brandon Willis,NA,RB,"6 Att, 37 Yds, 6.2 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Bobby Shaw*,NA,WR,"75 Rec, 1093 Yds, 14.6 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Dameane Douglas*,NA,WR,"53 Rec, 610 Yds, 11.5 Avg",1997,California,Tom Holmoe
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Tom_Holmoe/1997_california_roster.csv,Kofi Nartey,NA,WR,"16 Rec, 193 Yds, 12.1 Avg",1997,California,Tom Holmoe
