source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Wade Elmore,NA,QB,"58 Cmp, 138 Att, 758 Yds, 5 TD",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Bubby Brister,NA,QB,"25 Cmp, 50 Att, 197 Yds, 1 TD",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Mark Massey,NA,QB,"15 Cmp, 29 Att, 193 Yds, 1 TD",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Jon English,NA,QB,"97 Cmp, 184 Att, 1258 Yds, 6 TD",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Mike S. Jones,NA,RB,"87 Att, 360 Yds, 4.1 Avg",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Elton Veals,NA,RB,"99 Att, 471 Yds, 4.8 Avg",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Toddy Francis,NA,RB,"41 Att, 105 Yds, 2.6 Avg",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Kelvin Robinson,NA,RB,"30 Att, 103 Yds, 3.4 Avg",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Laraun Ambrose,NA,RB,"10 Att, 25 Yds, 2.5 Avg",1983,Tulane,Wally English
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Wally_English/1983_tulane_roster.csv,Jeff Alexander,NA,RB,"1 Att, 2 Yds, 2.0 Avg",1983,Tulane,Wally English
