Year,School,G,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Bowl,Notes,Coach
2012,Hawaii,12,3,9,0,.250,-13.75,-3.66,,,,,,Norm Chow
2013,Hawaii,12,1,11,0,.083,-11.13,0.04,,,,,,Norm Chow
2014,Hawaii,13,4,9,0,.308,-9.08,-3.62,,,,,,Norm Chow
2015,Hawaii,9,2,7,0,.222,-14.63,-2.71,,,,,,Norm Chow
1983,Iowa State,11,4,7,0,.364,-4.49,3.15,,,,,,Jim Criner
1984,Iowa State,11,2,7,2,.273,-7.62,0.38,,,,,,Jim Criner
1985,Iowa State,11,5,6,0,.455,-5.37,1.45,,,,,,Jim Criner
1986,Iowa State,9,5,4,0,.556,0.88,-0.13,,,,,,Jim Criner
1983,Tulane,11,4,7,0,.364,1.07,5.34,,,,,recordadjusted to 0-11-0by NCAA,Wally English
1984,Tulane,11,3,8,0,.273,-1.82,5.55,,,,,,Wally English
1997,California,11,3,8,0,.273,1.24,6.15,,,,,,Tom Holmoe
1998,California,11,5,6,0,.455,1.68,5.41,,,,,,Tom Holmoe
1999,California,11,4,7,0,.364,-1.36,3.37,,,,,recordadjusted to 0-7-0by NCAA,Tom Holmoe
2000,California,11,3,8,0,.273,2.11,7.11,,,,,,Tom Holmoe
2001,California,11,1,10,0,.091,-8.37,7.17,,,,,,Tom Holmoe
1985,Oregon State,11,3,8,0,.273,-9.56,1.90,,,,,,Dave Kragthorpe
1986,Oregon State,11,3,8,0,.273,-1.14,7.68,,,,,,Dave Kragthorpe
1987,Oregon State,11,2,9,0,.182,-8.15,6.40,,,,,,Dave Kragthorpe
1988,Oregon State,11,4,6,1,.409,4.77,7.41,,,,,,Dave Kragthorpe
1989,Oregon State,12,4,7,1,.375,-2.38,5.71,,,,,,Dave Kragthorpe
1990,Oregon State,11,1,10,0,.091,-14.19,1.90,,,,,,Dave Kragthorpe
2009,Washington,12,5,7,0,.417,3.61,4.94,,24,,,,Steve Sarkisian
2010,Washington,13,7,6,0,.538,5.55,8.24,,,,Holiday Bowl-W,,Steve Sarkisian
2011,Washington,13,7,6,0,.538,1.80,2.80,,22,,Alamo Bowl-L,,Steve Sarkisian
2012,Washington,13,7,6,0,.538,4.90,4.75,,23,,Las Vegas Bowl-L,,Steve Sarkisian
2013,Washington,12,8,4,0,.667,15.12,6.58,,15,25,,,Steve Sarkisian
2014,USC,13,9,4,0,.692,14.39,5.93,15,9,20,Holiday Bowl-W,,Steve Sarkisian
2015,USC,5,3,2,0,.600,11.53,7.39,8,6,,,,Steve Sarkisian
2021,Texas,12,5,7,0,.417,5.11,4.86,21,15,,,,Steve Sarkisian
2022,Texas,13,8,5,0,.615,15.92,8.16,,18,25,Alamo Bowl-L,,Steve Sarkisian
2023,Texas,14,12,2,0,.857,20.32,6.61,11,3,3,Sugar Bowl-L,,Steve Sarkisian
2024,Texas,16,13,3,0,.813,19.30,7.37,4,1,4,"College Football Playoff - First Round-W,Peach Bowl-W,Cotton Bowl-L",,Steve Sarkisian
2025,Texas,4,3,1,0,.750,9.76,-4.74,1,1,,,,Steve Sarkisian
1984,Long Beach State,11,4,7,0,.364,-6.26,-2.35,,,,,recordadjusted to 5-6-0by NCAA,Mike Sheppard
1985,Long Beach State,12,6,6,0,.500,-7.76,-8.68,,,,,,Mike Sheppard
