Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos
1,2025,NFL,7,241,DEN,Caleb Lohner,TE
2,2024,NFL,2,60,BUF,Cole Bishop,SAF
3,2024,NFL,3,76,DEN,Jonah Elliss,DE
4,2024,NFL,4,132,DET,Sione Vaki,SAF
5,2024,NFL,6,179,SEA,Sataoa Laumea,OL
6,2024,NFL,7,235,DEN,Devaughn Vele,WR
7,2023,NFL,1,25,BUF,Dalton Kincaid,TE
8,2023,NFL,4,113,ATL,Clark Phillips,CB
9,2023,NFL,4,118,WAS,Braeden Daniels,OL
10,2022,NFL,1,27,JAX,Devin Lloyd,LB
11,2020,NFL,2,50,CHI,Jaylon Johnson,CB
12,2020,NFL,3,85,IND,Julian Blackmon,S
13,2020,NFL,3,86,BUF,Zack Moss,RB
14,2020,NFL,3,104,LAR,Terrell Burgess,S
15,2020,NFL,4,114,ARI,Leki Fotu,DT
16,2020,NFL,5,179,DAL,Bradlee Anae,DE
17,2020,NFL,6,197,DET,John Penisini,DT
18,2019,NFL,2,47,SEA,Marquise Blair,S
19,2019,NFL,3,88,SEA,Cody Barton,LB
20,2019,NFL,4,110,SFO,Mitch Wishnowsky,P
21,2019,NFL,5,145,TAM,Matt Gay,K
22,2019,NFL,7,240,IND,Jackson Barton,T
23,2018,NFL,6,181,CHI,Kylie Fitts,DE
24,2017,NFL,1,20,DEN,Garett Bolles,T
25,2017,NFL,2,42,NOR,Marcus Williams,S
26,2017,NFL,4,121,SFO,Joe Williams,RB
27,2017,NFL,5,164,MIA,Isaac Asiata,G
28,2017,NFL,5,173,PIT,Brian Allen,DB
29,2017,NFL,5,176,CIN,JJ Dielman,C
30,2017,NFL,6,190,LAC,Sam Tevi,T
31,2017,NFL,6,202,SFO,Pita Taumoepenu,OLB
32,2016,NFL,4,136,DEN,Devontae Booker,RB
33,2015,NFL,2,47,PHI,Eric Rowe,CB
34,2015,NFL,2,51,CLE,Nate Orchard,DE
35,2015,NFL,3,66,TEN,Jeremiah Poutasi,G
36,2015,NFL,6,184,TAM,Kaelin Clay,WR
37,2014,NFL,4,116,OAK,Keith McGill,DB
38,2014,NFL,7,233,NYJ,Trevor Reilly,LB
39,2013,NFL,1,14,CAR,Star Lotulelei,DT
40,2013,NFL,7,212,PHI,Joe Kruger,DE
41,2012,NFL,2*,1,CLE,Josh Gordon,WR
42,2012,NFL,3,95,OAK,Tony Bergstrom,T
43,2010,NFL,2,40,MIA,Koa Misi,LB
44,2010,NFL,2,45,DEN,Zane Beadles,G
45,2010,NFL,5,148,TEN,Robert Johnson,DB
46,2010,NFL,5,156,BAL,David Reed,WR
47,2010,NFL,5,166,PIT,Stevenson Sylvester,LB
48,2010,NFL,7,223,CAR,R.J. Stanford,DB
49,2009,NFL,2,57,BAL,Paul Kruger,DE
50,2009,NFL,2,61,MIA,Sean Smith,DB
51,2009,NFL,6,188,HOU,Brice McCain,DB
52,2009,NFL,7,252,CIN,Freddie Brown,WR
53,2007,NFL,2,37,SDG,Eric Weddle,DB
54,2007,NFL,4,108,MIA,Paul Soliai,DT
55,2006,NFL,7,245,TEN,Spencer Toone,LB
56,2006,NFL,7,246,TEN,Quinton Ganther,RB
57,2005,NFL,1,1,SFO,Alex Smith,QB
58,2005,NFL,3,88,NYJ,Sione Pouha,DT
59,2005,NFL,6,204,PIT,Chris Kemoeatu,G
60,2005,NFL,7,225,TAM,Paris Warren,WR
61,2005,NFL,7,233,CIN,Jonathan Fanene,DE
62,2003,NFL,1,8,CAR,Jordan Gross,T
63,2003,NFL,6,187,BUF,Lauvale Sape,DT
64,2003,NFL,7,258,BAL,Antwoine Sanders,DB
65,2002,NFL,3,87,WAS,Cliff Russell,WR
66,2002,NFL,4,132,MIN,Edward Ta'amu,G
67,2001,NFL,2,60,TEN,Andre Dyson,DB
68,2001,NFL,3,74,CAR,Steve Smith Sr.,WR
69,2000,NFL,6,178,PHI,John Frank,DE
70,2000,NFL,6,189,DEN,Mike Anderson,RB
71,2000,NFL,7,218,NYJ,Richard Seals,DT
72,1999,NFL,7,222,TEN,Phil Glover,LB
73,1998,NFL,1,16,TEN,Kevin Dyson,WR
74,1998,NFL,6,178,PIT,Chris Fuamatu-Ma'afala,RB
75,1996,NFL,7,246,NOR,Henry Lusk,TE
76,1995,NFL,1,20,DET,Luther Elliss,DT
77,1995,NFL,5,165,ARI,Lance Scott,C
78,1995,NFL,7,219,JAX,Curtis Marsh,WR
79,1995,NFL,7,239,STL,Bronzell Miller,DE
80,1994,NFL,4,105,WAS,Kurt Haws,TE
81,1994,NFL,7,201,ATL,Jamal Anderson,RB
82,1992,NFL,11,301,HOU,Anthony Davis,LB
83,1990,NFL,4,93,MIA,Scott Mitchell,QB
84,1986,NFL,5,122,PIT,Erroll Tucker,DB
85,1986,NFL,8,200,NOR,Filipo Mokofisi,LB
86,1984,NFL,5,127,RAI,Andy Parker,TE
