Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos
1,2024,NFL,2,63,KAN,Kingsley Suamataia,OL
2,2023,NFL,4,106,IND,Blake Freeland,OL
3,2023,NFL,5,164,MIN,Jaren Hall,QB
4,2023,NFL,5,177,LAR,Puka Nacua,WR
5,2022,NFL,5,151,ATL,Tyler Allgeier,RB
6,2021,NFL,1,2,NYJ,Zach Wilson,QB
7,2021,NFL,3,70,CAR,Brady Christensen,OL
8,2021,NFL,7,250,CHI,Khyiris Tonga,DL
9,2021,NFL,7,251,TAM,Chris Wilcox,DB
10,2021,NFL,7,258,WAS,Dax Milne,WR
11,2019,NFL,3,80,CLE,Sione Takitaki,LB
12,2018,NFL,3,70,SFO,Fred Warner,OLB
13,2017,NFL,4,134,GNB,Jamaal Williams,RB
14,2016,NFL,3,70,BAL,Bronson Kaufusi,DE
15,2014,NFL,2,40,DET,Kyle Van Noy,LB
16,2013,NFL,1,5,DET,Ezekiel Ansah,DE
17,2010,NFL,7*,1,CHI,Harvey Unga,RB
18,2010,NFL,4,114,BAL,Dennis Pitta,TE
19,2009,NFL,4,127,IND,Austin Collie,WR
20,2009,NFL,7,215,CIN,Fui Vakapuna,RB
21,2008,NFL,4,123,NYG,Bryan Kehl,LB
22,2007,NFL,2,40,MIA,John Beck,QB
23,2006,NFL,7,218,ARI,Todd Watkins,WR
24,2005,NFL,4,125,GNB,Brady Poppinga,LB
25,2005,NFL,5,172,PHI,Scott Young,G
26,2005,NFL,7,228,PIT,Shaun Nua,DE
27,2004,NFL,7,240,NOR,Colby Bockwoldt,LB
28,2003,NFL,6,204,OAK,Dustin Rykert,T
29,2003,NFL,7,234,NWE,Spencer Nead,FB
30,2002,NFL,2,55,OAK,Doug Jolley,TE
31,2002,NFL,2,61,BUF,Ryan Denney,DE
32,2002,NFL,5,163,SFO,Brandon Doman,QB
33,2002,NFL,7,214,DET,Luke Staley,RB
34,2002,NFL,7,242,PIT,Brett Keisel,DE
35,2001,NFL,7,216,NWE,Owen Pochman,K
36,2001,NFL,7,246,ARI,Tevita Ofahengaue,TE
37,2000,NFL,1,28,IND,Rob Morris,LB
38,2000,NFL,3,93,TEN,Byron Frisch,DE
39,2000,NFL,5,138,IND,Matt Johnson,G
40,1999,NFL,1,14,KAN,John Tait,T
41,1999,NFL,6,188,OAK,Daren Yancey,DT
42,1999,NFL,7,244,MIA,Joe Wong,G
43,1998,NFL,5,149,NYJ,Eric Bateman,T
44,1998,NFL,6,183,NYJ,Dustin Johnson,FB
45,1998,NFL,7,211,NWE,Jason Andersen,G
46,1997,NFL,6,174,SEA,Itula Mili,TE
47,1996,NFL,3,95,DAL,Mike Ulufale,DT
48,1995,NFL,3,87,CHI,Evan Pilgrim,G
49,1995,NFL,4,127,SFO,Tim Hanshaw,G
50,1995,NFL,6,181,ATL,Travis Hall,DT
51,1995,NFL,6,190,OAK,Eli Herring,T
52,1995,NFL,7,213,CIN,John Walsh,QB
53,1993,NFL,4,92,IND,Derwin Gray,DB
