Player,Pos,Summary,Year
Bill August,QB,"69 Cmp, 144 Att, 891 Yds, 5 TD",1972
Dave Terry,QB,"62 Cmp, 122 Att, 742 Yds, 2 TD",1972
Pete Van Valkenberg,RB,"232 Att, 1386 Yds, 6.0 Avg",1972
Steve Stratton,RB,"78 Att, 328 Yds, 4.2 Avg",1972
Wayne Bower,RB,"43 Att, 271 Yds, 6.3 Avg",1972
Pete Van Valkenburg,RB,"232 Att, 1386 Yds, 6.0 Avg",1972
Dan Taylor,RB,"46 Att, 161 Yds, 3.5 Avg",1972
Gil Gillenwater,RB,"3 Att, 56 Yds, 18.7 Avg",1972
Bryce Johnson,RB,,1972
Logan Hunter,WR,"49 Rec, 555 Yds, 11.3 Avg",1972
John Betham,WR,"19 Rec, 345 Yds, 18.2 Avg",1972
Jay Miller,WR,"6 Rec, 30 Yds, 5.0 Avg",1972
Lynn Zwahlen,WR,"5 Rec, 95 Yds, 19.0 Avg",1972
Dave Affleck,WR,"3 Rec, 15 Yds, 5.0 Avg",1972
Dennis Doman,TE,"7 Rec, 59 Yds, 8.4 Avg",1972
Mike Pistorius,TE,"16 Rec, 314 Yds, 19.6 Avg",1972
Joe Bailey,OL,,1972
Craig Denny,OL,,1972
Paul Howard,OL,,1972
John Monahan,OL,,1972
Steve Price,OL,,1972
Dave Brooks,OL,,1972
Paul Linford,DL,,1972
Orrin Olsen,DL,,1972
Ed Rozeski,DL,,1972
Grant Wells,DL,,1972
Wayne Baker,DL,,1972
Bob Larsen,DL,,1972
Larry Carr,LB,,1972
Phil Jensen,LB,,1972
Ron Tree,LB,,1972
Kahlili Hunt,LB,,1972
Mike Preston,LB,,1972
Dave Atkinson,DB,,1972
Craig Crompton,DB,,1972
George Gourley,DB,,1972
Dan Hansen,DB,,1972
Bennis Smith,DB,,1972
Gary Sheide,QB,"177 Cmp, 294 Att, 2350 Yds, 22 TD",1973
Randy Litchfield,QB,"54 Cmp, 107 Att, 554 Yds, 2 TD",1973
Dave Terry,QB,"4 Cmp, 7 Att, 26 Yds, 0 TD",1973
Mark Terranova,RB,"94 Att, 414 Yds, 4.4 Avg",1973
Steve Stratton,RB,"60 Att, 330 Yds, 5.5 Avg",1973
Jeff Blanc,RB,"61 Att, 301 Yds, 4.9 Avg",1973
Wayne Bower,RB,"28 Att, 90 Yds, 3.2 Avg",1973
Charlie Ah You,RB,"43 Att, 186 Yds, 4.3 Avg",1973
Gil Gillenwater,RB,"43 Att, 156 Yds, 3.6 Avg",1973
Dave Coon,RB,"41 Att, 90 Yds, 2.2 Avg",1973
Dan Taylor,RB,"22 Att, 71 Yds, 3.2 Avg",1973
Dan Van Valkenburg,RB,"8 Att, 30 Yds, 3.8 Avg",1973
Tom Easley,RB,"1 Att, 3 Yds, 3.0 Avg",1973
John Betham,WR,"9 Rec, 229 Yds, 25.4 Avg",1973
Jay Miller,WR,"100 Rec, 1181 Yds, 11.8 Avg",1973
Lynn Zwahlen,WR,"25 Rec, 324 Yds, 13.0 Avg",1973
Dave Affleck,WR,"1 Rec, 34 Yds, 34.0 Avg",1973
Sam Lobue,WR,"1 Rec, 68 Yds, 68.0 Avg",1973
Mike Pistorius,TE,"37 Rec, 457 Yds, 12.4 Avg",1973
Tom Toolson,TE,"2 Rec, 38 Yds, 19.0 Avg",1973
Joe Bailey,OL,,1973
Dave Brooks,OL,,1973
Craig Denny,OL,,1973
Steve Price,OL,,1973
Lance Reynolds,OL,,1973
Lloyd Fairbanks,OL,,1973
Brad Oates,OL,,1973
Wayne Baker,DL,,1973
Bob Larsen,DL,,1973
Paul Linford,DL,,1973
Wally Molifua,DL,,1973
Keith Rivera,DL,,1973
Stan Varner,DL,,1973
Grant Wells,DL,,1973
Larry Carr,LB,,1973
Phil Jensen,LB,,1973
Mike Preston,LB,,1973
Doug Adams,LB,,1973
Dave Atkinson,DB,,1973
Mike Russell,DB,,1973
Gary Shaw,DB,,1973
Dana Wilgar,DB,,1973
Tom Echohawk,DB,,1973
Gary Shiede,QB,,1974
Mark Giles,QB,"10 Cmp, 18 Att, 129 Yds, 2 TD",1974
Jeff Blanc,RB,"199 Att, 784 Yds, 3.9 Avg",1974
Tim Mahoney,RB,"46 Att, 169 Yds, 3.7 Avg",1974
Charlie Ah You,RB,"91 Att, 271 Yds, 3.0 Avg",1974
Todd Christensen,RB,"41 Att, 150 Yds, 3.7 Avg",1974
Dave Lowry,RB,"21 Att, 45 Yds, 2.1 Avg",1974
Larry Kemp,RB,"2 Att, 11 Yds, 5.5 Avg",1974
Jim Goodenberger,RB,,1974
John Betham,WR,"38 Rec, 569 Yds, 15.0 Avg",1974
Jeff Nilsson,WR,"14 Rec, 243 Yds, 17.4 Avg",1974
Sam Lobue,WR,"14 Rec, 220 Yds, 15.7 Avg",1974
Tom Digman,WR,,1974
Tom Dignan,WR,"2 Rec, 18 Yds, 9.0 Avg",1974
Craig VanLeeuwen,WR,"6 Rec, 120 Yds, 20.0 Avg",1974
Jay Miller,WR,"2 Rec, 33 Yds, 16.5 Avg",1974
Tom Toolson,TE,"11 Rec, 140 Yds, 12.7 Avg",1974
Kirk Tanner,TE,"16 Rec, 103 Yds, 6.4 Avg",1974
Brian Billick,TE,"7 Rec, 82 Yds, 11.7 Avg",1974
Lloyd Fairbanks,OL,,1974
Dave Meteer,OL,,1974
Brad Oates,OL,,1974
Orrin Olsen,OL,,1974
Dean Paynter,OL,,1974
Dave Hubbard,OL,,1974
Wayne Baker,DL,,1974
Paul Linford,DL,,1974
Keith Rivera,DL,,1974
Stan Varner,DL,,1974
Doug Adams,LB,,1974
Larry Carr,LB,,1974
Phil Jensen,LB,,1974
Clark Carlson,LB,,1974
Mark McCluskey,DB,,1974
Mike Russell,DB,,1974
Gary Shaw,DB,,1974
Dana Wilgar,DB,,1974
Gary Sheide,,,1974
Gary Scheide,,,1974
Gifford Nielson,QB,,1975
Mark Giles,QB,"39 Cmp, 75 Att, 396 Yds, 3 TD",1975
Gifford Nielsen,QB,"110 Cmp, 180 Att, 1471 Yds, 10 TD",1975
Jeff Duva,QB,"6 Cmp, 25 Att, 84 Yds, 0 TD",1975
Danny Hartwig,QB,"1 Cmp, 1 Att, 3 Yds, 0 TD",1975
Jeff Blanc,RB,"216 Att, 984 Yds, 4.6 Avg",1975
Todd Christensen,RB,"59 Att, 273 Yds, 4.6 Avg",1975
Charlie Ah You,RB,"79 Att, 309 Yds, 3.9 Avg",1975
Roger Gourley,RB,"34 Att, 115 Yds, 3.4 Avg",1975
Dave Lowry,RB,"41 Att, 199 Yds, 4.9 Avg",1975
Pisa Finai,RB,"8 Att, 32 Yds, 4.0 Avg",1975
Clay Blackwell,RB,"5 Att, 13 Yds, 2.6 Avg",1975
John Van Der Wouden,WR,"29 Rec, 621 Yds, 21.4 Avg",1975
Jeff Nilsson,WR,"18 Rec, 236 Yds, 13.1 Avg",1975
Tom Dignan,WR,"13 Rec, 135 Yds, 10.4 Avg",1975
George Harris,WR,"1 Rec, 11 Yds, 11.0 Avg",1975
Bob Biddy,WR,"2 Rec, 20 Yds, 10.0 Avg",1975
Brian Billick,TE,"19 Rec, 207 Yds, 10.9 Avg",1975
Bill Allen,TE,"3 Rec, 30 Yds, 10.0 Avg",1975
Mike House,TE,"3 Rec, 38 Yds, 12.7 Avg",1975
