Year,Award,Name,School
1974,Sammy Baugh Trophy,Gary Scheide,Brigham Young
1979,Sammy Baugh Trophy,Marc Wilson,Brigham Young
1981,Davey O'Brien Award,Jim McMahon,Brigham Young
1981,Sammy Baugh Trophy,Jim McMahon,Brigham Young
1983,Davey O'Brien Award,Steve Young,Brigham Young
1983,Sammy Baugh Trophy,Steve Young,Brigham Young
1984,Sammy Baugh Trophy,Robbie Bosco,Brigham Young
1984,AFCA Coach of the Year Award,LaVell Edwards,Brigham Young
1984,FWAA Coach of the Year Award,LaVell Edwards,Brigham Young
1986,John Outland Trophy,Jason Buck,Brigham Young
1989,John Outland Trophy,Mohammed Elewonibi,Brigham Young
1990,Davey O'Brien Award,Ty Detmer,Brigham Young
1990,Heisman Memorial Trophy,Ty Detmer,Brigham Young
1990,Maxwell Award,Ty Detmer,Brigham Young
1991,Davey O'Brien Award,Ty Detmer,Brigham Young
1991,Sammy Baugh Trophy,Ty Detmer,Brigham Young
1996,Sammy Baugh Trophy,Steve Sarkisian,Brigham Young
