Player,Class,Pos,Summary,Year,School,Coach
Rich Gonzales*,,QB,"94 Cmp, 181 Att, 986 Yds, 3 TD",1985,Oregon State,Dave Kragthorpe
Erik Wilhelm,,QB,"86 Cmp, 145 Att, 890 Yds, 9 TD",1985,Oregon State,Dave Kragthorpe
Don Lema,,QB,"29 Cmp, 79 Att, 405 Yds, 1 TD",1985,Oregon State,Dave Kragthorpe
Darvin Malone*,,RB,"134 Att, 554 Yds, 4.1 Avg",1985,Oregon State,Dave Kragthorpe
Carl Lane*,,RB,"39 Att, 163 Yds, 4.2 Avg",1985,Oregon State,Dave Kragthorpe
Jerry Jordan,,RB,"27 Att, 63 Yds, 2.3 Avg",1985,Oregon State,Dave Kragthorpe
Erick Montgomery,,RB,"24 Att, 94 Yds, 3.9 Avg",1985,Oregon State,Dave Kragthorpe
Eric Hochevar,,RB,"9 Att, 33 Yds, 3.7 Avg",1985,Oregon State,Dave Kragthorpe
Brian Swanson,,RB,"3 Att, 5 Yds, 1.7 Avg",1985,Oregon State,Dave Kragthorpe
Reggie Bynum*,,WR,"61 Rec, 703 Yds, 11.5 Avg",1985,Oregon State,Dave Kragthorpe
Robert Adams*,,WR,"15 Rec, 171 Yds, 11.4 Avg",1985,Oregon State,Dave Kragthorpe
Dave Montagne,,WR,"29 Rec, 358 Yds, 12.3 Avg",1985,Oregon State,Dave Kragthorpe
Eric Ory,,WR,"4 Rec, 36 Yds, 9.0 Avg",1985,Oregon State,Dave Kragthorpe
Phil Ross,,TE,"27 Rec, 405 Yds, 15.0 Avg",1985,Oregon State,Dave Kragthorpe
Ron Heller,,TE,"14 Rec, 176 Yds, 12.6 Avg",1985,Oregon State,Dave Kragthorpe
Roman Fortin,,TE,,1985,Oregon State,Dave Kragthorpe
Darrick Brilz*,,OL,,1985,Oregon State,Dave Kragthorpe
Tom Emmons*,,OL,,1985,Oregon State,Dave Kragthorpe
Dave Giacomelli*,,OL,,1985,Oregon State,Dave Kragthorpe
Jack Lester*,,OL,,1985,Oregon State,Dave Kragthorpe
Doug Wright*,,OL,,1985,Oregon State,Dave Kragthorpe
Curt Olsen,,OL,,1985,Oregon State,Dave Kragthorpe
Garth Rouse,,OL,,1985,Oregon State,Dave Kragthorpe
Jim Nielsen,,K,,1985,Oregon State,Dave Kragthorpe
Phil Afieri*,,DL,,1985,Oregon State,Dave Kragthorpe
Bob Cline*,,DL,,1985,Oregon State,Dave Kragthorpe
Rich Haggerty*,,DL,,1985,Oregon State,Dave Kragthorpe
Gino Mingo*,,DL,,1985,Oregon State,Dave Kragthorpe
Paul Saunders,,DL,,1985,Oregon State,Dave Kragthorpe
Andre Todd,,DL,,1985,Oregon State,Dave Kragthorpe
Harold Johnson*,,LB,,1985,Oregon State,Dave Kragthorpe
Osia Lewis*,,LB,,1985,Oregon State,Dave Kragthorpe
Jeff Schneider*,,LB,,1985,Oregon State,Dave Kragthorpe
Jim Cureton,,LB,,1985,Oregon State,Dave Kragthorpe
Michael Lopez*,,DB,,1985,Oregon State,Dave Kragthorpe
Jaime Norman*,,DB,,1985,Oregon State,Dave Kragthorpe
Lavance Northington*,,DB,,1985,Oregon State,Dave Kragthorpe
Don Odegard*,,DB,,1985,Oregon State,Dave Kragthorpe
Mark Dolby,,DB,,1985,Oregon State,Dave Kragthorpe
Scott Monson,,DB,,1985,Oregon State,Dave Kragthorpe
Reggie Hawkins,,DB,,1985,Oregon State,Dave Kragthorpe
Glenn Pena,,P,,1985,Oregon State,Dave Kragthorpe
Chip Stempeck,,P,,1985,Oregon State,Dave Kragthorpe
Robb Thomas,,KR,,1985,Oregon State,Dave Kragthorpe
Erik Wilhelm*,,QB,"283 Cmp, 470 Att, 2871 Yds, 8 TD",1986,Oregon State,Dave Kragthorpe
Dave McLaughlin,,QB,"28 Cmp, 55 Att, 276 Yds, 1 TD",1986,Oregon State,Dave Kragthorpe
Carl Lane*,,RB,"51 Att, 201 Yds, 3.9 Avg",1986,Oregon State,Dave Kragthorpe
Dowell Williams*,,RB,"45 Rec, 323 Yds, 7.2 Avg",1986,Oregon State,Dave Kragthorpe
Pat Chaffey,,RB,"47 Att, 232 Yds, 4.9 Avg",1986,Oregon State,Dave Kragthorpe
Erick Montgomery,,RB,"27 Att, 131 Yds, 4.9 Avg",1986,Oregon State,Dave Kragthorpe
Trey Nicholson,,RB,"9 Att, 86 Yds, 9.6 Avg",1986,Oregon State,Dave Kragthorpe
Joe LaCoste,,RB,"4 Att, 12 Yds, 3.0 Avg",1986,Oregon State,Dave Kragthorpe
Jerry Jordan,,RB,,1986,Oregon State,Dave Kragthorpe
Brian Swanson,,RB,"3 Rec, 36 Yds, 12.0 Avg",1986,Oregon State,Dave Kragthorpe
Dave Montagne*,,WR,"78 Rec, 862 Yds, 11.1 Avg",1986,Oregon State,Dave Kragthorpe
Eric Ory*,,WR,"16 Rec, 194 Yds, 12.1 Avg",1986,Oregon State,Dave Kragthorpe
Robb Thomas,,WR,"22 Rec, 389 Yds, 17.7 Avg",1986,Oregon State,Dave Kragthorpe
Roland Hawkins,,WR,"24 Rec, 324 Yds, 13.5 Avg",1986,Oregon State,Dave Kragthorpe
George Gaines,,WR,"1 Rec, 27 Yds, 27.0 Avg",1986,Oregon State,Dave Kragthorpe
Bennie Mitchell,,WR,"1 Rec, 13 Yds, 13.0 Avg",1986,Oregon State,Dave Kragthorpe
Damon Medlock*,,TE,"37 Rec, 313 Yds, 8.5 Avg",1986,Oregon State,Dave Kragthorpe
Phil Ross,,TE,"4 Rec, 35 Yds, 8.8 Avg",1986,Oregon State,Dave Kragthorpe
Ryan Hollenbeck,,TE,"1 Rec, 8 Yds, 8.0 Avg",1986,Oregon State,Dave Kragthorpe
Darrick Brilz*,,OL,,1986,Oregon State,Dave Kragthorpe
Dave Giacomelli*,,OL,,1986,Oregon State,Dave Kragthorpe
Paul Hopkins*,,OL,,1986,Oregon State,Dave Kragthorpe
