Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2024,NFL,1,14,NOR,Taliese Fuaga,OL,Oregon State,Dave Kragthorpe
2,2024,NFL,5,142,IND,Anthony Gould,WR,Oregon State,Dave Kragthorpe
3,2024,NFL,5,169,GNB,Kitan Oladapo,DB,Oregon State,Dave Kragthorpe
4,2023,NFL,2,42,GNB,Luke Musgrave,TE,Oregon State,Dave Kragthorpe
5,2023,NFL,7,252,BUF,Alex Austin,DB,Oregon State,Dave Kragthorpe
6,2022,NFL,5,170,HOU,Teagan Quitoriano,TE,Oregon State,Dave Kragthorpe
7,2021,NFL,3,99,DAL,Nahshon Wright,DB,Oregon State,Dave Kragthorpe
8,2021,NFL,7,257,DET,Jermar Jefferson,RB,Oregon State,Dave Kragthorpe
9,2020,NFL,6,189,JAX,Jake Luton,QB,Oregon State,Dave Kragthorpe
10,2020,NFL,6,203,MIN,Blake Brandel,T,Oregon State,Dave Kragthorpe
11,2020,NFL,6,207,BUF,Isaiah Hodgins,WR,Oregon State,Dave Kragthorpe
12,2017,NFL,4,136,ATL,Sean Harlow,G,Oregon State,Dave Kragthorpe
13,2017,NFL,5,169,HOU,Treston Decoud,S,Oregon State,Dave Kragthorpe
14,2016,NFL,3,79,PHI,Isaac Seumalo,G,Oregon State,Dave Kragthorpe
15,2015,NFL,3,89,STL,Sean Mannion,QB,Oregon State,Dave Kragthorpe
16,2015,NFL,3,98,KAN,Steven Nelson,CB,Oregon State,Dave Kragthorpe
17,2015,NFL,5,172,KAN,D.J. Alexander,OLB,Oregon State,Dave Kragthorpe
18,2015,NFL,6,209,SEA,Obum Gwacham,DE,Oregon State,Dave Kragthorpe
19,2015,NFL,7,248,SEA,Ryan Murphy,DB,Oregon State,Dave Kragthorpe
20,2014,NFL,1,20,NOR,Brandin Cooks,WR,Oregon State,Dave Kragthorpe
21,2014,NFL,3,72,MIN,Scott Crichton,DE,Oregon State,Dave Kragthorpe
22,2013,NFL,3,79,PIT,Markus Wheaton,WR,Oregon State,Dave Kragthorpe
23,2013,NFL,7,218,PHI,Jordan Poyer,DB,Oregon State,Dave Kragthorpe
24,2012,NFL,3,79,CHI,Brandon Hardin,DB,Oregon State,Dave Kragthorpe
25,2011,NFL,2,53,CHI,Stephen Paea,DT,Oregon State,Dave Kragthorpe
26,2011,NFL,5,140,KAN,Gabe Miller,LB,Oregon State,Dave Kragthorpe
27,2011,NFL,5,145,ATL,Jacquizz Rodgers,RB,Oregon State,Dave Kragthorpe
28,2010,NFL,7,239,NOR,Sean Canfield,QB,Oregon State,Dave Kragthorpe
29,2009,NFL,2,51,BUF,Andy Levitre,G,Oregon State,Dave Kragthorpe
30,2009,NFL,3,96,PIT,Keenan Lewis,DB,Oregon State,Dave Kragthorpe
31,2009,NFL,4,110,DAL,Victor Butler,LB,Oregon State,Dave Kragthorpe
32,2009,NFL,4,126,OAK,Slade Norris,DE,Oregon State,Dave Kragthorpe
33,2009,NFL,5,148,SDG,Brandon Hughes,DB,Oregon State,Dave Kragthorpe
34,2009,NFL,6,190,CHI,Al Afalava,DB,Oregon State,Dave Kragthorpe
35,2009,NFL,7,233,TAM,Sammie Stroughter,WR,Oregon State,Dave Kragthorpe
36,2008,NFL,5,157,STL,Roy Schuening,G,Oregon State,Dave Kragthorpe
37,2008,NFL,7,243,CHI,Joey LaRocque,LB,Oregon State,Dave Kragthorpe
38,2007,NFL,2,64,TAM,Sabby Piscitelli,LB,Oregon State,Dave Kragthorpe
39,2007,NFL,6,189,NYG,Adam Koets,T,Oregon State,Dave Kragthorpe
40,2006,NFL,6,171,NOR,Mike Hass,WR,Oregon State,Dave Kragthorpe
41,2006,NFL,6,178,BUF,Keith Ellison,LB,Oregon State,Dave Kragthorpe
42,2005,NFL,6,184,DET,Bill Swancutt,DE,Oregon State,Dave Kragthorpe
43,2005,NFL,6,213,BAL,Derek Anderson,QB,Oregon State,Dave Kragthorpe
44,2005,NFL,7,254,SEA,Doug Nienhuis,T,Oregon State,Dave Kragthorpe
45,2004,NFL,1,24,STL,Steven Jackson,RB,Oregon State,Dave Kragthorpe
46,2004,NFL,2,51,BAL,Dwan Edwards,DT,Oregon State,Dave Kragthorpe
47,2004,NFL,4,109,BUF,Tim Euhus,TE,Oregon State,Dave Kragthorpe
48,2004,NFL,4,127,SFO,Richard Seigler,LB,Oregon State,Dave Kragthorpe
49,2003,NFL,1,29,GNB,Nick Barnett,LB,Oregon State,Dave Kragthorpe
50,2003,NFL,4,98,CIN,Dennis Weathersby,DB,Oregon State,Dave Kragthorpe
51,2003,NFL,5,147,GNB,James Lee,DT,Oregon State,Dave Kragthorpe
52,2002,NFL,3,82,NOR,James Allen,LB,Oregon State,Dave Kragthorpe
53,2001,NFL,2,36,CIN,Chad Johnson,WR,Oregon State,Dave Kragthorpe
54,2001,NFL,3,89,OAK,DeLawrence Grant,DE,Oregon State,Dave Kragthorpe
55,2001,NFL,6,185,NOR,Mitch White,T,Oregon State,Dave Kragthorpe
56,2001,NFL,7,204,CIN,T.J. Houshmandzadeh,WR,Oregon State,Dave Kragthorpe
57,1999,NFL,5,142,MIA,Bryan Jones,LB,Oregon State,Dave Kragthorpe
58,1999,NFL,6,194,BUF,Armon Hatcher,DB,Oregon State,Dave Kragthorpe
59,1999,NFL,7,217,WAS,Tim Alexander,WR,Oregon State,Dave Kragthorpe
60,1996,NFL,2,58,KAN,Reggie Tongue,DB,Oregon State,Dave Kragthorpe
61,1994,NFL,3,99,ATL,Alai Kalaniuvalu,G,Oregon State,Dave Kragthorpe
62,1991,NFL,2,35,GNB,Esera Tuaolo,NT,Oregon State,Dave Kragthorpe
63,1990,NFL,5,117,CHI,Pat Chaffey,RB,Oregon State,Dave Kragthorpe
64,1990,NFL,9,231,MIA,Phil Ross,TE,Oregon State,Dave Kragthorpe
65,1989,NFL,3,83,CIN,Erik Wilhelm,QB,Oregon State,Dave Kragthorpe
66,1989,NFL,6,143,KAN,Robb Thomas,WR,Oregon State,Dave Kragthorpe
67,1989,NFL,11,300,NOR,Calvin Nicholson,DB,Oregon State,Dave Kragthorpe
68,1988,NFL,7,178,DAL,Owen Hooven,T,Oregon State,Dave Kragthorpe
69,1987,NFL,10,260,PHI,Paul Carberry,DT,Oregon State,Dave Kragthorpe
70,1986,NFL,9,222,BUF,Reggie Bynum,WR,Oregon State,Dave Kragthorpe
71,1982,NFL,7,187,DET,Victor Simmons,WR,Oregon State,Dave Kragthorpe
72,1980,NFL,8,199,GNB,Tim Smith,DB,Oregon State,Dave Kragthorpe
73,1979,NFL,4,108,RAM,Jerry Wilkinson,DE,Oregon State,Dave Kragthorpe
74,1978,NFL,7,186,PHI,Greg Marshall,DT,Oregon State,Dave Kragthorpe
75,1977,NFL,3,58,SEA,Dennis Boyd,DT,Oregon State,Dave Kragthorpe
76,1976,NFL,4,94,SDG,Bob Horn,LB,Oregon State,Dave Kragthorpe
77,1976,NFL,14,384,CHI,Ron Cuie,RB,Oregon State,Dave Kragthorpe
78,1975,NFL,3,71,SFO,Jeff Hart,T,Oregon State,Dave Kragthorpe
79,1975,NFL,11,278,DAL,Greg Krpalek,C,Oregon State,Dave Kragthorpe
