Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
56,2011,NFL,6,184,ARI,David Carter,DT,UCLA,DeWayne Walker
57,2010,NFL,2,35,TAM,Brian Price,DT,UCLA,DeWayne Walker
58,2010,NFL,4,104,TEN,Alterraun Verner,DB,UCLA,DeWayne Walker
59,2010,NFL,7,219,WAS,Terrence Austin,WR,UCLA,DeWayne Walker
60,2008,NFL,3,88,PIT,Bruce Davis,LB,UCLA,DeWayne Walker
62,2008,NFL,7,249,WAS,Chris Horton,DB,UCLA,DeWayne Walker
191,1979,NFL,11,294,OAK,Bruce Davis,T,UCLA,DeWayne Walker
3,2013,NFL,7,208,JAX,Jeremy Harris,DB,New Mexico State,DeWayne Walker
4,2012,NFL,6,196,DET,Jonte Green,DB,New Mexico State,DeWayne Walker
5,2011,NFL,4,131,GNB,Davon House,DB,New Mexico State,DeWayne Walker
