Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2025,NFL,2,33,CLE,Carson Schwesinger,LB,UCLA,DeWayne Walker
2,2025,NFL,2,52,TEN,Oluwafemi Oladejo,DE,UCLA,DeWayne Walker
3,2025,NFL,6,205,WAS,Kain Medrano,LB,UCLA,DeWayne Walker
4,2025,NFL,7,217,DAL,Jay Toia,DT,UCLA,DeWayne Walker
5,2025,NFL,7,248,NOR,Moliki Matavao,TE,UCLA,DeWayne Walker
6,2024,NFL,1,15,IND,Laiatu Latu,DL,UCLA,DeWayne Walker
7,2024,NFL,6,183,NYG,Darius Muasau,LB,UCLA,DeWayne Walker
8,2023,NFL,2,52,SEA,Zach Charbonnet,RB,UCLA,DeWayne Walker
9,2023,NFL,4,122,ARI,Jon Gaines,OL,UCLA,DeWayne Walker
10,2023,NFL,5,140,CLE,Dorian Thompson-Robinson,QB,UCLA,DeWayne Walker
11,2023,NFL,5,144,NWE,Atonio Mafi,OL,UCLA,DeWayne Walker
12,2022,NFL,3,80,DEN,Greg Dulcich,TE,UCLA,DeWayne Walker
13,2022,NFL,3,92,GNB,Sean Rhyan,OL,UCLA,DeWayne Walker
14,2022,NFL,5,160,LAC,Otito Ogbonnia,DT,UCLA,DeWayne Walker
15,2022,NFL,5,163,TEN,Kyle Philips,WR,UCLA,DeWayne Walker
16,2022,NFL,6,211,LAR,Quentin Lake,DB,UCLA,DeWayne Walker
17,2022,NFL,7,250,LVR,Brittain Brown,RB,UCLA,DeWayne Walker
18,2021,NFL,3,75,DAL,Osa Odighizuwa,DL,UCLA,DeWayne Walker
19,2021,NFL,6,211,CLE,Demetric Felton,RB,UCLA,DeWayne Walker
20,2020,NFL,3,91,NWE,Devin Asiasi,TE,UCLA,DeWayne Walker
21,2020,NFL,4,110,NYG,Darnay Holmes,CB,UCLA,DeWayne Walker
22,2020,NFL,4,112,LAC,Joshua Kelley,RB,UCLA,DeWayne Walker
23,2019,NFL,7,254,ARI,Caleb Wilson,TE,UCLA,DeWayne Walker
24,2018,NFL,1,10,ARI,Josh Rosen,QB,UCLA,DeWayne Walker
25,2018,NFL,1,15,OAK,Kolton Miller,T,UCLA,DeWayne Walker
26,2018,NFL,4,122,BAL,Kenny Young,LB,UCLA,DeWayne Walker
27,2018,NFL,5,155,LAC,Scott Quessenberry,C,UCLA,DeWayne Walker
28,2018,NFL,5,162,BAL,Jordan Lasley,WR,UCLA,DeWayne Walker
29,2017,NFL,1,26,ATL,Takkarist McKinley,DE,UCLA,DeWayne Walker
30,2017,NFL,3,81,WAS,Fabian Moreau,CB,UCLA,DeWayne Walker
31,2017,NFL,3,88,OAK,Eddie Vanderdoes,DT,UCLA,DeWayne Walker
32,2017,NFL,5,155,TEN,Jayon Brown,LB,UCLA,DeWayne Walker
33,2017,NFL,6,211,NWE,Conor McDermott,T,UCLA,DeWayne Walker
34,2016,NFL,1,27,GNB,Kenny Clark,DT,UCLA,DeWayne Walker
35,2016,NFL,2,36,JAX,Myles Jack,OLB,UCLA,DeWayne Walker
36,2016,NFL,5,148,TAM,Caleb Benenoch,T,UCLA,DeWayne Walker
37,2016,NFL,5,149,NYG,Paul Perkins,RB,UCLA,DeWayne Walker
38,2016,NFL,5,154,CLE,Jordan Payton,WR,UCLA,DeWayne Walker
39,2016,NFL,7,222,TEN,Aaron Wallace,OLB,UCLA,DeWayne Walker
40,2016,NFL,7,231,MIA,Thomas Duarte,TE,UCLA,DeWayne Walker
41,2016,NFL,7,238,ATL,Devin Fuller,WR,UCLA,DeWayne Walker
42,2015,NFL,2,45,MIN,Eric Kendricks,ILB,UCLA,DeWayne Walker
43,2015,NFL,3,74,NYG,Owamagbe Odighizuwa,DE,UCLA,DeWayne Walker
44,2015,NFL,5,147,GNB,Brett Hundley,QB,UCLA,DeWayne Walker
45,2014,NFL,1,9,MIN,Anthony Barr,LB,UCLA,DeWayne Walker
46,2014,NFL,2,33,HOU,Xavier Su'a-Filo,G,UCLA,DeWayne Walker
47,2014,NFL,4,108,SEA,Cassius Marsh,DE,UCLA,DeWayne Walker
48,2014,NFL,4,115,NYJ,Shaquelle Evans,WR,UCLA,DeWayne Walker
49,2014,NFL,6,192,PIT,Jordan Zumwalt,LB,UCLA,DeWayne Walker
50,2013,NFL,1,26,GNB,Datone Jones,DE,UCLA,DeWayne Walker
51,2013,NFL,4,125,GNB,Johnathan Franklin,RB,UCLA,DeWayne Walker
52,2013,NFL,5,155,MIN,Jeff Locke,P,UCLA,DeWayne Walker
53,2013,NFL,6,196,MIN,Jeff Baca,G,UCLA,DeWayne Walker
54,2011,NFL,2,39,TEN,Akeem Ayers,LB,UCLA,DeWayne Walker
55,2011,NFL,2,45,DEN,Rahim Moore,DB,UCLA,DeWayne Walker
56,2011,NFL,6,184,ARI,David Carter,DT,UCLA,DeWayne Walker
57,2010,NFL,2,35,TAM,Brian Price,DT,UCLA,DeWayne Walker
58,2010,NFL,4,104,TEN,Alterraun Verner,DB,UCLA,DeWayne Walker
59,2010,NFL,7,219,WAS,Terrence Austin,WR,UCLA,DeWayne Walker
60,2008,NFL,3,88,PIT,Bruce Davis,LB,UCLA,DeWayne Walker
61,2008,NFL,5,153,NWE,Matthew Slater,WR,UCLA,DeWayne Walker
62,2008,NFL,7,249,WAS,Chris Horton,DB,UCLA,DeWayne Walker
