Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
37,1990,NFL,2.0,39,MIA,Keith Sims,G,Iowa State,Jim Criner
38,1990,NFL,10.0,254,TAM,Mike Busch,TE,Iowa State,Jim Criner
39,1989,NFL,10.0,273,NOR,Joe Henderson,RB,Iowa State,Jim Criner
40,1987,NFL,8.0,203,DET,Dennis Gibson,LB,Iowa State,Jim Criner
41,1987,NFL,9.0,236,ATL,Terrence Anthony,DB,Iowa State,Jim Criner
42,1987,NFL,12.0,321,NYG,Bill Berthusen,NT,Iowa State,Jim Criner
43,1986,NFL,9.0,241,NYG,Jim Luebbers,DE,Iowa State,Jim Criner
44,1985,NFL,5.0,132,NYG,Tracy Henderson,WR,Iowa State,Jim Criner
45,1984,NFL,6.0,142,TAM,Chris Washington,LB,Iowa State,Jim Criner
46,1984,NFL,8.0,204,CIN,Bruce Reimers,G,Iowa State,Jim Criner
47,1984,NFL,11.0,288,NYJ,Dan Martin,T,Iowa State,Jim Criner
