Player,Class,Pos,Summary,Year,School,Coach
David Archer*,,QB,"234 Cmp, 403 Att, 2639 Yds, 18 TD",1983,Iowa State,Jim Criner
Alan Hood,,QB,"2 Cmp, 7 Att, 78 Yds, 1 TD",1983,Iowa State,Jim Criner
Tommy Davis*,,RB,"156 Att, 396 Yds, 2.5 Avg",1983,Iowa State,Jim Criner
Jason Jacobs*,,RB,"99 Att, 490 Yds, 4.9 Avg",1983,Iowa State,Jim Criner
Al Watson,,RB,"12 Att, 59 Yds, 4.9 Avg",1983,Iowa State,Jim Criner
Richard Hanson,,RB,"6 Att, -2 Yds, -0.3 Avg",1983,Iowa State,Jim Criner
Kirk Thomas,,RB,,1983,Iowa State,Jim Criner
Tracy Henderson*,,WR,"81 Rec, 1051 Yds, 13.0 Avg",1983,Iowa State,Jim Criner
Robbie Minor*,,WR,"20 Rec, 322 Yds, 16.1 Avg",1983,Iowa State,Jim Criner
Danny Gantt,,WR,"10 Rec, 140 Yds, 14.0 Avg",1983,Iowa State,Jim Criner
Curtis Levingston,,WR,"8 Rec, 148 Yds, 18.5 Avg",1983,Iowa State,Jim Criner
Michael Posey,,WR,"1 Rec, 65 Yds, 65.0 Avg",1983,Iowa State,Jim Criner
Michael Wade,,WR,"1 Rec, 17 Yds, 17.0 Avg",1983,Iowa State,Jim Criner
David Smoldt*,,TE,"12 Rec, 113 Yds, 9.4 Avg",1983,Iowa State,Jim Criner
Jeff Wodka,,TE,"9 Rec, 69 Yds, 7.7 Avg",1983,Iowa State,Jim Criner
Brett Blaney,,TE,"4 Rec, 39 Yds, 9.8 Avg",1983,Iowa State,Jim Criner
Dan Martin*,,OL,,1983,Iowa State,Jim Criner
Chuck Meyers*,,OL,,1983,Iowa State,Jim Criner
Benn Musgrave*,,OL,,1983,Iowa State,Jim Criner
Scott Nelson*,,OL,,1983,Iowa State,Jim Criner
Bruce Reimers*,,OL,,1983,Iowa State,Jim Criner
Marc Bachrodt,,K,,1983,Iowa State,Jim Criner
Doug Fischer*,,DL,,1983,Iowa State,Jim Criner
Rodney Hutchins*,,DL,,1983,Iowa State,Jim Criner
Greg Liter*,,DL,,1983,Iowa State,Jim Criner
Barry Moore*,,DL,,1983,Iowa State,Jim Criner
Steve Little,,DL,,1983,Iowa State,Jim Criner
Jim Luebbers,,DL,,1983,Iowa State,Jim Criner
Roger Youngblut,,DL,,1983,Iowa State,Jim Criner
Dwayne Gilyard*,,LB,,1983,Iowa State,Jim Criner
Chris Washington*,,LB,,1983,Iowa State,Jim Criner
Lester Williams*,,LB,,1983,Iowa State,Jim Criner
Ralph Conner,,LB,,1983,Iowa State,Jim Criner
Tim Iversen,,LB,,1983,Iowa State,Jim Criner
Alvin Baker*,,DB,,1983,Iowa State,Jim Criner
Billy McCue*,,DB,,1983,Iowa State,Jim Criner
George Walker*,,DB,,1983,Iowa State,Jim Criner
Kevin Williams*,,DB,,1983,Iowa State,Jim Criner
Sam Clear,,DB,,1983,Iowa State,Jim Criner
Anthony Davis,,DB,,1983,Iowa State,Jim Criner
Joe Jackson,,DB,,1983,Iowa State,Jim Criner
Kelly Goodburn,,P,,1983,Iowa State,Jim Criner
Doug Myers,,P,,1983,Iowa State,Jim Criner
Kent Anderson,,KR,,1983,Iowa State,Jim Criner
Alan Hood,,QB,"54 Cmp, 103 Att, 559 Yds, 3 TD",1984,Iowa State,Jim Criner
Derek DeGennaro,,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",1984,Iowa State,Jim Criner
Alex Espinoza,,QB,"143 Cmp, 262 Att, 1580 Yds, 10 TD",1984,Iowa State,Jim Criner
Richard Hanson*,,RB,"155 Att, 507 Yds, 3.3 Avg",1984,Iowa State,Jim Criner
Tommy Davis*,,RB,"71 Att, 304 Yds, 4.3 Avg",1984,Iowa State,Jim Criner
Don Poprilo,,RB,"37 Att, 130 Yds, 3.5 Avg",1984,Iowa State,Jim Criner
Al Watson,,RB,"36 Att, 109 Yds, 3.0 Avg",1984,Iowa State,Jim Criner
Derrick Sperling,,RB,"19 Att, 53 Yds, 2.8 Avg",1984,Iowa State,Jim Criner
Michael Posey,,RB,"11 Att, 21 Yds, 1.9 Avg",1984,Iowa State,Jim Criner
Chris Hentges,,RB,"6 Att, 20 Yds, 3.3 Avg",1984,Iowa State,Jim Criner
Kirk Thomas,,RB,"5 Att, 14 Yds, 2.8 Avg",1984,Iowa State,Jim Criner
Tracy Henderson*,,WR,"64 Rec, 941 Yds, 14.7 Avg",1984,Iowa State,Jim Criner
Robbie Minor*,,WR,"17 Rec, 197 Yds, 11.6 Avg",1984,Iowa State,Jim Criner
Danny Gantt,,WR,"11 Rec, 134 Yds, 12.2 Avg",1984,Iowa State,Jim Criner
David Smoldt*,,TE,"26 Rec, 251 Yds, 9.7 Avg",1984,Iowa State,Jim Criner
Jeff Wodka,,TE,"6 Rec, 56 Yds, 9.3 Avg",1984,Iowa State,Jim Criner
Brett Blaney,,TE,"3 Rec, 32 Yds, 10.7 Avg",1984,Iowa State,Jim Criner
Kevin Eggleston*,,OL,,1984,Iowa State,Jim Criner
Eric Huhndorf*,,OL,,1984,Iowa State,Jim Criner
Vince Jasper*,,OL,,1984,Iowa State,Jim Criner
Channon Mawdsley*,,OL,,1984,Iowa State,Jim Criner
Bruce Westemeyer*,,OL,,1984,Iowa State,Jim Criner
Marc Bachrodt,,K,,1984,Iowa State,Jim Criner
Steve Little*,,DL,,1984,Iowa State,Jim Criner
Jim Luebbers*,,DL,,1984,Iowa State,Jim Criner
Barry Moore*,,DL,,1984,Iowa State,Jim Criner
Lester Williams*,,DL,,1984,Iowa State,Jim Criner
Jeff Braswell*,,LB,,1984,Iowa State,Jim Criner
Dennis Gibson*,,LB,,1984,Iowa State,Jim Criner
Tim Iversen*,,LB,,1984,Iowa State,Jim Criner
Jim Thompson,,LB,,1984,Iowa State,Jim Criner
Terrence Anthony*,,DB,,1984,Iowa State,Jim Criner
Anthony Davis*,,DB,,1984,Iowa State,Jim Criner
Anthony Mayze*,,DB,,1984,Iowa State,Jim Criner
Kevin Williams*,,DB,,1984,Iowa State,Jim Criner
Joe Jackson,,DB,,1984,Iowa State,Jim Criner
Billy McCue,,DB,,1984,Iowa State,Jim Criner
Tony Tucker,,DB,,1984,Iowa State,Jim Criner
Kent Anderson,,KR,,1984,Iowa State,Jim Criner
Michael Taylor,,,,1984,Iowa State,Jim Criner
Derek DeGennaro,,QB,"12 Cmp, 26 Att, 119 Yds, 1 TD",1985,Iowa State,Jim Criner
Alex Espinoza,,QB,"159 Cmp, 330 Att, 1704 Yds, 8 TD",1985,Iowa State,Jim Criner
Kirk Thomas*,,RB,"103 Att, 326 Yds, 3.2 Avg",1985,Iowa State,Jim Criner
Marques Rodgers,,RB,"94 Att, 323 Yds, 3.4 Avg",1985,Iowa State,Jim Criner
Matt Rodgers,,RB,"94 Att, 323 Yds, 3.4 Avg",1985,Iowa State,Jim Criner
Al Watson,,RB,"35 Att, 88 Yds, 2.5 Avg",1985,Iowa State,Jim Criner
Don Poprilo,,RB,"12 Att, 28 Yds, 2.3 Avg",1985,Iowa State,Jim Criner
Joe Henderson,,RB,,1985,Iowa State,Jim Criner
Andrew Jackson,,RB,"113 Att, 415 Yds, 3.7 Avg",1985,Iowa State,Jim Criner
Paul Thibodeaux,,RB,,1985,Iowa State,Jim Criner
Hughes Suffren*,,WR,"31 Rec, 433 Yds, 14.0 Avg",1985,Iowa State,Jim Criner
Danny Gantt*,,WR,"20 Rec, 259 Yds, 13.0 Avg",1985,Iowa State,Jim Criner
Alan Hood,,WR,"3 Rec, 39 Yds, 13.0 Avg",1985,Iowa State,Jim Criner
Kent Anderson,,WR,"6 Rec, 52 Yds, 8.7 Avg",1985,Iowa State,Jim Criner
Dennis Ross,,WR,"3 Rec, 38 Yds, 12.7 Avg",1985,Iowa State,Jim Criner
Ray Guzzi,,WR,"1 Rec, 14 Yds, 14.0 Avg",1985,Iowa State,Jim Criner
Jeff Wodka*,,TE,"35 Rec, 390 Yds, 11.1 Avg",1985,Iowa State,Jim Criner
Tom Stawniak,,TE,"6 Rec, 58 Yds, 9.7 Avg",1985,Iowa State,Jim Criner
Eric Huhndorf*,,OL,,1985,Iowa State,Jim Criner
Vince Jasper*,,OL,,1985,Iowa State,Jim Criner
Brett Lawrence*,,OL,,1985,Iowa State,Jim Criner
Channon Mawdsley*,,OL,,1985,Iowa State,Jim Criner
Keith Sims*,,OL,,1985,Iowa State,Jim Criner
Kevin Eggleston,,OL,,1985,Iowa State,Jim Criner
Bruce Westemeyer,,OL,,1985,Iowa State,Jim Criner
Bill Berthusen*,,DL,,1985,Iowa State,Jim Criner
Greg Liter*,,DL,,1985,Iowa State,Jim Criner
Jim Luebbers*,,DL,,1985,Iowa State,Jim Criner
Lester Williams*,,DL,,1985,Iowa State,Jim Criner
Perry Laures,,DL,,1985,Iowa State,Jim Criner
Jeff Braswell*,,LB,,1985,Iowa State,Jim Criner
