Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2025,NFL,2,34,HOU,Jayden Higgins,WR,Iowa State,Jim Criner
2,2025,NFL,3,68,LVR,Darien Porter,CB,Iowa State,Jim Criner
3,2025,NFL,3,79,HOU,Jaylin Noel,WR,Iowa State,Jim Criner
4,2025,NFL,4,127,IND,Jalen Travis,OT,Iowa State,Jim Criner
5,2024,NFL,4,130,BAL,T.J. Tampa,DB,Iowa State,Jim Criner
6,2023,NFL,1,15,NYJ,Will McDonald,DE,Iowa State,Jim Criner
7,2023,NFL,6,205,HOU,Xavier Hutchinson,WR,Iowa State,Jim Criner
8,2023,NFL,7,242,GNB,Anthony Johnson,DB,Iowa State,Jim Criner
9,2022,NFL,2,36,NYJ,Breece Hall,RB,Iowa State,Jim Criner
10,2022,NFL,4,116,DEN,Eyioma Uwazurike,DE,Iowa State,Jim Criner
11,2022,NFL,4,128,BAL,Charlie Kolar,TE,Iowa State,Jim Criner
12,2022,NFL,7,262,SFO,Brock Purdy,QB,Iowa State,Jim Criner
13,2021,NFL,4,119,MIN,Kene Nwangwu,RB,Iowa State,Jim Criner
14,2019,NFL,3,73,CHI,David Montgomery,RB,Iowa State,Jim Criner
15,2019,NFL,4,103,ARI,Hakeem Butler,WR,Iowa State,Jim Criner
16,2014,NFL,5,154,NYJ,Jeremiah George,LB,Iowa State,Jim Criner
17,2013,NFL,5,148,CAR,A.J. Klein,LB,Iowa State,Jim Criner
18,2013,NFL,7,246,SFO,Carter Bykowski,OL,Iowa State,Jim Criner
19,2012,NFL,2,60,BAL,Kelechi Osemele,T,Iowa State,Jim Criner
20,2010,NFL,7,228,CIN,Reggie Stephens,C,Iowa State,Jim Criner
21,2008,NFL,5,147,BUF,Alvin Bowen,LB,Iowa State,Jim Criner
22,2008,NFL,6,190,CLE,Ahtyba Rubin,DT,Iowa State,Jim Criner
23,2007,NFL,7,241,CHI,Aaron Brant,G,Iowa State,Jim Criner
24,2006,NFL,5,151,SDG,Tim Dobbins,LB,Iowa State,Jim Criner
25,2005,NFL,3,84,NWE,Ellis Hobbs,DB,Iowa State,Jim Criner
26,2003,NFL,4,110,SEA,Seneca Wallace,QB,Iowa State,Jim Criner
27,2002,NFL,7,223,ARI,Mike Banks,TE,Iowa State,Jim Criner
28,2001,NFL,3,87,DEN,Reggie Hayward,DE,Iowa State,Jim Criner
29,2001,NFL,4,109,WAS,Sage Rosenfels,QB,Iowa State,Jim Criner
30,2001,NFL,7,206,NYJ,James Reed,DT,Iowa State,Jim Criner
31,1998,NFL,5,138,DAL,Oliver Ross,T,Iowa State,Jim Criner
32,1997,NFL,3,62,NOR,Troy Davis,RB,Iowa State,Jim Criner
33,1997,NFL,3,85,OAK,Tim Kohn,T,Iowa State,Jim Criner
34,1991,NFL,4,102,HOU,Marcus Robertson,DB,Iowa State,Jim Criner
35,1991,NFL,5,121,MIA,Gene Williams,G,Iowa State,Jim Criner
36,1991,NFL,6,148,NYJ,Blaise Bryant,RB,Iowa State,Jim Criner
37,1990,NFL,2,39,MIA,Keith Sims,G,Iowa State,Jim Criner
38,1990,NFL,10,254,TAM,Mike Busch,TE,Iowa State,Jim Criner
39,1989,NFL,10,273,NOR,Joe Henderson,RB,Iowa State,Jim Criner
40,1987,NFL,8,203,DET,Dennis Gibson,LB,Iowa State,Jim Criner
41,1987,NFL,9,236,ATL,Terrence Anthony,DB,Iowa State,Jim Criner
42,1987,NFL,12,321,NYG,Bill Berthusen,NT,Iowa State,Jim Criner
43,1986,NFL,9,241,NYG,Jim Luebbers,DE,Iowa State,Jim Criner
44,1985,NFL,5,132,NYG,Tracy Henderson,WR,Iowa State,Jim Criner
45,1984,NFL,6,142,TAM,Chris Washington,LB,Iowa State,Jim Criner
46,1984,NFL,8,204,CIN,Bruce Reimers,G,Iowa State,Jim Criner
47,1984,NFL,11,288,NYJ,Dan Martin,T,Iowa State,Jim Criner
48,1983,NFL,3,70,NYG,Karl Nelson,T,Iowa State,Jim Criner
49,1982,NFL,3,79,NYJ,Dwayne Crutchfield,RB,Iowa State,Jim Criner
50,1982,NFL,7,170,MIA,Dan Johnson,TE,Iowa State,Jim Criner
51,1981,NFL,7,169,NYJ,Kenny Neil,DE,Iowa State,Jim Criner
52,1979,NFL,2,31,HOU,Mike Stensrud,NT,Iowa State,Jim Criner
53,1978,NFL,7,194,DAL,Tom Randall,G,Iowa State,Jim Criner
54,1977,NFL,4,96,DET,Luther Blue,WR,Iowa State,Jim Criner
55,1977,NFL,7,178,NYG,Al Dixon,TE,Iowa State,Jim Criner
56,1977,NFL,8,211,NYG,Otis Rodgers,LB,Iowa State,Jim Criner
57,1977,NFL,12,320,DET,Dave Greenwood,G,Iowa State,Jim Criner
58,1976,NFL,9,239,SEA,Bob Bos,T,Iowa State,Jim Criner
59,1976,NFL,11,306,DEN,Greg Pittman,LB,Iowa State,Jim Criner
60,1976,NFL,11,309,BUF,Forry Smith,WR,Iowa State,Jim Criner
61,1976,NFL,12,338,MIA,Randy Young,T,Iowa State,Jim Criner
62,1975,NFL,5,127,MIA,Barry Hill,DB,Iowa State,Jim Criner
63,1975,NFL,9,216,NOR,Mike Strachan,RB,Iowa State,Jim Criner
64,1975,NFL,12,288,BAL,Brad Storm,LB,Iowa State,Jim Criner
65,1975,NFL,12,300,DET,Andre Roundtree,LB,Iowa State,Jim Criner
66,1975,NFL,16,414,MIN,Tom Goedjen,K,Iowa State,Jim Criner
67,1974,NFL,2,51,MIN,Matt Blair,LB,Iowa State,Jim Criner
68,1974,NFL,4,91,STL,Ike Harris,WR,Iowa State,Jim Criner
69,1974,NFL,5,115,PHI,Keith Krepfle,TE,Iowa State,Jim Criner
70,1974,NFL,13,335,CIN,Ted Jornov,LB,Iowa State,Jim Criner
71,1974,NFL,15,381,ATL,Willie Jones,WR,Iowa State,Jim Criner
72,1974,NFL,15,387,PIT,Larry Hunt,DT,Iowa State,Jim Criner
73,1973,NFL,1,14,HOU,George Amundson,RB,Iowa State,Jim Criner
74,1973,NFL,5,130,MIA,Dave McCurry,DB,Iowa State,Jim Criner
75,1973,NFL,7,170,ATL,Tommy Campbell,DB,Iowa State,Jim Criner
76,1973,NFL,11,274,MIN,Geary Murdock,G,Iowa State,Jim Criner
77,1973,NFL,14,344,BUF,Merv Krakau,LB,Iowa State,Jim Criner
78,1972,NFL,7,179,KAN,Dean Carlson,QB,Iowa State,Jim Criner
79,1971,NFL,2,47,MIA,Otto Stowe,WR,Iowa State,Jim Criner
80,1971,NFL,9,231,SFO,Therman Couch,LB,Iowa State,Jim Criner
81,1971,NFL,13,329,STL,Jeff Allen,DB,Iowa State,Jim Criner
82,1971,NFL,14,360,DET,Tom Lorenz,TE,Iowa State,Jim Criner
83,1971,NFL,16,406,KAN,Darrell Jansonius,G,Iowa State,Jim Criner
84,1969,NFL,11,275,CHI,Sam Campbell,DT,Iowa State,Jim Criner
85,1968,NFL,10,254,NOR,Doug Robinson,DB,Iowa State,Jim Criner
86,1968,NFL,10,259,STL,Tom Busch,FL,Iowa State,Jim Criner
87,1968,NFL,14,355,CIN,Les Webster,RB,Iowa State,Jim Criner
88,1967,NFL,3,56,HOU,Larry Carwell,DB,Iowa State,Jim Criner
89,1967,NFL,3,72,CLE,Eppie Barney,FL,Iowa State,Jim Criner
90,1967,NFL,7,166,DET,Ted Tuinstra,T,Iowa State,Jim Criner
91,1967,NFL,10,240,ATL,Dick Schafroth,T,Iowa State,Jim Criner
92,1966,AFL,2,13,HOU,Tim Van Galder,QB,Iowa State,Jim Criner
93,1966,AFL,6,53,SDG,Joe Beauchamp,DB,Iowa State,Jim Criner
94,1966,NFL,6,88,STL,Tim Van Galder,QB,Iowa State,Jim Criner
95,1966,NFL,16,238,STL,Dick Kasperek,C,Iowa State,Jim Criner
96,1965,NFL,5,57,DET,Tom Vaughn,DB,Iowa State,Jim Criner
97,1965,AFL,8,61,KAN,Roosevelt Ellerbe,DB,Iowa State,Jim Criner
98,1965,AFL,11,81,DEN,Tom Vaughn,DB,Iowa State,Jim Criner
99,1965,AFL,12,92,NYJ,John Berrington,LB,Iowa State,Jim Criner
100,1965,AFL,12,93,KAN,Mike Cox,LB,Iowa State,Jim Criner
101,1965,NFL,19,258,WAS,Roosevelt Ellerbe,B,Iowa State,Jim Criner
102,1964,NFL,17,227,WAS,Ozzie Clay,WR,Iowa State,Jim Criner
103,1964,NFL,18,248,STL,Dave Hoover,B,Iowa State,Jim Criner
104,1963,NFL,4,55,DET,Chuck Walton,G,Iowa State,Jim Criner
105,1963,NFL,7,87,NYG,Dave Hoppmann,B,Iowa State,Jim Criner
106,1963,AFL,13,98,SDG,Chuck Walton,G,Iowa State,Jim Criner
107,1961,AFL,8,58,OAK,Tom Watkins,HB,Iowa State,Jim Criner
108,1961,AFL,21,161,DEN,Jim Morgan,HB,Iowa State,Jim Criner
109,1961,AFL,24,187,BOS,Don Webb,DB,Iowa State,Jim Criner
110,1961,NFL,20,268,DAL,Jerry Morgan,B,Iowa State,Jim Criner
111,1960,AFL,,0,BUF,Dwight Nichols,HB,Iowa State,Jim Criner
112,1960,NFL,15,177,CLE,Tom Watkins,HB,Iowa State,Jim Criner
113,1959,NFL,22,262,NYG,Gale Gibson,E,Iowa State,Jim Criner
114,1958,NFL,15,179,DET,John Scheldrup,E,Iowa State,Jim Criner
115,1958,NFL,21,252,CLE,Bill Martin,E,Iowa State,Jim Criner
116,1957,NFL,26,311,DET,Chuck Muelhaupt,G,Iowa State,Jim Criner
117,1956,NFL,28,337,CLE,Ollie Sparks,G,Iowa State,Jim Criner
118,1955,NFL,11,132,DET,Herb McDermott,T,Iowa State,Jim Criner
119,1953,NFL,19,223,CHI,Bill Byrus,T,Iowa State,Jim Criner
120,1953,NFL,20,237,PHI,Rollie Arns,C,Iowa State,Jim Criner
121,1952,NFL,15,173,PHI,Malcolm Schmidt,E,Iowa State,Jim Criner
122,1952,NFL,18,213,DET,Stan Campbell,G,Iowa State,Jim Criner
123,1952,NFL,23,269,PHI,Maury Schnell,B,Iowa State,Jim Criner
124,1951,NFL,5,55,DET,Jim Doran,E,Iowa State,Jim Criner
125,1951,NFL,10,113,WAS,Bob Jensen,E,Iowa State,Jim Criner
126,1951,NFL,18,213,PHI,Bill Weeks,B,Iowa State,Jim Criner
127,1950,NFL,12,149,WAS,Bill Chauncey,B,Iowa State,Jim Criner
128,1950,NFL,20,255,CRD,Webb Halbert,B,Iowa State,Jim Criner
129,1950,NFL,21,270,CHI,Bob Angle,B,Iowa State,Jim Criner
130,1949,NFL,19,190,CRD,Dean Laun,E,Iowa State,Jim Criner
131,1948,NFL,13,109,BOS,Bob Jensen,DE,Iowa State,Jim Criner
132,1947,NFL,12,96,DET,LaVerne Camarata,B,Iowa State,Jim Criner
133,1945,NFL,24,248,CHI,Charley Wright,G,Iowa State,Jim Criner
134,1944,NFL,25,261,CHP,Howard Tippee,B,Iowa State,Jim Criner
135,1943,NFL,16,142,PHI,Paul Darling,B,Iowa State,Jim Criner
136,1943,NFL,21,191,DET,Royal (Ace) Lohry,B,Iowa State,Jim Criner
137,1941,NFL,8,70,WAS,Henry Wilder,B,Iowa State,Jim Criner
138,1939,NFL,7,56,CHI,Charles Heileman,E,Iowa State,Jim Criner
139,1939,NFL,13,116,CHI,Ed Bock,G,Iowa State,Jim Criner
140,1939,NFL,16,143,RAM,Gordon Reupke,B,Iowa State,Jim Criner
141,1939,NFL,17,158,WAS,Clyde Shugart,G,Iowa State,Jim Criner
142,1939,NFL,18,165,BKN,Paul Morin,T,Iowa State,Jim Criner
143,1939,NFL,22,196,CHI,Everett Kircher,B,Iowa State,Jim Criner
