Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2024,NFL,2,63,KAN,Kingsley Suamataia,OL,Brigham Young,Kalani Sitake
2,2023,NFL,4,106,IND,Blake Freeland,OL,Brigham Young,Kalani Sitake
3,2023,NFL,5,164,MIN,Jaren Hall,QB,Brigham Young,Kalani Sitake
4,2023,NFL,5,177,LAR,Puka Nacua,WR,Brigham Young,Kalani Sitake
5,2022,NFL,5,151,ATL,Tyler Allgeier,RB,Brigham Young,Kalani Sitake
6,2021,NFL,1,2,NYJ,Zach Wilson,QB,Brigham Young,Kalani Sitake
7,2021,NFL,3,70,CAR,Brady Christensen,OL,Brigham Young,Kalani Sitake
8,2021,NFL,7,250,CHI,Khyiris Tonga,DL,Brigham Young,Kalani Sitake
9,2021,NFL,7,251,TAM,Chris Wilcox,DB,Brigham Young,Kalani Sitake
10,2021,NFL,7,258,WAS,Dax Milne,WR,Brigham Young,Kalani Sitake
11,2019,NFL,3,80,CLE,Sione Takitaki,LB,Brigham Young,Kalani Sitake
12,2018,NFL,3,70,SFO,Fred Warner,OLB,Brigham Young,Kalani Sitake
13,2017,NFL,4,134,GNB,Jamaal Williams,RB,Brigham Young,Kalani Sitake
14,2016,NFL,3,70,BAL,Bronson Kaufusi,DE,Brigham Young,Kalani Sitake
15,2014,NFL,2,40,DET,Kyle Van Noy,LB,Brigham Young,Kalani Sitake
16,2013,NFL,1,5,DET,Ezekiel Ansah,DE,Brigham Young,Kalani Sitake
17,2010,NFL,7*,1,CHI,Harvey Unga,RB,Brigham Young,Kalani Sitake
18,2010,NFL,4,114,BAL,Dennis Pitta,TE,Brigham Young,Kalani Sitake
19,2009,NFL,4,127,IND,Austin Collie,WR,Brigham Young,Kalani Sitake
20,2009,NFL,7,215,CIN,Fui Vakapuna,RB,Brigham Young,Kalani Sitake
21,2008,NFL,4,123,NYG,Bryan Kehl,LB,Brigham Young,Kalani Sitake
22,2007,NFL,2,40,MIA,John Beck,QB,Brigham Young,Kalani Sitake
23,2006,NFL,7,218,ARI,Todd Watkins,WR,Brigham Young,Kalani Sitake
24,2005,NFL,4,125,GNB,Brady Poppinga,LB,Brigham Young,Kalani Sitake
25,2005,NFL,5,172,PHI,Scott Young,G,Brigham Young,Kalani Sitake
26,2005,NFL,7,228,PIT,Shaun Nua,DE,Brigham Young,Kalani Sitake
27,2004,NFL,7,240,NOR,Colby Bockwoldt,LB,Brigham Young,Kalani Sitake
28,2003,NFL,6,204,OAK,Dustin Rykert,T,Brigham Young,Kalani Sitake
29,2003,NFL,7,234,NWE,Spencer Nead,FB,Brigham Young,Kalani Sitake
30,2002,NFL,2,55,OAK,Doug Jolley,TE,Brigham Young,Kalani Sitake
31,2002,NFL,2,61,BUF,Ryan Denney,DE,Brigham Young,Kalani Sitake
32,2002,NFL,5,163,SFO,Brandon Doman,QB,Brigham Young,Kalani Sitake
33,2002,NFL,7,214,DET,Luke Staley,RB,Brigham Young,Kalani Sitake
34,2002,NFL,7,242,PIT,Brett Keisel,DE,Brigham Young,Kalani Sitake
35,2001,NFL,7,216,NWE,Owen Pochman,K,Brigham Young,Kalani Sitake
36,2001,NFL,7,246,ARI,Tevita Ofahengaue,TE,Brigham Young,Kalani Sitake
37,2000,NFL,1,28,IND,Rob Morris,LB,Brigham Young,Kalani Sitake
38,2000,NFL,3,93,TEN,Byron Frisch,DE,Brigham Young,Kalani Sitake
39,2000,NFL,5,138,IND,Matt Johnson,G,Brigham Young,Kalani Sitake
40,1999,NFL,1,14,KAN,John Tait,T,Brigham Young,Kalani Sitake
41,1999,NFL,6,188,OAK,Daren Yancey,DT,Brigham Young,Kalani Sitake
