Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2025,NFL,7,241,DEN,Caleb Lohner,TE,Utah,Kyle Whittingham
2,2024,NFL,2,60,BUF,Cole Bishop,SAF,Utah,Kyle Whittingham
3,2024,NFL,3,76,DEN,Jonah Elliss,DE,Utah,Kyle Whittingham
4,2024,NFL,4,132,DET,Sione Vaki,SAF,Utah,Kyle Whittingham
5,2024,NFL,6,179,SEA,Sataoa Laumea,OL,Utah,Kyle Whittingham
6,2024,NFL,7,235,DEN,Devaughn Vele,WR,Utah,Kyle Whittingham
7,2023,NFL,1,25,BUF,Dalton Kincaid,TE,Utah,Kyle Whittingham
8,2023,NFL,4,113,ATL,Clark Phillips,CB,Utah,Kyle Whittingham
9,2023,NFL,4,118,WAS,Braeden Daniels,OL,Utah,Kyle Whittingham
10,2022,NFL,1,27,JAX,Devin Lloyd,LB,Utah,Kyle Whittingham
11,2020,NFL,2,50,CHI,Jaylon Johnson,CB,Utah,Kyle Whittingham
12,2020,NFL,3,85,IND,Julian Blackmon,S,Utah,Kyle Whittingham
13,2020,NFL,3,86,BUF,Zack Moss,RB,Utah,Kyle Whittingham
14,2020,NFL,3,104,LAR,Terrell Burgess,S,Utah,Kyle Whittingham
15,2020,NFL,4,114,ARI,Leki Fotu,DT,Utah,Kyle Whittingham
16,2020,NFL,5,179,DAL,Bradlee Anae,DE,Utah,Kyle Whittingham
17,2020,NFL,6,197,DET,John Penisini,DT,Utah,Kyle Whittingham
18,2019,NFL,2,47,SEA,Marquise Blair,S,Utah,Kyle Whittingham
19,2019,NFL,3,88,SEA,Cody Barton,LB,Utah,Kyle Whittingham
20,2019,NFL,4,110,SFO,Mitch Wishnowsky,P,Utah,Kyle Whittingham
21,2019,NFL,5,145,TAM,Matt Gay,K,Utah,Kyle Whittingham
22,2019,NFL,7,240,IND,Jackson Barton,T,Utah,Kyle Whittingham
23,2018,NFL,6,181,CHI,Kylie Fitts,DE,Utah,Kyle Whittingham
24,2017,NFL,1,20,DEN,Garett Bolles,T,Utah,Kyle Whittingham
25,2017,NFL,2,42,NOR,Marcus Williams,S,Utah,Kyle Whittingham
26,2017,NFL,4,121,SFO,Joe Williams,RB,Utah,Kyle Whittingham
27,2017,NFL,5,164,MIA,Isaac Asiata,G,Utah,Kyle Whittingham
28,2017,NFL,5,173,PIT,Brian Allen,DB,Utah,Kyle Whittingham
29,2017,NFL,5,176,CIN,JJ Dielman,C,Utah,Kyle Whittingham
30,2017,NFL,6,190,LAC,Sam Tevi,T,Utah,Kyle Whittingham
31,2017,NFL,6,202,SFO,Pita Taumoepenu,OLB,Utah,Kyle Whittingham
32,2016,NFL,4,136,DEN,Devontae Booker,RB,Utah,Kyle Whittingham
33,2015,NFL,2,47,PHI,Eric Rowe,CB,Utah,Kyle Whittingham
34,2015,NFL,2,51,CLE,Nate Orchard,DE,Utah,Kyle Whittingham
35,2015,NFL,3,66,TEN,Jeremiah Poutasi,G,Utah,Kyle Whittingham
36,2015,NFL,6,184,TAM,Kaelin Clay,WR,Utah,Kyle Whittingham
37,2014,NFL,4,116,OAK,Keith McGill,DB,Utah,Kyle Whittingham
38,2014,NFL,7,233,NYJ,Trevor Reilly,LB,Utah,Kyle Whittingham
39,2013,NFL,1,14,CAR,Star Lotulelei,DT,Utah,Kyle Whittingham
40,2013,NFL,7,212,PHI,Joe Kruger,DE,Utah,Kyle Whittingham
41,2012,NFL,2*,1,CLE,Josh Gordon,WR,Utah,Kyle Whittingham
42,2012,NFL,3,95,OAK,Tony Bergstrom,T,Utah,Kyle Whittingham
43,2010,NFL,2,40,MIA,Koa Misi,LB,Utah,Kyle Whittingham
44,2010,NFL,2,45,DEN,Zane Beadles,G,Utah,Kyle Whittingham
45,2010,NFL,5,148,TEN,Robert Johnson,DB,Utah,Kyle Whittingham
46,2010,NFL,5,156,BAL,David Reed,WR,Utah,Kyle Whittingham
47,2010,NFL,5,166,PIT,Stevenson Sylvester,LB,Utah,Kyle Whittingham
48,2010,NFL,7,223,CAR,R.J. Stanford,DB,Utah,Kyle Whittingham
49,2009,NFL,2,57,BAL,Paul Kruger,DE,Utah,Kyle Whittingham
50,2009,NFL,2,61,MIA,Sean Smith,DB,Utah,Kyle Whittingham
51,2009,NFL,6,188,HOU,Brice McCain,DB,Utah,Kyle Whittingham
52,2009,NFL,7,252,CIN,Freddie Brown,WR,Utah,Kyle Whittingham
53,2007,NFL,2,37,SDG,Eric Weddle,DB,Utah,Kyle Whittingham
54,2007,NFL,4,108,MIA,Paul Soliai,DT,Utah,Kyle Whittingham
55,2006,NFL,7,245,TEN,Spencer Toone,LB,Utah,Kyle Whittingham
56,2006,NFL,7,246,TEN,Quinton Ganther,RB,Utah,Kyle Whittingham
57,2005,NFL,1,1,SFO,Alex Smith,QB,Utah,Kyle Whittingham
58,2005,NFL,3,88,NYJ,Sione Pouha,DT,Utah,Kyle Whittingham
59,2005,NFL,6,204,PIT,Chris Kemoeatu,G,Utah,Kyle Whittingham
60,2005,NFL,7,225,TAM,Paris Warren,WR,Utah,Kyle Whittingham
61,2005,NFL,7,233,CIN,Jonathan Fanene,DE,Utah,Kyle Whittingham
62,2003,NFL,1,8,CAR,Jordan Gross,T,Utah,Kyle Whittingham
