Year,School,G,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Bowl,Notes,Coach
1972,Brigham Young,11,7,4,0,.636,-4.35,-6.35,,,,,,LaVell Edwards
1973,Brigham Young,11,5,6,0,.455,2.96,-0.58,,,,,,LaVell Edwards
1974,Brigham Young,12,7,4,1,.625,4.28,-2.89,,17,,Fiesta Bowl-L,,LaVell Edwards
1975,Brigham Young,11,6,5,0,.545,1.82,0.82,,,,,,LaVell Edwards
1976,Brigham Young,12,9,3,0,.750,6.58,-3.08,,,,Tangerine Bowl-L,,LaVell Edwards
1977,Brigham Young,11,9,2,0,.818,13.51,-1.04,,13,20,,,LaVell Edwards
1978,Brigham Young,13,9,4,0,.692,7.95,0.41,,,,Holiday Bowl-L,,LaVell Edwards
1979,Brigham Young,12,11,1,0,.917,18.13,-0.87,,9,13,Holiday Bowl-L,,LaVell Edwards
1980,Brigham Young,13,12,1,0,.923,18.46,-0.77,,12,12,Holiday Bowl-W,,LaVell Edwards
1981,Brigham Young,13,11,2,0,.846,12.38,-2.08,16,8,13,Holiday Bowl-W,,LaVell Edwards
1982,Brigham Young,12,8,4,0,.667,8.92,0.75,,,,Holiday Bowl-L,,LaVell Edwards
1983,Brigham Young,12,11,1,0,.917,15.42,-0.58,,7,7,Holiday Bowl-W,,LaVell Edwards
1984,Brigham Young,13,13,0,0,1.000,14.68,-1.63,,1,1,Holiday Bowl-W,,LaVell Edwards
1985,Brigham Young,14,11,3,0,.786,13.29,0.51,10,7,16,Citrus Bowl-L,,LaVell Edwards
1986,Brigham Young,13,8,5,0,.615,5.05,1.05,18,11,,Freedom Bowl-L,,LaVell Edwards
1987,Brigham Young,13,9,4,0,.692,3.43,-1.57,,,,All-American Bowl-L,,LaVell Edwards
1988,Brigham Young,13,9,4,0,.692,5.32,-0.68,,20,,Freedom Bowl-W,,LaVell Edwards
1989,Brigham Young,13,10,3,0,.769,10.84,-0.62,19,18,22,Holiday Bowl-L,,LaVell Edwards
1990,Brigham Young,13,10,3,0,.769,12.38,1.30,16,4,22,Holiday Bowl-L,,LaVell Edwards
1991,Brigham Young,13,8,3,2,.692,9.71,1.71,19,19,23,Holiday Bowl-T,,LaVell Edwards
1992,Brigham Young,13,8,5,0,.615,7.49,2.49,24,24,,Aloha Bowl-L,,LaVell Edwards
1993,Brigham Young,12,6,6,0,.500,2.07,2.07,19,19,,Holiday Bowl-L,,LaVell Edwards
1994,Brigham Young,13,10,3,0,.769,6.91,-0.25,,18,18,Copper Bowl-W,,LaVell Edwards
1995,Brigham Young,11,7,4,0,.636,2.16,-0.66,,,,,,LaVell Edwards
1996,Brigham Young,15,14,1,0,.933,13.65,-3.02,,5,5,Cotton Bowl-W,,LaVell Edwards
1997,Brigham Young,11,6,5,0,.545,-1.95,-2.22,19,19,,,,LaVell Edwards
1998,Brigham Young,14,9,5,0,.643,4.22,-3.64,,,,Liberty Bowl-L,,LaVell Edwards
1999,Brigham Young,12,8,4,0,.667,7.43,1.02,,15,,Motor City Bowl-L,,LaVell Edwards
2000,Brigham Young,12,6,6,0,.500,-0.66,1.17,,,,,,LaVell Edwards
