Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
28,2003,NFL,6,204,OAK,Dustin Rykert,T,Brigham Young,LaVell Edwards
30,2002,NFL,2,55,OAK,Doug Jolley,TE,Brigham Young,LaVell Edwards
31,2002,NFL,2,61,BUF,Ryan Denney,DE,Brigham Young,LaVell Edwards
32,2002,NFL,5,163,SFO,Brandon Doman,QB,Brigham Young,LaVell Edwards
33,2002,NFL,7,214,DET,Luke Staley,RB,Brigham Young,LaVell Edwards
34,2002,NFL,7,242,PIT,Brett Keisel,DE,Brigham Young,LaVell Edwards
35,2001,NFL,7,216,NWE,Owen Pochman,K,Brigham Young,LaVell Edwards
36,2001,NFL,7,246,ARI,Tevita Ofahengaue,TE,Brigham Young,LaVell Edwards
37,2000,NFL,1,28,IND,Rob Morris,LB,Brigham Young,LaVell Edwards
38,2000,NFL,3,93,TEN,Byron Frisch,DE,Brigham Young,LaVell Edwards
39,2000,NFL,5,138,IND,Matt Johnson,G,Brigham Young,LaVell Edwards
40,1999,NFL,1,14,KAN,John Tait,T,Brigham Young,LaVell Edwards
41,1999,NFL,6,188,OAK,Daren Yancey,DT,Brigham Young,LaVell Edwards
42,1999,NFL,7,244,MIA,Joe Wong,G,Brigham Young,LaVell Edwards
43,1998,NFL,5,149,NYJ,Eric Bateman,T,Brigham Young,LaVell Edwards
44,1998,NFL,6,183,NYJ,Dustin Johnson,FB,Brigham Young,LaVell Edwards
46,1997,NFL,6,174,SEA,Itula Mili,TE,Brigham Young,LaVell Edwards
47,1996,NFL,3,95,DAL,Mike Ulufale,DT,Brigham Young,LaVell Edwards
48,1995,NFL,3,87,CHI,Evan Pilgrim,G,Brigham Young,LaVell Edwards
49,1995,NFL,4,127,SFO,Tim Hanshaw,G,Brigham Young,LaVell Edwards
50,1995,NFL,6,181,ATL,Travis Hall,DT,Brigham Young,LaVell Edwards
51,1995,NFL,6,190,OAK,Eli Herring,T,Brigham Young,LaVell Edwards
52,1995,NFL,7,213,CIN,John Walsh,QB,Brigham Young,LaVell Edwards
53,1993,NFL,4,92,IND,Derwin Gray,DB,Brigham Young,LaVell Edwards
54,1992,NFL,9,230,GNB,Ty Detmer,QB,Brigham Young,LaVell Edwards
55,1991,NFL,6,143,RAM,Neal Fort,T,Brigham Young,LaVell Edwards
56,1991,NFL,7,172,ATL,Brian Mitchell,DB,Brigham Young,LaVell Edwards
57,1991,NFL,11,295,CIN,Chris Smith,TE,Brigham Young,LaVell Edwards
58,1990,NFL,3,76,WAS,Mohammed Elewonibi,T,Brigham Young,LaVell Edwards
59,1989,NFL,3,80,MIN,John Hunter,T,Brigham Young,LaVell Edwards
60,1989,NFL,8,210,NWE,Rodney Rice,DB,Brigham Young,LaVell Edwards
61,1989,NFL,8,215,RAM,Warren Wheat,G,Brigham Young,LaVell Edwards
62,1988,NFL,5,126,MIA,Rodney Thomas,DB,Brigham Young,LaVell Edwards
63,1988,NFL,12,313,NYG,David Futrell,DT,Brigham Young,LaVell Edwards
64,1988,NFL,12,319,PHI,Steve Kaufusi,DE,Brigham Young,LaVell Edwards
65,1987,NFL,1,11,NOR,Shawn Knight,DE,Brigham Young,LaVell Edwards
66,1987,NFL,1,17,CIN,Jason Buck,DE,Brigham Young,LaVell Edwards
67,1987,NFL,7,170,IND,Mark Bellini,WR,Brigham Young,LaVell Edwards
68,1987,NFL,9,249,CHI,Lakei Heimuli,RB,Brigham Young,LaVell Edwards
69,1986,NFL,3,72,GNB,Robbie Bosco,QB,Brigham Young,LaVell Edwards
70,1986,NFL,5,123,CIN,Leon White,LB,Brigham Young,LaVell Edwards
71,1986,NFL,8,213,WAS,Kurt Gouveia,LB,Brigham Young,LaVell Edwards
72,1986,NFL,9,230,CIN,Cary Whittingham,LB,Brigham Young,LaVell Edwards
73,1986,NFL,10,254,STL,Vai Sikahema,RB,Brigham Young,LaVell Edwards
74,1986,NFL,11,305,CHI,Glen Kozlowski,WR,Brigham Young,LaVell Edwards
75,1986,NFL,12,320,SDG,Jeff Sprowls,DB,Brigham Young,LaVell Edwards
76,1985,NFL,1,28,NWE,Trevor Matich,C,Brigham Young,LaVell Edwards
77,1985,NFL,4,106,MIN,Kyle Morrell,DB,Brigham Young,LaVell Edwards
78,1985,NFL,5,131,STL,Louis Wong,G,Brigham Young,LaVell Edwards
79,1985,NFL,5,138,HOU,Lee Johnson,P,Brigham Young,LaVell Edwards
80,1985,NFL,7,184,DAL,Jim Herrmann,DE,Brigham Young,LaVell Edwards
81,1984,NFL,1*,1,TAM,Steve Young,QB,Brigham Young,LaVell Edwards
82,1984,NFL,1*,22,SEA,Gordon Hudson,TE,Brigham Young,LaVell Edwards
83,1984,NFL,1,24,SFO,Todd Shell,LB,Brigham Young,LaVell Edwards
84,1984,NFL,11,307,SFO,Kirk Pendleton,WR,Brigham Young,LaVell Edwards
85,1983,NFL,4,90,SFO,Tom Holmoe,DB,Brigham Young,LaVell Edwards
86,1983,NFL,12,329,SDG,Chuck Ehin,NT,Brigham Young,LaVell Edwards
87,1982,NFL,1,5,CHI,Jim McMahon,QB,Brigham Young,LaVell Edwards
88,1982,NFL,4,106,DEN,Dan Plater,WR,Brigham Young,LaVell Edwards
89,1981,NFL,2,42,DEN,Clay Brown,TE,Brigham Young,LaVell Edwards
90,1981,NFL,3,81,DAL,Glen Titensor,G,Brigham Young,LaVell Edwards
91,1981,NFL,4,87,SEA,Scott Phillips,WR,Brigham Young,LaVell Edwards
92,1981,NFL,4,106,HOU,Nick Eyre,T,Brigham Young,LaVell Edwards
93,1981,NFL,6,166,NOR,Glen Redd,LB,Brigham Young,LaVell Edwards
94,1981,NFL,8,195,NYJ,Lloyd Jones,WR,Brigham Young,LaVell Edwards
95,1981,NFL,8,196,SEA,Eric Lane,RB,Brigham Young,LaVell Edwards
96,1980,NFL,1,15,OAK,Marc Wilson,QB,Brigham Young,LaVell Edwards
97,1980,NFL,2,55,WAS,Mat Mendenhall,DE,Brigham Young,LaVell Edwards
98,1979,NFL,8,199,STL,Larry Miller,LB,Brigham Young,LaVell Edwards
99,1979,NFL,10,275,PIT,Tod Thompson,TE,Brigham Young,LaVell Edwards
100,1978,NFL,2,56,DAL,Todd Christensen,TE,Brigham Young,LaVell Edwards
101,1978,NFL,3,73,HOU,Gifford Nielsen,QB,Brigham Young,LaVell Edwards
102,1978,NFL,6,158,CHI,Mekeli Ieremia,DT,Brigham Young,LaVell Edwards
103,1978,NFL,9,241,PIT,Lance Reynolds,T,Brigham Young,LaVell Edwards
104,1977,NFL,5,136,NOR,Dave Hubbard,T,Brigham Young,LaVell Edwards
105,1977,NFL,8,199,NYG,Bill Rice,DT,Brigham Young,LaVell Edwards
106,1977,NFL,11,295,SFO,Brian Billick,TE,Brigham Young,LaVell Edwards
107,1976,NFL,3,83,STL,Brad Oates,T,Brigham Young,LaVell Edwards
108,1976,NFL,6,169,ATL,Stan Varner,DT,Brigham Young,LaVell Edwards
109,1976,NFL,8,222,KAN,Orrin Olsen,C,Brigham Young,LaVell Edwards
