Player,Class,Pos,Summary,Year,School,Coach
Bill August*,,QB,"69 Cmp, 144 Att, 891 Yds, 5 TD",1972,Brigham Young,LaVell Edwards
Dave Terry,,QB,"62 Cmp, 122 Att, 742 Yds, 2 TD",1972,Brigham Young,LaVell Edwards
Pete Van Valkenberg*,,RB,"232 Att, 1386 Yds, 6.0 Avg",1972,Brigham Young,LaVell Edwards
Steve Stratton*,,RB,"78 Att, 328 Yds, 4.2 Avg",1972,Brigham Young,LaVell Edwards
Wayne Bower,,RB,"43 Att, 271 Yds, 6.3 Avg",1972,Brigham Young,LaVell Edwards
Pete Van Valkenburg,,RB,"232 Att, 1386 Yds, 6.0 Avg",1972,Brigham Young,LaVell Edwards
Dan Taylor,,RB,"46 Att, 161 Yds, 3.5 Avg",1972,Brigham Young,LaVell Edwards
Gil Gillenwater,,RB,"3 Att, 56 Yds, 18.7 Avg",1972,Brigham Young,LaVell Edwards
Bryce Johnson,,RB,,1972,Brigham Young,LaVell Edwards
Logan Hunter*,,WR,"49 Rec, 555 Yds, 11.3 Avg",1972,Brigham Young,LaVell Edwards
John Betham*,,WR,"19 Rec, 345 Yds, 18.2 Avg",1972,Brigham Young,LaVell Edwards
Jay Miller,,WR,"6 Rec, 30 Yds, 5.0 Avg",1972,Brigham Young,LaVell Edwards
Lynn Zwahlen,,WR,"5 Rec, 95 Yds, 19.0 Avg",1972,Brigham Young,LaVell Edwards
Dave Affleck,,WR,"3 Rec, 15 Yds, 5.0 Avg",1972,Brigham Young,LaVell Edwards
Dennis Doman*,,TE,"7 Rec, 59 Yds, 8.4 Avg",1972,Brigham Young,LaVell Edwards
Mike Pistorius,,TE,"16 Rec, 314 Yds, 19.6 Avg",1972,Brigham Young,LaVell Edwards
Joe Bailey*,,OL,,1972,Brigham Young,LaVell Edwards
Craig Denny*,,OL,,1972,Brigham Young,LaVell Edwards
Paul Howard*,,OL,,1972,Brigham Young,LaVell Edwards
John Monahan*,,OL,,1972,Brigham Young,LaVell Edwards
Steve Price*,,OL,,1972,Brigham Young,LaVell Edwards
Dave Brooks,,OL,,1972,Brigham Young,LaVell Edwards
Paul Linford*,,DL,,1972,Brigham Young,LaVell Edwards
Orrin Olsen*,,DL,,1972,Brigham Young,LaVell Edwards
Ed Rozeski*,,DL,,1972,Brigham Young,LaVell Edwards
Grant Wells*,,DL,,1972,Brigham Young,LaVell Edwards
Wayne Baker,,DL,,1972,Brigham Young,LaVell Edwards
Bob Larsen,,DL,,1972,Brigham Young,LaVell Edwards
Larry Carr*,,LB,,1972,Brigham Young,LaVell Edwards
Phil Jensen*,,LB,,1972,Brigham Young,LaVell Edwards
Ron Tree*,,LB,,1972,Brigham Young,LaVell Edwards
Kahlili Hunt,,LB,,1972,Brigham Young,LaVell Edwards
Mike Preston,,LB,,1972,Brigham Young,LaVell Edwards
Dave Atkinson*,,DB,,1972,Brigham Young,LaVell Edwards
Craig Crompton*,,DB,,1972,Brigham Young,LaVell Edwards
George Gourley*,,DB,,1972,Brigham Young,LaVell Edwards
Dan Hansen*,,DB,,1972,Brigham Young,LaVell Edwards
Bennis Smith,,DB,,1972,Brigham Young,LaVell Edwards
Gary Sheide*,,QB,"177 Cmp, 294 Att, 2350 Yds, 22 TD",1973,Brigham Young,LaVell Edwards
Randy Litchfield,,QB,"54 Cmp, 107 Att, 554 Yds, 2 TD",1973,Brigham Young,LaVell Edwards
Dave Terry,,QB,"4 Cmp, 7 Att, 26 Yds, 0 TD",1973,Brigham Young,LaVell Edwards
Mark Terranova*,,RB,"94 Att, 414 Yds, 4.4 Avg",1973,Brigham Young,LaVell Edwards
Steve Stratton*,,RB,"60 Att, 330 Yds, 5.5 Avg",1973,Brigham Young,LaVell Edwards
Jeff Blanc,,RB,"61 Att, 301 Yds, 4.9 Avg",1973,Brigham Young,LaVell Edwards
Wayne Bower,,RB,"28 Att, 90 Yds, 3.2 Avg",1973,Brigham Young,LaVell Edwards
Charlie Ah You,,RB,"43 Att, 186 Yds, 4.3 Avg",1973,Brigham Young,LaVell Edwards
Gil Gillenwater,,RB,"43 Att, 156 Yds, 3.6 Avg",1973,Brigham Young,LaVell Edwards
Dave Coon,,RB,"41 Att, 90 Yds, 2.2 Avg",1973,Brigham Young,LaVell Edwards
Dan Taylor,,RB,"22 Att, 71 Yds, 3.2 Avg",1973,Brigham Young,LaVell Edwards
Dan Van Valkenburg,,RB,"8 Att, 30 Yds, 3.8 Avg",1973,Brigham Young,LaVell Edwards
Tom Easley,,RB,"1 Att, 3 Yds, 3.0 Avg",1973,Brigham Young,LaVell Edwards
John Betham*,,WR,"9 Rec, 229 Yds, 25.4 Avg",1973,Brigham Young,LaVell Edwards
Jay Miller*,,WR,"100 Rec, 1181 Yds, 11.8 Avg",1973,Brigham Young,LaVell Edwards
Lynn Zwahlen,,WR,"25 Rec, 324 Yds, 13.0 Avg",1973,Brigham Young,LaVell Edwards
Dave Affleck,,WR,"1 Rec, 34 Yds, 34.0 Avg",1973,Brigham Young,LaVell Edwards
Sam Lobue,,WR,"1 Rec, 68 Yds, 68.0 Avg",1973,Brigham Young,LaVell Edwards
