Player,Class,Pos,Summary,Year,School,Coach
Doug Gaynor,,QB,"248 Cmp, 385 Att, 3230 Yds, 16 TD",1984,Long Beach State,Mike Sheppard
Gary Ruhlen,,QB,"23 Cmp, 45 Att, 193 Yds, 0 TD",1984,Long Beach State,Mike Sheppard
Martin Sartin,,RB,"90 Att, 290 Yds, 3.2 Avg",1984,Long Beach State,Mike Sheppard
Mark Templeton,,RB,"92 Att, 459 Yds, 5.0 Avg",1984,Long Beach State,Mike Sheppard
Matt Palmer,,RB,"19 Att, 52 Yds, 2.7 Avg",1984,Long Beach State,Mike Sheppard
Glenn Witherspoon,,RB,"15 Att, 52 Yds, 3.5 Avg",1984,Long Beach State,Mike Sheppard
John Cook,,RB,"12 Att, 115 Yds, 9.6 Avg",1984,Long Beach State,Mike Sheppard
Sheldon Gaines,,RB,"14 Rec, 209 Yds, 14.9 Avg",1984,Long Beach State,Mike Sheppard
John Hearn,,RB,"2 Rec, 1 Yds, 0.5 Avg",1984,Long Beach State,Mike Sheppard
Charles Lockett,,WR,"75 Rec, 1112 Yds, 14.8 Avg",1984,Long Beach State,Mike Sheppard
Troy Ory,,WR,"42 Rec, 669 Yds, 15.9 Avg",1984,Long Beach State,Mike Sheppard
Jamie Craft,,WR,"1 Rec, 6 Yds, 6.0 Avg",1984,Long Beach State,Mike Sheppard
Greg Locy,,TE,"31 Rec, 496 Yds, 16.0 Avg",1984,Long Beach State,Mike Sheppard
Rick Trigueiro,,TE,"17 Rec, 233 Yds, 13.7 Avg",1984,Long Beach State,Mike Sheppard
Larry Sheldon,,TE,"2 Rec, 22 Yds, 11.0 Avg",1984,Long Beach State,Mike Sheppard
David Caylor,,K,,1984,Long Beach State,Mike Sheppard
Jose Oceguera,,K,,1984,Long Beach State,Mike Sheppard
Tom Hensley,,DL,,1984,Long Beach State,Mike Sheppard
Marc Bevilacqua,,LB,,1984,Long Beach State,Mike Sheppard
Kevin Junior,,LB,,1984,Long Beach State,Mike Sheppard
Brent Beechem,,DB,,1984,Long Beach State,Mike Sheppard
Bill Brown,,DB,,1984,Long Beach State,Mike Sheppard
Ron Frost,,DB,,1984,Long Beach State,Mike Sheppard
John Hendy,,DB,,1984,Long Beach State,Mike Sheppard
Anthony Reynolds,,DB,,1984,Long Beach State,Mike Sheppard
Jeff Carter,,P,,1984,Long Beach State,Mike Sheppard
Leonard Simpkins,,,,1984,Long Beach State,Mike Sheppard
Doug Gaynor,,QB,"321 Cmp, 451 Att, 3563 Yds, 19 TD",1985,Long Beach State,Mike Sheppard
Jeff Graham,,QB,"2 Cmp, 4 Att, 12 Yds, 0 TD",1985,Long Beach State,Mike Sheppard
Martin Sartin,,RB,"103 Att, 441 Yds, 4.3 Avg",1985,Long Beach State,Mike Sheppard
Michael Roberts,,RB,"45 Att, 247 Yds, 5.5 Avg",1985,Long Beach State,Mike Sheppard
Brian Browning,,RB,"44 Att, 179 Yds, 4.1 Avg",1985,Long Beach State,Mike Sheppard
Sheldon Gaines,,RB,"31 Att, 200 Yds, 6.5 Avg",1985,Long Beach State,Mike Sheppard
Mark Templeton,,RB,"62 Rec, 500 Yds, 8.1 Avg",1985,Long Beach State,Mike Sheppard
John Cook,,RB,"4 Att, 9 Yds, 2.3 Avg",1985,Long Beach State,Mike Sheppard
Charles Lockett,,WR,"69 Rec, 949 Yds, 13.8 Avg",1985,Long Beach State,Mike Sheppard
Troy Ory,,WR,"46 Rec, 554 Yds, 12.0 Avg",1985,Long Beach State,Mike Sheppard
Kwante Hampton,,WR,"9 Rec, 142 Yds, 15.8 Avg",1985,Long Beach State,Mike Sheppard
Jamie Craft,,WR,"1 Rec, 4 Yds, 4.0 Avg",1985,Long Beach State,Mike Sheppard
Jerry Howard,,WR,"1 Rec, 8 Yds, 8.0 Avg",1985,Long Beach State,Mike Sheppard
Greg Locy,,TE,"38 Rec, 502 Yds, 13.2 Avg",1985,Long Beach State,Mike Sheppard
Rick Trigueiro,,TE,"3 Rec, 24 Yds, 8.0 Avg",1985,Long Beach State,Mike Sheppard
David Caylor,,K,,1985,Long Beach State,Mike Sheppard
Gene Lemmers,,K,,1985,Long Beach State,Mike Sheppard
Chuck Meierbachtol,,DL,,1985,Long Beach State,Mike Sheppard
Curtis Cummings,,LB,,1985,Long Beach State,Mike Sheppard
Mac McKeever,,LB,,1985,Long Beach State,Mike Sheppard
Kevin Moore,,LB,,1985,Long Beach State,Mike Sheppard
Stacey Alexander,,DB,,1985,Long Beach State,Mike Sheppard
Roger Beavers,,DB,,1985,Long Beach State,Mike Sheppard
Ron Frost,,DB,,1985,Long Beach State,Mike Sheppard
Val James,,DB,,1985,Long Beach State,Mike Sheppard
Anthony Reynolds,,DB,,1985,Long Beach State,Mike Sheppard
Gary Ryan,,DB,,1985,Long Beach State,Mike Sheppard
Dana Ramsey,,P,,1985,Long Beach State,Mike Sheppard
Jeff Graham,,QB,"245 Cmp, 426 Att, 2921 Yds, 20 TD",1986,Long Beach State,Mike Sheppard
