Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,1991,NFL,5,138,BUF,Shawn Wilbourn,DB,Long Beach State,Mike Sheppard
2,1989,NFL,4,87,GNB,Jeff Graham,QB,Long Beach State,Mike Sheppard
3,1989,NFL,12,322,SEA,R.J. Kors,DB,Long Beach State,Mike Sheppard
4,1987,NFL,3,66,PIT,Charles Lockett,WR,Long Beach State,Mike Sheppard
5,1986,NFL,4,99,CIN,Doug Gaynor,QB,Long Beach State,Mike Sheppard
6,1985,NFL,3,69,SDG,John Hendy,DB,Long Beach State,Mike Sheppard
7,1984,NFL,3*,67,MIN,David Howard,LB,Long Beach State,Mike Sheppard
8,1984,NFL,8,216,SEA,John Puzar,C,Long Beach State,Mike Sheppard
9,1982,NFL,9,235,ATL,Mike Horan,P,Long Beach State,Mike Sheppard
10,1981,NFL,3,60,NYJ,Ben Rudolph,DT,Long Beach State,Mike Sheppard
11,1981,NFL,7,170,SEA,Ron Johnson,WR,Long Beach State,Mike Sheppard
12,1978,NFL,1,24,SFO,Dan Bunz,LB,Long Beach State,Mike Sheppard
13,1977,NFL,4,92,KAN,Mark Bailey,RB,Long Beach State,Mike Sheppard
14,1976,NFL,3,68,DET,Russ Bolinger,G,Long Beach State,Mike Sheppard
15,1976,NFL,9,253,DET,Leanell Jones,TE,Long Beach State,Mike Sheppard
16,1976,NFL,10,273,PHI,Herb Lusk II,RB,Long Beach State,Mike Sheppard
17,1975,NFL,8,202,STL,Louis Lauriano,DB,Long Beach State,Mike Sheppard
18,1974,NFL,14,341,SDG,Greg Bailey,DB,Long Beach State,Mike Sheppard
19,1974,NFL,15,372,SFO,Leonard Gray,TE,Long Beach State,Mike Sheppard
20,1973,NFL,3,63,STL,Terry Metcalf,RB,Long Beach State,Mike Sheppard
21,1972,NFL,6,153,KAN,John Kahler,DE,Long Beach State,Mike Sheppard
22,1972,NFL,7,167,CHI,Jim Fassel,QB,Long Beach State,Mike Sheppard
23,1972,NFL,11,270,SDG,John Turner,TE,Long Beach State,Mike Sheppard
