Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2020,NFL,7,224,TEN,Cole McDonald,QB,Hawaii,Norm Chow
2,2019,NFL,2,43,DET,Jahlani Tavai,LB,Hawaii,Norm Chow
3,2019,NFL,7,236,SEA,John Ursua,WR,Hawaii,Norm Chow
4,2015,NFL,7,231,TAM,Joey Iosefa,FB,Hawaii,Norm Chow
5,2012,NFL,7,209,STL,Aaron Brown,LB,Hawaii,Norm Chow
6,2011,NFL,3,96,GNB,Alex Green,RB,Hawaii,Norm Chow
7,2011,NFL,4,112,STL,Greg Salas,WR,Hawaii,Norm Chow
8,2011,NFL,5,132,CAR,Kealoha Pilares,WR,Hawaii,Norm Chow
9,2009,NFL,2,52,CLE,David Veikune,LB,Hawaii,Norm Chow
10,2009,NFL,3,94,TEN,Ryan Mouton,DB,Hawaii,Norm Chow
11,2009,NFL,6,198,NWE,Jake Ingram,C,Hawaii,Norm Chow
12,2008,NFL,6,186,WAS,Colt Brennan,QB,Hawaii,Norm Chow
13,2007,NFL,2,58,DET,Ikaika Alama-Francis,DE,Hawaii,Norm Chow
14,2007,NFL,2,60,MIA,Samson Satele,C,Hawaii,Norm Chow
15,2007,NFL,6,181,MIA,Reagan Maui'a,RB,Hawaii,Norm Chow
16,2007,NFL,6,200,CLE,Melila Purcell,DE,Hawaii,Norm Chow
17,2007,NFL,7,236,PHI,Nate Ilaoa,RB,Hawaii,Norm Chow
18,2005,NFL,6,185,JAX,Chad Owens,WR,Hawaii,Norm Chow
19,2004,NFL,2,42,TEN,Travis LaBoy,DE,Hawaii,Norm Chow
20,2004,NFL,4,104,SFO,Isaac Sopoaga,DT,Hawaii,Norm Chow
21,2003,NFL,2,43,STL,Pisa Tinoisamoa,LB,Hawaii,Norm Chow
22,2003,NFL,3,72,JAX,Vince Manuwai,G,Hawaii,Norm Chow
23,2003,NFL,3,73,SEA,Wayne Hunter,T,Hawaii,Norm Chow
24,2002,NFL,1,19,DEN,Ashley Lelie,WR,Hawaii,Norm Chow
25,2001,NFL,7,219,ATL,Kynan Forney,G,Hawaii,Norm Chow
26,2000,NFL,2,46,NWE,Adrian Klemm,G,Hawaii,Norm Chow
27,2000,NFL,3,86,SFO,Jeff Ulbrich,LB,Hawaii,Norm Chow
28,2000,NFL,4,104,STL,Kaulana Noa,T,Hawaii,Norm Chow
29,1994,NFL,4,122,PIT,Ta'ase Faumui,DE,Hawaii,Norm Chow
30,1993,NFL,3,70,DEN,Jason Elam,K,Hawaii,Norm Chow
31,1993,NFL,8,209,RAM,Maa Tanuvasa,DE,Hawaii,Norm Chow
32,1993,NFL,8,220,TAM,Darrick Branch,WR,Hawaii,Norm Chow
33,1992,NFL,6,160,PHI,Jeff Sydner,WR,Hawaii,Norm Chow
34,1990,NFL,3,60,SDG,Leo Goeas,G,Hawaii,Norm Chow
35,1988,NFL,3,71,MIN,Al Noga,DE,Hawaii,Norm Chow
36,1988,NFL,10,271,HOU,Marco Johnson,WR,Hawaii,Norm Chow
37,1987,NFL,3,70,STL,Colin Scotts,DT,Hawaii,Norm Chow
