Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
35,2017,NFL,1,9,CIN,John Ross,WR,Washington,Steve Sarkisian
36,2017,NFL,2,33,GNB,Kevin King,CB,Washington,Steve Sarkisian
40,2016,NFL,6,220,PIT,Travis Feeney,OLB,Washington,Steve Sarkisian
41,2016,NFL,7,236,DET,Dwayne Washington,RB,Washington,Steve Sarkisian
42,2015,NFL,1,12,CLE,Danny Shelton,NT,Washington,Steve Sarkisian
43,2015,NFL,1,18,KAN,Marcus Peters,CB,Washington,Steve Sarkisian
44,2015,NFL,1,25,CAR,Shaq Thompson,OLB,Washington,Steve Sarkisian
45,2015,NFL,2,44,NOR,Hau'oli Kikaha,OLB,Washington,Steve Sarkisian
46,2014,NFL,2,38,TAM,Austin Seferian-Jenkins,TE,Washington,Steve Sarkisian
47,2014,NFL,2,54,TEN,Bishop Sankey,RB,Washington,Steve Sarkisian
48,2013,NFL,1,22,ATL,Desmond Trufant,DB,Washington,Steve Sarkisian
49,2012,NFL,4,109,PIT,Alameda Ta'amu,DT,Washington,Steve Sarkisian
50,2012,NFL,5,151,ARI,Senio Kelemete,G,Washington,Steve Sarkisian
51,2011,NFL,1,8,TEN,Jake Locker,QB,Washington,Steve Sarkisian
52,2011,NFL,3,84,TAM,Mason Foster,LB,Washington,Steve Sarkisian
53,2010,NFL,3,79,SDG,Donald Butler,LB,Washington,Steve Sarkisian
54,2010,NFL,3,86,PHI,Daniel Te'o-Nesheim,DE,Washington,Steve Sarkisian
2,2025,NFL,1,20,DEN,Jahdae Barron,CB,Texas,Steve Sarkisian
3,2025,NFL,1,23,GNB,Matthew Golden,WR,Texas,Steve Sarkisian
4,2025,NFL,2,43,SFO,Alfred Collins,DT,Texas,Steve Sarkisian
5,2025,NFL,2,64,PHI,Andrew Mukuba,SAF,Texas,Steve Sarkisian
6,2025,NFL,3,71,NOR,Vernon Broughton,DT,Texas,Steve Sarkisian
7,2025,NFL,4,120,TEN,Gunnar Helm,TE,Texas,Steve Sarkisian
8,2025,NFL,4,124,GNB,Barryn Sorrell,DE,Texas,Steve Sarkisian
9,2025,NFL,5,149,DAL,Jaydon Blue,RB,Texas,Steve Sarkisian
10,2025,NFL,6,207,PHI,Cameron Williams,OL,Texas,Steve Sarkisian
11,2025,NFL,6,211,ARI,Hayden Conner,OL,Texas,Steve Sarkisian
12,2025,NFL,7,231,MIA,Quinn Ewers,QB,Texas,Steve Sarkisian
14,2024,NFL,1,28,KAN,Xavier Worthy,WR,Texas,Steve Sarkisian
15,2024,NFL,2,38,TEN,T'Vondre Sweat,DL,Texas,Steve Sarkisian
16,2024,NFL,2,46,CAR,Jonathon Brooks,RB,Texas,Steve Sarkisian
17,2024,NFL,2,52,IND,Adonai Mitchell,WR,Texas,Steve Sarkisian
18,2024,NFL,4,101,CAR,Ja'Tavion Sanders,TE,Texas,Steve Sarkisian
19,2024,NFL,5,162,ARI,Christian Jones,OL,Texas,Steve Sarkisian
20,2024,NFL,5,167,JAX,Keilan Robinson,RB,Texas,Steve Sarkisian
21,2024,NFL,5,175,NOR,Jaylan Ford,LB,Texas,Steve Sarkisian
22,2024,NFL,6,195,PIT,Ryan Watts,SAF,Texas,Steve Sarkisian
23,2024,NFL,6,213,LAR,Jordan Whittington,WR,Texas,Steve Sarkisian
24,2023,NFL,1,8,ATL,Bijan Robinson,RB,Texas,Steve Sarkisian
25,2023,NFL,3,90,DAL,DeMarvion Overshown,LB,Texas,Steve Sarkisian
26,2023,NFL,4,115,CHI,Roschon Johnson,RB,Texas,Steve Sarkisian
27,2023,NFL,6,194,KAN,Keondre Coburn,DT,Texas,Steve Sarkisian
28,2023,NFL,7,249,PHI,Moro Ojomo,DE,Texas,Steve Sarkisian
