Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
112,2005,NFL,1,10,DET,Mike Williams,WR,USC,Ted Tollner
31,2006,NFL,6,190,KAN,Jeff Webb,WR,San Diego State,Ted Tollner
33,2005,NFL,3,78,OAK,Kirk Morrison,LB,San Diego State,Ted Tollner
34,2005,NFL,4,115,GNB,Marviel Underwood,DB,San Diego State,Ted Tollner
35,2004,NFL,5,152,DEN,Jeff Shoate,DB,San Diego State,Ted Tollner
36,2003,NFL,5,169,MIA,J.R. Tolver,WR,San Diego State,Ted Tollner
38,2002,NFL,6,197,OAK,Larry Ned,RB,San Diego State,Ted Tollner
43,1998,NFL,1,7,NOR,Kyle Turley,T,San Diego State,Ted Tollner
44,1998,NFL,4,96,STL,Az-Zahir Hakim,WR,San Diego State,Ted Tollner
46,1997,NFL,2,53,PIT,Will Blackwell,WR,San Diego State,Ted Tollner
48,1997,NFL,5,154,PIT,George Jones,RB,San Diego State,Ted Tollner
49,1997,NFL,6,201,CHI,Ricky Parker,DB,San Diego State,Ted Tollner
51,1996,NFL,7,250,WAS,DeAndre Maxwell,WR,San Diego State,Ted Tollner
