Player,Class,Pos,Summary,Year,School,Coach
Tim Gutierrez,,QB,"139 Cmp, 219 Att, 1575 Yds, 11 TD",1994,San Diego State,Ted Tollner
Billy Blanton,,QB,"112 Cmp, 178 Att, 1586 Yds, 15 TD",1994,San Diego State,Ted Tollner
Kevin McKechnie,,QB,"6 Cmp, 13 Att, 83 Yds, 1 TD",1994,San Diego State,Ted Tollner
Wayne Pittman,,RB,"274 Att, 1136 Yds, 4.1 Avg",1994,San Diego State,Ted Tollner
Frank Brady,,RB,"27 Att, 119 Yds, 4.4 Avg",1994,San Diego State,Ted Tollner
Freddie Edwards,,RB,"18 Att, 78 Yds, 4.3 Avg",1994,San Diego State,Ted Tollner
Ken Overby,,RB,"12 Att, 38 Yds, 3.2 Avg",1994,San Diego State,Ted Tollner
Ray Peterson,,WR,"27 Rec, 337 Yds, 12.5 Avg",1994,San Diego State,Ted Tollner
Daryl Hawkins,,WR,"13 Rec, 169 Yds, 13.0 Avg",1994,San Diego State,Ted Tollner
DeAndre Maxwell,,WR,"47 Rec, 591 Yds, 12.6 Avg",1994,San Diego State,Ted Tollner
Az-Zahir Hakim,,WR,"17 Rec, 370 Yds, 21.8 Avg",1994,San Diego State,Ted Tollner
Curtis Shearer,,WR,"55 Rec, 737 Yds, 13.4 Avg",1994,San Diego State,Ted Tollner
Will Blackwell,,WR,"51 Rec, 689 Yds, 13.5 Avg",1994,San Diego State,Ted Tollner
Marc Ziegler,,TE,"9 Rec, 81 Yds, 9.0 Avg",1994,San Diego State,Ted Tollner
Zach Smith,,TE,"8 Rec, 59 Yds, 7.4 Avg",1994,San Diego State,Ted Tollner
Curt Collins,,TE,"4 Rec, 71 Yds, 17.8 Avg",1994,San Diego State,Ted Tollner
Mark Roe,,OL,,1994,San Diego State,Ted Tollner
Matt George,,K,,1994,San Diego State,Ted Tollner
Peter Holt,,K,,1994,San Diego State,Ted Tollner
Avo Avetisyan,,DL,,1994,San Diego State,Ted Tollner
Scott Blade,,LB,,1994,San Diego State,Ted Tollner
Dwight Chornomud,,LB,,1994,San Diego State,Ted Tollner
Craigus Thompson,,LB,,1994,San Diego State,Ted Tollner
Leonard Jones,,DB,,1994,San Diego State,Ted Tollner
John McCartney,,DB,,1994,San Diego State,Ted Tollner
Jason Moore,,DB,,1994,San Diego State,Ted Tollner
Ricky Parker,,DB,,1994,San Diego State,Ted Tollner
Steve Robinson,,DB,,1994,San Diego State,Ted Tollner
Eric Sutton,,DB,,1994,San Diego State,Ted Tollner
Tyron Wright,,DB,,1994,San Diego State,Ted Tollner
Hassan Halevy,,P,,1994,San Diego State,Ted Tollner
Ed Kaszycki,,P,,1994,San Diego State,Ted Tollner
Billy Blanton,,QB,"243 Cmp, 389 Att, 3300 Yds, 23 TD",1995,San Diego State,Ted Tollner
Kevin McKechnie,,QB,"3 Cmp, 5 Att, 52 Yds, 1 TD",1995,San Diego State,Ted Tollner
George Jones,,RB,"305 Att, 1842 Yds, 6.0 Avg",1995,San Diego State,Ted Tollner
Dayna Overton,,RB,"45 Att, 249 Yds, 5.5 Avg",1995,San Diego State,Ted Tollner
Justin Watson,,RB,"38 Att, 203 Yds, 5.3 Avg",1995,San Diego State,Ted Tollner
Tyrone Evans,,RB,"16 Att, 112 Yds, 7.0 Avg",1995,San Diego State,Ted Tollner
Ken Overby,,RB,,1995,San Diego State,Ted Tollner
Az-Zahir Hakim,,WR,"57 Rec, 1022 Yds, 17.9 Avg",1995,San Diego State,Ted Tollner
Ray Peterson,,WR,"12 Rec, 100 Yds, 8.3 Avg",1995,San Diego State,Ted Tollner
Will Blackwell,,WR,"86 Rec, 1207 Yds, 14.0 Avg",1995,San Diego State,Ted Tollner
DeAndre Maxwell,,WR,"36 Rec, 494 Yds, 13.7 Avg",1995,San Diego State,Ted Tollner
Daryl Hawkins,,WR,"14 Rec, 193 Yds, 13.8 Avg",1995,San Diego State,Ted Tollner
Theron Hill,,WR,,1995,San Diego State,Ted Tollner
Zach Smith,,TE,"13 Rec, 111 Yds, 8.5 Avg",1995,San Diego State,Ted Tollner
Obafemi Ayanbadejo,,TE,"1 Rec, 13 Yds, 13.0 Avg",1995,San Diego State,Ted Tollner
Peter Holt,,K,,1995,San Diego State,Ted Tollner
Joe Jackson,,LB,,1995,San Diego State,Ted Tollner
Sam Lawanson,,LB,,1995,San Diego State,Ted Tollner
Craigus Thompson,,LB,,1995,San Diego State,Ted Tollner
Joseph Tuipala,,LB,,1995,San Diego State,Ted Tollner
Craig Crosby,,DB,,1995,San Diego State,Ted Tollner
Eric Lewis,,DB,,1995,San Diego State,Ted Tollner
John McCartney,,DB,,1995,San Diego State,Ted Tollner
Julius McChristian,,DB,,1995,San Diego State,Ted Tollner
Jason Moore,,DB,,1995,San Diego State,Ted Tollner
Ricky Parker,,DB,,1995,San Diego State,Ted Tollner
Noel Prefontaine,,P,,1995,San Diego State,Ted Tollner
Billy Blanton,,QB,"227 Cmp, 344 Att, 3221 Yds, 29 TD",1996,San Diego State,Ted Tollner
Kevin McKechnie,,QB,"7 Cmp, 15 Att, 76 Yds, 0 TD",1996,San Diego State,Ted Tollner
George Jones,,RB,"181 Att, 968 Yds, 5.3 Avg",1996,San Diego State,Ted Tollner
Justin Watson,,RB,"64 Att, 434 Yds, 6.8 Avg",1996,San Diego State,Ted Tollner
Marty Graham,,RB,"61 Att, 295 Yds, 4.8 Avg",1996,San Diego State,Ted Tollner
John Clayton,,RB,"25 Att, 105 Yds, 4.2 Avg",1996,San Diego State,Ted Tollner
Jonas Lewis,,RB,"24 Att, 113 Yds, 4.7 Avg",1996,San Diego State,Ted Tollner
Tyrone Evans,,RB,"8 Att, 19 Yds, 2.4 Avg",1996,San Diego State,Ted Tollner
Dayna Overton,,RB,"4 Att, 11 Yds, 2.8 Avg",1996,San Diego State,Ted Tollner
Az-Zahir Hakim,,WR,"36 Rec, 635 Yds, 17.6 Avg",1996,San Diego State,Ted Tollner
Will Blackwell,,WR,"60 Rec, 1000 Yds, 16.7 Avg",1996,San Diego State,Ted Tollner
Leandrew Childs,,WR,"52 Rec, 745 Yds, 14.3 Avg",1996,San Diego State,Ted Tollner
Nathaniel Jacquet,,WR,"19 Rec, 374 Yds, 19.7 Avg",1996,San Diego State,Ted Tollner
Jesus Reyes,,WR,"3 Rec, 72 Yds, 24.0 Avg",1996,San Diego State,Ted Tollner
Taj Johnson,,WR,"2 Rec, 9 Yds, 4.5 Avg",1996,San Diego State,Ted Tollner
John Cotton,,WR,"1 Rec, 14 Yds, 14.0 Avg",1996,San Diego State,Ted Tollner
Obafemi Ayanbadejo,,TE,"26 Rec, 194 Yds, 7.5 Avg",1996,San Diego State,Ted Tollner
Chad Flick,,TE,"3 Rec, 28 Yds, 9.3 Avg",1996,San Diego State,Ted Tollner
Mike Hatch,,TE,"1 Rec, 7 Yds, 7.0 Avg",1996,San Diego State,Ted Tollner
Peter Holt,,K,,1996,San Diego State,Ted Tollner
Adrian Ioja,,DL,,1996,San Diego State,Ted Tollner
Joe Jackson,,LB,,1996,San Diego State,Ted Tollner
Andy Osborne,,LB,,1996,San Diego State,Ted Tollner
Julius McChristian,,DB,,1996,San Diego State,Ted Tollner
Scott Auerbach,,DB,,1996,San Diego State,Ted Tollner
Rico Curtis,,DB,,1996,San Diego State,Ted Tollner
Freddie Edwards,,DB,,1996,San Diego State,Ted Tollner
James Heggins,,DB,,1996,San Diego State,Ted Tollner
Jason Moore,,DB,,1996,San Diego State,Ted Tollner
Ricky Parker,,DB,,1996,San Diego State,Ted Tollner
Sheldon Pope,,DB,,1996,San Diego State,Ted Tollner
Noel Prefontaine,,P,,1996,San Diego State,Ted Tollner
Kevin McKechnie,,QB,"107 Cmp, 179 Att, 1449 Yds, 10 TD",1997,San Diego State,Ted Tollner
Mike Smith,,QB,"5 Cmp, 17 Att, 76 Yds, 1 TD",1997,San Diego State,Ted Tollner
Spencer Brinton,,QB,"73 Cmp, 162 Att, 1097 Yds, 6 TD",1997,San Diego State,Ted Tollner
Jonas Lewis,,RB,"226 Att, 1020 Yds, 4.5 Avg",1997,San Diego State,Ted Tollner
Justin Watson,,RB,"74 Att, 242 Yds, 3.3 Avg",1997,San Diego State,Ted Tollner
Marty Graham,,RB,"18 Att, 47 Yds, 2.6 Avg",1997,San Diego State,Ted Tollner
Brandon Seals,,RB,"5 Att, 7 Yds, 1.4 Avg",1997,San Diego State,Ted Tollner
Tyrone Evans,,WR,"5 Rec, 4 Yds, 0.8 Avg",1997,San Diego State,Ted Tollner
Jesus Reyes,,WR,"31 Rec, 462 Yds, 14.9 Avg",1997,San Diego State,Ted Tollner
Az-Zahir Hakim,,WR,"37 Rec, 595 Yds, 16.1 Avg",1997,San Diego State,Ted Tollner
Damon Gourdine,,WR,"21 Rec, 282 Yds, 13.4 Avg",1997,San Diego State,Ted Tollner
Sean Pierce,,WR,"10 Rec, 86 Yds, 8.6 Avg",1997,San Diego State,Ted Tollner
Lonny Mitchell,,WR,"8 Rec, 138 Yds, 17.3 Avg",1997,San Diego State,Ted Tollner
John Cotton,,WR,"1 Rec, 32 Yds, 32.0 Avg",1997,San Diego State,Ted Tollner
Taj Johnson,,WR,"44 Rec, 802 Yds, 18.2 Avg",1997,San Diego State,Ted Tollner
Chad Flick,,TE,"12 Rec, 79 Yds, 6.6 Avg",1997,San Diego State,Ted Tollner
Mike Hatch,,TE,"3 Rec, 49 Yds, 16.3 Avg",1997,San Diego State,Ted Tollner
Gray McNeill,,TE,"3 Rec, 25 Yds, 8.3 Avg",1997,San Diego State,Ted Tollner
Ben Mecham,,TE,"2 Rec, 29 Yds, 14.5 Avg",1997,San Diego State,Ted Tollner
Nate Tandberg,,K,,1997,San Diego State,Ted Tollner
Joe Jackson,,LB,,1997,San Diego State,Ted Tollner
Andy Osborne,,LB,,1997,San Diego State,Ted Tollner
Tim Sulick,,LB,,1997,San Diego State,Ted Tollner
Eric Lewis,,DB,,1997,San Diego State,Ted Tollner
Aazaar Abdul-Rahim,,DB,,1997,San Diego State,Ted Tollner
Richard Ashley,,DB,,1997,San Diego State,Ted Tollner
Rico Curtis,,DB,,1997,San Diego State,Ted Tollner
James Heggins,,DB,,1997,San Diego State,Ted Tollner
Jason Moore,,DB,,1997,San Diego State,Ted Tollner
Sheldon Pope,,DB,,1997,San Diego State,Ted Tollner
Don Copeland,,P,,1997,San Diego State,Ted Tollner
Kyle Turley,,,,1997,San Diego State,Ted Tollner
Brian Russell,,QB,"123 Cmp, 230 Att, 1438 Yds, 8 TD",1998,San Diego State,Ted Tollner
Dusty Harris,,QB,"4 Cmp, 8 Att, 26 Yds, 0 TD",1998,San Diego State,Ted Tollner
Spencer Brinton,,QB,"17 Cmp, 31 Att, 152 Yds, 0 TD",1998,San Diego State,Ted Tollner
Jonas Lewis,,RB,"181 Att, 897 Yds, 5.0 Avg",1998,San Diego State,Ted Tollner
Larry Ned,,RB,"153 Att, 762 Yds, 5.0 Avg",1998,San Diego State,Ted Tollner
Mike Williams,,RB,"35 Att, 119 Yds, 3.4 Avg",1998,San Diego State,Ted Tollner
James Truvillion,,RB,"7 Att, 15 Yds, 2.1 Avg",1998,San Diego State,Ted Tollner
