Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2025,NFL,3,97,HOU,Jaylin Smith,CB,USC,Ted Tollner
2,2025,NFL,4,116,HOU,Woody Marks,RB,USC,Ted Tollner
3,2025,NFL,7,221,JAX,Jonah Monheim,OL,USC,Ted Tollner
4,2024,NFL,1,1,CHI,Caleb Williams,QB,USC,Ted Tollner
5,2024,NFL,3,78,HOU,Calen Bullock,SAF,USC,Ted Tollner
6,2024,NFL,3,88,GNB,MarShawn Lloyd,RB,USC,Ted Tollner
7,2024,NFL,6,215,SFO,Jarrett Kingston,OL,USC,Ted Tollner
8,2024,NFL,7,225,LAC,Brenden Rice,WR,USC,Ted Tollner
9,2024,NFL,7,238,HOU,Solomon Byrd,DE,USC,Ted Tollner
10,2024,NFL,7,241,MIA,Tahj Washington,WR,USC,Ted Tollner
11,2023,NFL,1,23,MIN,Jordan Addison,WR,USC,Ted Tollner
12,2023,NFL,2,54,LAC,Tuli Tuipulotu,DL,USC,Ted Tollner
13,2023,NFL,3,102,MIN,Mekhi Blackmon,CB,USC,Ted Tollner
14,2023,NFL,7,229,BAL,Andrew Vorhees,OL,USC,Ted Tollner
15,2022,NFL,1,8,ATL,Drake London,WR,USC,Ted Tollner
16,2022,NFL,2,61,SFO,Drake Jackson,OLB,USC,Ted Tollner
17,2022,NFL,6,201,ARI,Keaontay Ingram,RB,USC,Ted Tollner
18,2021,NFL,1,14,NYJ,Alijah Vera-Tucker,OL,USC,Ted Tollner
19,2021,NFL,4,106,JAX,Jay Tufele,DL,USC,Ted Tollner
20,2021,NFL,4,112,DET,Amon-Ra St. Brown,WR,USC,Ted Tollner
21,2021,NFL,5,180,SFO,Talanoa Hufanga,S,USC,Ted Tollner
22,2021,NFL,6,189,PHI,Marlon Tuipulotu,DL,USC,Ted Tollner
23,2020,NFL,1,18,MIA,Austin Jackson,T,USC,Ted Tollner
24,2020,NFL,2,34,IND,Michael Pittman Jr.,WR,USC,Ted Tollner
25,2019,NFL,3,92,NYJ,Chuma Edoga,T,USC,Ted Tollner
26,2019,NFL,4,127,BAL,Iman Marshall,CB,USC,Ted Tollner
27,2019,NFL,5,144,IND,Marvell Tell III,S,USC,Ted Tollner
28,2019,NFL,5,162,MIN,Cameron Smith,LB,USC,Ted Tollner
