Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
59,2005,NFL,4,118,NOR,Chase Lyman,WR,California,Tom Holmoe
62,2004,NFL,5,151,WAS,Mark Wilson,TE,California,Tom Holmoe
63,2004,NFL,7,208,CLE,Adimchinobe Echemandu,RB,California,Tom Holmoe
64,2003,NFL,1,19,BAL,Kyle Boller,QB,California,Tom Holmoe
65,2003,NFL,1,31,OAK,Nnamdi Asomugha,DB,California,Tom Holmoe
66,2003,NFL,6,184,STL,Scott Tercero,G,California,Tom Holmoe
67,2003,NFL,7,239,NWE,Tully Banta-Cain,LB,California,Tom Holmoe
68,2002,NFL,2,53,OAK,Langston Walker,T,California,Tom Holmoe
69,2002,NFL,5,143,KAN,Scott Fujita,LB,California,Tom Holmoe
70,2001,NFL,1,7,SFO,Andre Carter,DE,California,Tom Holmoe
71,2001,NFL,4,120,DEN,Nick Harris,P,California,Tom Holmoe
72,2000,NFL,1,15,DEN,Deltha O'Neal,DB,California,Tom Holmoe
73,2000,NFL,6,192,PHI,John Romero,C,California,Tom Holmoe
74,2000,NFL,7,215,ARI,Sekou Sanyika,LB,California,Tom Holmoe
75,2000,NFL,7,217,NYG,Jeremiah Parker,DE,California,Tom Holmoe
77,1999,NFL,4,97,PHI,John Welbourn,G,California,Tom Holmoe
78,1999,NFL,4,102,OAK,Dameane Douglas,WR,California,Tom Holmoe
79,1999,NFL,5,150,TAM,John McLaughlin,DE,California,Tom Holmoe
80,1998,NFL,2,58,SFO,Jeremy Newberry,C,California,Tom Holmoe
81,1998,NFL,4,112,PHI,Brandon Whiting,DE,California,Tom Holmoe
82,1998,NFL,6,169,SEA,Bobby Shaw,WR,California,Tom Holmoe
83,1998,NFL,7,223,DAL,Tarik Smith,RB,California,Tom Holmoe
