Player,Class,Pos,Summary,Year,School,Coach
Justin Vedder*,,QB,"221 Cmp, 390 Att, 2718 Yds, 20 TD",1997,California,Tom Holmoe
Tarik Smith*,,RB,"162 Att, 636 Yds, 3.9 Avg",1997,California,Tom Holmoe
Joshua White*,,RB,"51 Att, 180 Yds, 3.5 Avg",1997,California,Tom Holmoe
Marcus Fields,,RB,"95 Att, 419 Yds, 4.4 Avg",1997,California,Tom Holmoe
Deltha O'Neal,,RB,"36 Att, 172 Yds, 4.8 Avg",1997,California,Tom Holmoe
Marc Vera,,RB,"22 Rec, 198 Yds, 9.0 Avg",1997,California,Tom Holmoe
Mike Freeman,,RB,"10 Att, 32 Yds, 3.2 Avg",1997,California,Tom Holmoe
Brandon Willis,,RB,"6 Att, 37 Yds, 6.2 Avg",1997,California,Tom Holmoe
Bobby Shaw*,,WR,"75 Rec, 1093 Yds, 14.6 Avg",1997,California,Tom Holmoe
Dameane Douglas*,,WR,"53 Rec, 610 Yds, 11.5 Avg",1997,California,Tom Holmoe
Kofi Nartey,,WR,"16 Rec, 193 Yds, 12.1 Avg",1997,California,Tom Holmoe
Bruce Pierre,,WR,"3 Rec, 35 Yds, 11.7 Avg",1997,California,Tom Holmoe
Phillip Pipersburg,,WR,"3 Rec, 71 Yds, 23.7 Avg",1997,California,Tom Holmoe
Reed Diehl,,WR,"1 Rec, 2 Yds, 2.0 Avg",1997,California,Tom Holmoe
Brian Surgener*,,TE,"12 Rec, 168 Yds, 14.0 Avg",1997,California,Tom Holmoe
A.J. Kunkle,,TE,"4 Rec, 34 Yds, 8.5 Avg",1997,California,Tom Holmoe
Corey Smith,,TE,"1 Rec, 7 Yds, 7.0 Avg",1997,California,Tom Holmoe
Jeremy Newberry*,,OL,,1997,California,Tom Holmoe
Brian Shields*,,OL,,1997,California,Tom Holmoe
Kevin Swillis*,,OL,,1997,California,Tom Holmoe
Todd Welbourn*,,OL,,1997,California,Tom Holmoe
Yauger Williams*,,OL,,1997,California,Tom Holmoe
Drake Parker,,OL,,1997,California,Tom Holmoe
Kursten Sheridan,,OL,,1997,California,Tom Holmoe
Ignacio Brache,,K,,1997,California,Tom Holmoe
Tim Wolleck,,K,,1997,California,Tom Holmoe
Andre Carter*,,DL,,1997,California,Tom Holmoe
Jerry DeLoach*,,DL,,1997,California,Tom Holmoe
John McLaughlin*,,DL,,1997,California,Tom Holmoe
Brandon Whiting*,,DL,,1997,California,Tom Holmoe
James Gibson,,DL,,1997,California,Tom Holmoe
Jeremiah Parker,,DL,,1997,California,Tom Holmoe
Mawuko Tugbenyoh,,DL,,1997,California,Tom Holmoe
Matt Beck*,,LB,,1997,California,Tom Holmoe
Albert Dorsey*,,LB,,1997,California,Tom Holmoe
Sekou Sanyika*,,LB,,1997,California,Tom Holmoe
Josh Trowbridge,,LB,,1997,California,Tom Holmoe
Justin Flagg,,LB,,1997,California,Tom Holmoe
Pete DeStefano*,,DB,,1997,California,Tom Holmoe
Derrick Gardner*,,DB,,1997,California,Tom Holmoe
Kato Serwanga*,,DB,,1997,California,Tom Holmoe
Marquise Smith*,,DB,,1997,California,Tom Holmoe
David Burnside,,DB,,1997,California,Tom Holmoe
Chidi Iwuoma,,DB,,1997,California,Tom Holmoe
Nick Harris,,P,,1997,California,Tom Holmoe
Justin Vedder*,,QB,"210 Cmp, 386 Att, 2322 Yds, 11 TD",1998,California,Tom Holmoe
Samuel Clemons,,QB,"2 Cmp, 12 Att, 2 Yds, 0 TD",1998,California,Tom Holmoe
Marcus Fields*,,RB,"163 Att, 734 Yds, 4.5 Avg",1998,California,Tom Holmoe
Saleem Muhammad*,,RB,"36 Att, 128 Yds, 3.6 Avg",1998,California,Tom Holmoe
Marcus Oliver,,RB,"28 Att, 73 Yds, 2.6 Avg",1998,California,Tom Holmoe
Joshua White,,RB,"27 Att, 67 Yds, 2.5 Avg",1998,California,Tom Holmoe
Mike Freeman,,RB,"17 Att, 68 Yds, 4.0 Avg",1998,California,Tom Holmoe
Dameane Douglas*,,WR,"100 Rec, 1150 Yds, 11.5 Avg",1998,California,Tom Holmoe
Joel Young*,,WR,"28 Rec, 281 Yds, 10.0 Avg",1998,California,Tom Holmoe
Phillip Pipersburg,,WR,"4 Rec, 56 Yds, 14.0 Avg",1998,California,Tom Holmoe
Bruce Pierre,,WR,"6 Rec, 76 Yds, 12.7 Avg",1998,California,Tom Holmoe
Ronnie Davenport,,WR,"3 Rec, 61 Yds, 20.3 Avg",1998,California,Tom Holmoe
A.J. Kunkle*,,TE,"13 Rec, 128 Yds, 9.8 Avg",1998,California,Tom Holmoe
Brian Surgener,,TE,"9 Rec, 112 Yds, 12.4 Avg",1998,California,Tom Holmoe
Corey Smith,,TE,"6 Rec, 45 Yds, 7.5 Avg",1998,California,Tom Holmoe
Kevin Doherty*,,OL,,1998,California,Tom Holmoe
John Romero*,,OL,,1998,California,Tom Holmoe
Kevin Swillis*,,OL,,1998,California,Tom Holmoe
Langston Walker*,,OL,,1998,California,Tom Holmoe
John Welbourn*,,OL,,1998,California,Tom Holmoe
Brandon Ludwig,,OL,,1998,California,Tom Holmoe
Ignacio Brache,,K,,1998,California,Tom Holmoe
Tim Wolleck,,K,,1998,California,Tom Holmoe
Andre Carter*,,DL,,1998,California,Tom Holmoe
Jerry DeLoach*,,DL,,1998,California,Tom Holmoe
John McLaughlin*,,DL,,1998,California,Tom Holmoe
Jacob Waasdorp*,,DL,,1998,California,Tom Holmoe
Jeremiah Parker,,DL,,1998,California,Tom Holmoe
Mawuko Tugbenyoh,,DL,,1998,California,Tom Holmoe
Roy Jackson,,DL,,1998,California,Tom Holmoe
Matt Beck*,,LB,,1998,California,Tom Holmoe
Albert Dorsey*,,LB,,1998,California,Tom Holmoe
Sekou Sanyika*,,LB,,1998,California,Tom Holmoe
Scott Fujita,,LB,,1998,California,Tom Holmoe
Fa'avae Fa'avae,,LB,,1998,California,Tom Holmoe
Justin Flagg,,LB,,1998,California,Tom Holmoe
Keith Miller,,LB,,1998,California,Tom Holmoe
Pete DeStefano*,,DB,,1998,California,Tom Holmoe
Derrick Gardner*,,DB,,1998,California,Tom Holmoe
Chidi Iwuoma*,,DB,,1998,California,Tom Holmoe
