Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2025,NFL,3,85,KAN,Nohl Williams,CB,California,Tom Holmoe
2,2025,NFL,4,106,NWE,Craig Woodson,SAF,California,Tom Holmoe
3,2025,NFL,4,129,BAL,Teddye Buchanan,LB,California,Tom Holmoe
4,2025,NFL,6,183,TEN,Marcus Harris,DB,California,Tom Holmoe
5,2024,NFL,6,198,MIA,Patrick McMorris,DB,California,Tom Holmoe
6,2023,NFL,5,158,IND,Daniel Scott,S,California,Tom Holmoe
7,2022,NFL,7,224,MIA,Cameron Goode,OLB,California,Tom Holmoe
8,2022,NFL,7,254,CHI,Elijah Hicks,S,California,Tom Holmoe
9,2021,NFL,4,125,MIN,Camryn Bynum,CB,California,Tom Holmoe
10,2020,NFL,3,68,NYJ,Ashtyn Davis,S,California,Tom Holmoe
11,2020,NFL,4,134,ATL,Jaylinn Hawkins,S,California,Tom Holmoe
12,2020,NFL,6,202,ARI,Evan Weaver,LB,California,Tom Holmoe
13,2018,NFL,7,225,MIN,Devante Downs,LB,California,Tom Holmoe
14,2018,NFL,7,232,GNB,James Looney,DE,California,Tom Holmoe
15,2017,NFL,3,87,NYG,Davis Webb,QB,California,Tom Holmoe
16,2017,NFL,4,141,NYJ,Chad Hansen,WR,California,Tom Holmoe
17,2017,NFL,7,241,TEN,Khalfani Muhammad,RB,California,Tom Holmoe
18,2016,NFL,1,1,LAR,Jared Goff,QB,California,Tom Holmoe
19,2016,NFL,5,163,GNB,Trevor Davis,WR,California,Tom Holmoe
20,2016,NFL,7,237,NOR,Daniel Lasco,RB,California,Tom Holmoe
21,2016,NFL,7,243,SEA,Kenny Lawler,WR,California,Tom Holmoe
22,2014,NFL,3,98,GNB,Richard Rodgers,TE,California,Tom Holmoe
23,2014,NFL,4,126,NOR,Khairi Fortt,LB,California,Tom Holmoe
24,2013,NFL,3,76,SDG,Keenan Allen,WR,California,Tom Holmoe
25,2013,NFL,4,107,TEN,Brian Schwenke,C,California,Tom Holmoe
26,2013,NFL,5,145,SDG,Steve Williams,DB,California,Tom Holmoe
