Player,Class,Pos,Summary,Year,School,Coach
Wade Elmore,,QB,"58 Cmp, 138 Att, 758 Yds, 5 TD",1983,Tulane,Wally English
Bubby Brister,,QB,"25 Cmp, 50 Att, 197 Yds, 1 TD",1983,Tulane,Wally English
Mark Massey,,QB,"15 Cmp, 29 Att, 193 Yds, 1 TD",1983,Tulane,Wally English
Jon English,,QB,"97 Cmp, 184 Att, 1258 Yds, 6 TD",1983,Tulane,Wally English
Mike S. Jones,,RB,"87 Att, 360 Yds, 4.1 Avg",1983,Tulane,Wally English
Elton Veals,,RB,"99 Att, 471 Yds, 4.8 Avg",1983,Tulane,Wally English
Toddy Francis,,RB,"41 Att, 105 Yds, 2.6 Avg",1983,Tulane,Wally English
Kelvin Robinson,,RB,"30 Att, 103 Yds, 3.4 Avg",1983,Tulane,Wally English
Laraun Ambrose,,RB,"10 Att, 25 Yds, 2.5 Avg",1983,Tulane,Wally English
Jeff Alexander,,RB,"1 Att, 2 Yds, 2.0 Avg",1983,Tulane,Wally English
Wayne Smith,,WR,"35 Rec, 835 Yds, 23.9 Avg",1983,Tulane,Wally English
Larry Route,,WR,"38 Rec, 421 Yds, 11.1 Avg",1983,Tulane,Wally English
Robert Griffin,,WR,"25 Rec, 360 Yds, 14.4 Avg",1983,Tulane,Wally English
Craig Harrison,,WR,"12 Rec, 134 Yds, 11.2 Avg",1983,Tulane,Wally English
Tyrone Vaughns,,WR,"7 Rec, 120 Yds, 17.1 Avg",1983,Tulane,Wally English
Mark Savini,,TE,"26 Rec, 291 Yds, 11.2 Avg",1983,Tulane,Wally English
Randy Saffy,,OL,,1983,Tulane,Wally English
Tony Wood,,K,,1983,Tulane,Wally English
Clinton Wenzel,,DL,,1983,Tulane,Wally English
Burnell Dent,,LB,,1983,Tulane,Wally English
Darryl Tipton,,LB,,1983,Tulane,Wally English
Curt Baham,,DB,,1983,Tulane,Wally English
Gerald Broussard,,DB,,1983,Tulane,Wally English
Gene Harris,,DB,,1983,Tulane,Wally English
Treg Songy,,DB,,1983,Tulane,Wally English
Kevin Tate,,DB,,1983,Tulane,Wally English
Donald Ray Thomas,,DB,,1983,Tulane,Wally English
James Barkey,,P,,1983,Tulane,Wally English
Sammy Amarena,,P,,1983,Tulane,Wally English
Ken Karcher,,QB,"112 Cmp, 230 Att, 1341 Yds, 8 TD",1984,Tulane,Wally English
Dave McLaughlin,,QB,"71 Cmp, 149 Att, 866 Yds, 4 TD",1984,Tulane,Wally English
Melvin Adams,,RB,,1984,Tulane,Wally English
Mike S. Jones,,RB,"129 Att, 573 Yds, 4.4 Avg",1984,Tulane,Wally English
Joseph Caravello,,RB,"71 Att, 261 Yds, 3.7 Avg",1984,Tulane,Wally English
Lester Lavalais,,RB,"56 Att, 177 Yds, 3.2 Avg",1984,Tulane,Wally English
Laraun Ambrose,,RB,"44 Att, 137 Yds, 3.1 Avg",1984,Tulane,Wally English
Jeff Alexander,,RB,"8 Att, 16 Yds, 2.0 Avg",1984,Tulane,Wally English
Eddie Dowell,,RB,"3 Att, 4 Yds, 1.3 Avg",1984,Tulane,Wally English
Mitch Doze,,RB,,1984,Tulane,Wally English
Toddy Francis,,RB,,1984,Tulane,Wally English
Marc Zeno,,WR,"18 Rec, 349 Yds, 19.4 Avg",1984,Tulane,Wally English
Craig Harrison,,WR,"33 Rec, 509 Yds, 15.4 Avg",1984,Tulane,Wally English
Richie Crosby,,WR,"4 Rec, 73 Yds, 18.3 Avg",1984,Tulane,Wally English
Tyrone Vaughns,,WR,"4 Rec, 77 Yds, 19.3 Avg",1984,Tulane,Wally English
Jeff Wenhold,,WR,"1 Rec, 11 Yds, 11.0 Avg",1984,Tulane,Wally English
James Alexis,,WR,,1984,Tulane,Wally English
Larry Route,,TE,"46 Rec, 478 Yds, 10.4 Avg",1984,Tulane,Wally English
Wade Elmore,,TE,"13 Rec, 166 Yds, 12.8 Avg",1984,Tulane,Wally English
Mark Savini,,TE,"6 Rec, 124 Yds, 20.7 Avg",1984,Tulane,Wally English
Tony Wood,,K,,1984,Tulane,Wally English
Burnell Dent,,LB,,1984,Tulane,Wally English
Deno Jeter,,LB,,1984,Tulane,Wally English
Curt Baham,,DB,,1984,Tulane,Wally English
Gerald Broussard,,DB,,1984,Tulane,Wally English
Benny Burst,,DB,,1984,Tulane,Wally English
Gene Harris,,DB,,1984,Tulane,Wally English
Casey Howard,,DB,,1984,Tulane,Wally English
Treg Songy,,DB,,1984,Tulane,Wally English
Tookie Spann,,DB,,1984,Tulane,Wally English
Kevin Tate,,DB,,1984,Tulane,Wally English
Sammy Amarena,,P,,1984,Tulane,Wally English
James Barkey,,P,,1984,Tulane,Wally English
