Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2025,NFL,3,88,JAX,Caleb Ransaw,SAF,Tulane,Wally English
2,2025,NFL,7,237,GNB,Micah Robinson,CB,Tulane,Wally English
3,2024,NFL,6,182,TEN,Jha'Quan Jackson,WR,Tulane,Wally English
4,2024,NFL,7,245,GNB,Michael Pratt,QB,Tulane,Wally English
5,2023,NFL,3,81,TEN,Tyjae Spears,RB,Tulane,Wally English
6,2023,NFL,3,91,BUF,Dorian Williams,LB,Tulane,Wally English
7,2021,NFL,4,111,CIN,Cameron Sample,DE,Tulane,Wally English
8,2021,NFL,7,234,PHI,Patrick Johnson,DE,Tulane,Wally English
9,2020,NFL,5,173,CHI,Darnell Mooney,WR,Tulane,Wally English
10,2020,NFL,7,237,KAN,Thakarius Keyes,CB,Tulane,Wally English
11,2019,NFL,7,221,CLE,Donnie Lewis,CB,Tulane,Wally English
12,2018,NFL,6,179,NYJ,Parry Nickerson,CB,Tulane,Wally English
13,2018,NFL,6,218,MIN,Ade Aruna,DE,Tulane,Wally English
14,2017,NFL,6,189,LAR,Tanzel Smart,DT,Tulane,Wally English
15,2015,NFL,5,164,DEN,Lorenzo Doss,CB,Tulane,Wally English
16,2015,NFL,7,251,DEN,Taurean Nixon,DB,Tulane,Wally English
17,2014,NFL,5,142,WAS,Ryan Grant,WR,Tulane,Wally English
18,2009,NFL,4,135,TEN,Troy Kropog,T,Tulane,Wally English
19,2008,NFL,2,44,CHI,Matt Forte,RB,Tulane,Wally English
20,2006,NFL,7,247,DET,Anthony Cannon,LB,Tulane,Wally English
21,2005,NFL,4,136,TEN,Roydell Williams,WR,Tulane,Wally English
22,2004,NFL,1,22,BUF,J.P. Losman,QB,Tulane,Wally English
23,2004,NFL,4,119,MIN,Mewelde Moore,RB,Tulane,Wally English
24,2002,NFL,1,32,WAS,Patrick Ramsey,QB,Tulane,Wally English
25,2001,NFL,5,138,CHI,Bernard Robertson,T,Tulane,Wally English
26,2000,NFL,3,79,CLE,JaJuan Dawson,WR,Tulane,Wally English
27,1999,NFL,2,50,TAM,Shaun King,QB,Tulane,Wally English
28,1997,NFL,7,231,GNB,Jerald Sowell,FB,Tulane,Wally English
29,1994,NFL,6,175,GNB,Ruffin Hamilton,LB,Tulane,Wally English
30,1991,NFL,6,160,NYJ,Mike Riley,DB,Tulane,Wally English
31,1990,NFL,9,234,CIN,Mitchell Price,DB,Tulane,Wally English
32,1989,NFL,7,195,SDG,Terrence Jones,QB,Tulane,Wally English
33,1989,NFL,11,305,BUF,Richard Harvey,LB,Tulane,Wally English
34,1988,NFL,7,182,PIT,Marc Zeno,WR,Tulane,Wally English
35,1988,NFL,11,294,NWE,Marvin Allen,RB,Tulane,Wally English
36,1987,NFL,2,49,CIN,Eric Thomas,DB,Tulane,Wally English
37,1986,NFL,6,143,GNB,Burnell Dent,LB,Tulane,Wally English
38,1985,NFL,11,307,MIA,Mike Jones,RB,Tulane,Wally English
39,1985,NFL,12,320,NOR,Treg Songy,DB,Tulane,Wally English
40,1984,NFL,2*,29,HOU,Don Maggs,T,Tulane,Wally English
41,1984,NFL,9,250,MIA,Jim Boyle,T,Tulane,Wally English
42,1984,NFL,11,303,PIT,Elton Veals,RB,Tulane,Wally English
43,1983,NFL,4,103,STL,Lionel Washington,DB,Tulane,Wally English
44,1982,NFL,3,82,CIN,Rodney Holman,TE,Tulane,Wally English
45,1982,NFL,6,142,NOR,Marvin Lewis,RB,Tulane,Wally English
46,1982,NFL,7,168,NWE,Jeff Roberts,LB,Tulane,Wally English
47,1981,NFL,10,251,NYJ,Marty Wetzel,LB,Tulane,Wally English
48,1981,NFL,10,255,GNB,Nickie Hall,QB,Tulane,Wally English
49,1980,NFL,7,166,DET,Eddie Murray,K,Tulane,Wally English
50,1980,NFL,11,281,CIN,Alton Alexis,WR,Tulane,Wally English
51,1979,NFL,10,259,OAK,Ricky Smith,DB,Tulane,Wally English
52,1979,NFL,12,315,CLE,Dewitt Methvin,C,Tulane,Wally English
53,1978,NFL,4,106,MIA,Eric Laakso,T,Tulane,Wally English
54,1977,NFL,6,158,PHI,Mark Mitchell,DB,Tulane,Wally English
55,1976,NFL,9,245,GNB,Jim Gueno,LB,Tulane,Wally English
56,1976,NFL,12,325,NWE,Nathaniel Bell,DT,Tulane,Wally English
57,1976,NFL,17,466,NYJ,Darwin Willie,TE,Tulane,Wally English
58,1975,NFL,4,99,NOR,Charlie Hall,DE,Tulane,Wally English
59,1975,NFL,8,199,DEN,Steve Foley,DB,Tulane,Wally English
60,1975,NFL,8,204,RAM,John Washington,DB,Tulane,Wally English
61,1974,NFL,10,242,NOR,Tommy Thibodeaux,G,Tulane,Wally English
62,1974,NFL,13,320,NOR,Mike Truax,LB,Tulane,Wally English
63,1973,NFL,10,236,MIN,Randy Lee,DB,Tulane,Wally English
64,1973,NFL,12,312,MIA,Mike Mullen,LB,Tulane,Wally English
65,1972,NFL,6,134,HOU,Joe Bullard,DB,Tulane,Wally English
66,1972,NFL,11,276,DET,Bob Waldron,DT,Tulane,Wally English
67,1972,NFL,14,345,NOR,Steve Barrios,WR,Tulane,Wally English
68,1972,NFL,15,372,NOR,Rusty Lachaussee,QB,Tulane,Wally English
69,1971,NFL,11,284,MIN,Mike Walker,DE,Tulane,Wally English
70,1971,NFL,13,332,DET,David Abercrombie,RB,Tulane,Wally English
71,1971,NFL,14,352,CLE,Rick Kingrea,LB,Tulane,Wally English
72,1971,NFL,15,366,NOR,Bart Graves,T,Tulane,Wally English
73,1969,NFL,2,42,PIT,Warren Bankston,RB,Tulane,Wally English
74,1968,NFL,3,70,NYG,Bobby Duhon,RB,Tulane,Wally English
75,1968,NFL,11,294,KAN,Tom Nosewicz,DE,Tulane,Wally English
76,1967,NFL,5,111,HOU,Pete Johns,DB,Tulane,Wally English
77,1966,NFL,8,111,ATL,Bill Goss,LB,Tulane,Wally English
78,1963,NFL,13,182,GNB,Bill Kellum,T,Tulane,Wally English
79,1963,NFL,17,228,PHI,Gordon Rush,B,Tulane,Wally English
80,1962,AFL,7,55,HOU,Gus Gonzales,G,Tulane,Wally English
81,1962,NFL,6,77,PHI,Gus Gonzales,G,Tulane,Wally English
82,1962,NFL,8,105,CHI,Ed Reynolds,T,Tulane,Wally English
83,1962,NFL,12,155,WAS,Terry Terrebonne,HB,Tulane,Wally English
84,1962,NFL,12,167,PHI,Larry Thompson,C,Tulane,Wally English
85,1962,AFL,26,204,BUF,Ed Reynolds,T,Tulane,Wally English
86,1962,NFL,19,259,CHI,Bill Kellum,T,Tulane,Wally English
87,1961,NFL,1,1,MIN,Tommy Mason,RB,Tulane,Wally English
88,1961,AFL,1,3,BOS,Tommy Mason,RB,Tulane,Wally English
89,1961,NFL,3,40,GNB,Phil Nugent,DB,Tulane,Wally English
90,1961,NFL,4,56,GNB,Joe LeSage,G,Tulane,Wally English
91,1961,AFL,9,65,DEN,Phil Nugent,DB,Tulane,Wally English
92,1960,AFL,,0,DEN,Bernie Darre,G,Tulane,Wally English
93,1960,AFL,,0,NYT,Pete Abadie,E,Tulane,Wally English
94,1960,NFL,15,172,WAS,Bernie Darre,G,Tulane,Wally English
95,1959,NFL,2,21,CHI,Richie Petitbon,DB,Tulane,Wally English
96,1959,NFL,6,69,RAM,Dave Painter,C,Tulane,Wally English
97,1959,NFL,28,335,CLE,Pete Abadie,E,Tulane,Wally English
98,1959,NFL,29,340,WAS,Don Lockwood,G,Tulane,Wally English
99,1958,NFL,21,249,NYG,Charlie Hansen,C,Tulane,Wally English
100,1957,NFL,3,29,GNB,Dalton Truax,T,Tulane,Wally English
101,1957,NFL,21,248,SFO,Fred Wilcox,B,Tulane,Wally English
102,1957,NFL,22,255,GNB,Ronnie Quillian,QB,Tulane,Wally English
103,1957,NFL,26,313,NYG,Emmett Zelenka,G,Tulane,Wally English
104,1956,NFL,6,64,SFO,Tony Sardisco,G,Tulane,Wally English
105,1956,NFL,27,314,DET,Bryan Burnthorne,G,Tulane,Wally English
106,1955,NFL,16,187,RAM,Charley Coates,T,Tulane,Wally English
107,1955,NFL,30,352,GNB,Bob Saia,B,Tulane,Wally English
108,1954,NFL,5,51,GNB,Max McGee,E,Tulane,Wally English
109,1954,NFL,13,156,CLE,George Cummins,T,Tulane,Wally English
110,1954,NFL,28,329,NYG,Jim Partridge,B,Tulane,Wally English
111,1953,NFL,14,165,PHI,Roy Bailey,B,Tulane,Wally English
112,1953,NFL,23,267,BAL,Mike Housepian,G,Tulane,Wally English
113,1953,NFL,23,276,CLE,Ronnie Kent,B,Tulane,Wally English
114,1952,NFL,5,51,CRD,Dick Fugler,T,Tulane,Wally English
