,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Tackles,Tackles,,Def Interceptions,Def Interceptions,Def Interceptions,Scoring,Scoring,Scoring,Scoring,-additional
Rk,Player,Pos,From,To,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Ast,Sk,Int,Yds,TD,FGA,FGM,XPA,XPM,-9999
1,Sam Adams,DT-DE,2000,2001,30,,,,0,,,,0,,,0,41,9,4.0,0,0,0,,,,,AdamSa00
2,Terry Allen,RB,2001,2001,11,,,,0,,168,658,3,17,68,0,0,0,0.0,0,0,0,,,,,AlleTe00
3,Bennie Anderson,G,2001,2004,63,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,AndeBe20
4,Mike Anderson,RB,2006,2007,24,,,,0,,54,245,1,13,80,0,3,0,0.0,0,0,0,,,,,AndeMi00
5,Justin Armour,WR,1999,1999,15,,,,0,,,,0,37,538,4,5,1,0.0,0,0,0,,,,,ArmoJu00
6,James Atkins,T,1999,1999,2,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,AtkiJa20
7,Obafemi Ayanbadejo,RB,1999,2001,36,,,,0,,61,210,2,48,291,2,14,1,0.0,0,0,0,,,,,AyanOb00
8,Robert Bailey,DB,2000,2000,16,,,,0,,,,0,,,0,23,0,0.0,0,0,0,,,,,BailRo20
9,Tony Banks,QB,1999,2000,23,319,594,3714,25,16,43,150,0,,,0,0,0,0.0,0,0,0,,,,,BankTo00
10,Justin Bannan,DT,2006,2007,26,,,,0,,,,0,,,0,34,11,2.0,0,0,0,,,,,BannJu20
11,Alex Bannister,WR,2006,2006,2,,,,0,,,,0,,,0,2,0,0.0,0,0,0,,,,,BannAl00
12,Antwan Barnes,OLB,2007,2007,14,,,,0,,,,0,,,0,10,0,2.0,0,0,0,,,,,BarnAn99
13,Gary Baxter,DB,2001,2004,54,,,,0,,,,0,,,0,217,38,3.0,5,74,0,,,,,BaxtGa20
14,Jeff Blackshear,G,1999,1999,16,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,BlacJe20
15,Jeff Blake,QB,2002,2002,11,165,295,2084,13,11,39,106,1,,,0,0,0,0.0,0,0,0,,,,,BlakJe00
16,Orlando Bobo,G,2000,2001,19,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,BoboOr20
17,Kyle Boller,QB,2003,2007,53,746,1311,7846,45,44,147,440,2,0,0,0,0,1,0.0,0,0,0,,,,,BollKy00
18,Peter Boulware,LB-DE,1999,2005,94,,,,0,,,,0,,,0,212,70,50.0,1,6,0,,,,,BoulPe00
19,O.J. Brigance,OLB,2000,2000,16,,,,0,,,,0,,,0,10,2,0.0,0,0,0,,,,,BrigO.20
20,Lamont Brightful,DB,2002,2003,28,,,,0,,,,0,,,0,7,0,0.0,0,0,0,,,,,BrigLa20
21,Jason Brookins,RB,2001,2001,12,,,,0,,151,551,5,6,45,0,0,0,0.0,0,0,0,,,,,BrooJa01
22,Ethan Brooks,T,2002,2004,44,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,BrooEt20
23,Cornell Brown,LB,1999,2004,77,,,,0,,,,0,,,0,132,45,6.5,0,0,0,,,,,BrowCo20
24,Jason Brown,C,2005,2007,38,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,BrowJa23
25,Orlando Brown,T,2003,2005,39,,,,0,,,,0,,,0,1,1,0.0,0,0,0,,,,,BrowOr20
26,Prescott Burgess,LB,2007,2007,8,,,,0,,,,0,,,0,3,1,0.0,0,0,0,,,,,BurgPr99
27,Rob Burnett,DE,1999,2001,45,,,,0,,,,0,,,0,95,37,17.0,1,3,0,,,,,BurnRo00
28,Shawn Byrdsong,DB,2002,2002,1,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,ByrdSh20
29,Dale Carter,DB,2005,2005,15,,,,0,,,,0,,,0,23,3,0.0,0,0,0,,,,,CartDa00
30,Stoney Case,QB,1999,1999,10,77,170,988,3,8,36,141,3,,,0,0,0,0.0,0,0,0,,,,,CaseSt00
31,Martin Chase,DT,1999,1999,3,,,,0,,,,0,,,0,0,1,0.0,0,0,0,,,,,ChasMa20
32,Chris Chester,G,2006,2007,27,,,,0,,,,0,,,0,1,0,0.0,0,0,0,,,,,ChesCh21
33,Mark Clayton,WR,2005,2007,46,0,3,0,0,0,15,3,1,159,1941,7,1,0,0.0,0,0,0,,,,,ClayMa01
34,Ben Coates,TE,2000,2000,16,,,,0,,,,0,9,84,0,,,0.0,0,0,0,,,,,CoatBe00
35,Dan Cody,LB,2006,2006,2,,,,0,,,,0,,,0,0,1,0.0,0,0,0,,,,,CodyDa20
36,Ryan Collins,TE,1999,1999,4,,,,0,,,,0,4,62,0,,,0.0,0,0,0,,,,,CollRy00
37,Damion Cook,G-T,2002,2004,13,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,CookDa20
38,Randall Cunningham,QB,2001,2001,6,54,89,573,3,2,14,40,1,,,0,,,0.0,0,0,0,,,,,CunnRa00
39,Lional Dalton,DT,1999,2001,48,,,,0,,,,0,,,0,33,9,1.0,0,0,0,,,,,DaltLi20
40,Devard Darling,WR,2004,2007,30,,,,0,,,,0,20,331,3,5,0,0.0,0,0,0,,,,,DarlDe00
41,Anthony Davis,LB,2000,2000,14,,,,0,,,,0,,,0,13,3,0.0,0,0,0,,,,,DaviAn23
42,Billy Davis,WR,1999,2000,32,,,,0,,,,0,9,183,0,10,2,0.0,0,0,0,,,,,DaviBi00
43,Greg DeLong,TE,1999,1999,16,,,,0,,,,0,13,52,1,,,0.0,0,0,0,,,,,DeLoGr00
44,Will Demps,DB,2002,2005,57,,,,0,,,,0,,,0,203,39,3.5,4,75,0,,,,,DempWi20
45,Trent Dilfer,QB,2000,2000,11,134,226,1502,12,11,20,75,0,1,-1,0,0,0,0.0,0,0,0,,,,,DilfTr00
46,Darnell Dinkins,TE,2004,2005,26,,,,0,,,,0,15,149,1,12,1,0.0,0,0,0,,,,,DinkDa00
47,Marques Douglas,DE,2001,2004,39,,,,0,,,,0,,,0,108,39,12.0,0,0,0,,,,,DougMa20
48,Dwan Edwards,DT,2004,2007,40,,,,0,,,,0,,,0,55,18,1.0,1,1,0,,,,,EdwaDw20
49,Aaron Elling,K,2005,2005,9,,,,0,,,,0,,,0,,,0.0,0,0,0,1,,,,ellinaar01
50,Charles Evans,RB,1999,2000,17,,,,0,,38,134,0,32,235,1,0,0,0.0,0,0,0,,,,,EvanCh00
51,Yamon Figurs,WR,2007,2007,14,,,,0,,1,-1,0,1,36,0,0,0,0.0,0,0,0,,,,,FiguYa00
52,Mike Flynn,C-G,1999,2007,131,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,FlynMi20
53,Spencer Folau,T,1999,2000,16,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,FolaSp20
54,Aubrayo Franklin,DT,2003,2006,36,,,,0,,,,0,,,0,35,5,1.0,0,0,0,,,,,FranAu20
