Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Player-additional
,Offensive Starters,,,,,,-9999
QB,Jon Kitna,27,2,15,270 for 495 3346 yards 23 td 16 int & 35 rushes for 56 yards and 0 td,,KitnJo00
RB,Ricky Watters,30,7,16,325 rushes for 1210 yards 5 td & 40 catches for 387 yards and 2 td,,WattRi00
FB,Reggie Brown,26,3,8,14 rushes for 38 yards 0 td & 34 catches for 228 yards and 1 td,,BrowRe00
WR,Sean Dawkins,28,6,13,58 catches for 992 yards 7 td,,DawkSe00
WR,Derrick Mayes,25,3,15,62 catches for 829 yards 10 td,,MayeDe00
TE,Christian Fauria,28,4,16,35 catches for 376 yards 0 td,,FaurCh00
LT,Walter Jones*,25,2,16,1 fumble recovered,,JoneWa00
LG,Pete Kendall,26,3,16,,,KendPe20
C,Chris Gray,29,6,10,1 fumble recovered,,GrayCh20
RG,Brian Habib,35,10,16,,,HabiBr20
RT,Grant Williams,25,3,15,,,WillGr20
,Defensive Starters,,,,,,-9999
LDE,Michael Sinclair,31,7,15,6.0 sacks 0 interceptions 1 fumble recovered,,SincMi00
LDT,Sam Adams,26,5,13,1.0 sacks 0 interceptions 1 fumble recovered,,AdamSa00
RDT,Cortez Kennedy*,31,9,16,6.5 sacks 2 interceptions 0 fumbles recovered,,KennCo00
RDE,Phillip Daniels,26,3,16,9.0 sacks 0 interceptions 0 fumbles recovered,,DaniPh20
LLB,Darrin Smith,29,6,15,1.0 sacks 1 interception 0 fumbles recovered,,SmitDa22
MLB,Anthony Simmons,23,1,16,,,SimmAn20
RLB,Chad Brown*,29,6,15,5.5 sacks 0 interceptions 1 fumble recovered,,BrowCh04
LCB,Shawn Springs,24,2,16,0.0 sacks 5 interceptions 1 fumble recovered,,SpriSh00
RCB,Willie Williams,29,6,14,0.0 sacks 5 interceptions 0 fumbles recovered,,WillWi21
SS,Darryl Williams,29,7,12,0.0 sacks 4 interceptions 1 fumble recovered,,WillDa03
FS,Jay Bellamy,27,5,16,0.0 sacks 4 interceptions 1 fumble recovered,,BellJa22
